gene_symbol,OG,TargetSpecies_Count,Reference_Count
-,OG0006490,NA,NA
-,OG0012547,NA,NA
-,OG0011175,NA,NA
-,OG0010765,NA,NA
-,OG0012471,NA,NA
 AKT1 ,NA,1,1
A1CF,OG0008204,NA,NA
A2M,NA,2,2
AAAS,OG0011071,1,1
AACS,OG0011762,NA,NA
AAED1,OG0011093,NA,NA
AAGAB,OG0007413,NA,NA
AAMDC,OG0005776,NA,NA
AAMP,OG0009167,NA,NA
AAR2,OG0009881,1,1
AARS,OG0004516,NA,NA
AARS2,OG0009900,NA,NA
AARSD1,OG0009847,NA,NA
AASDH,OG0009708,1,1
AASDHPPT,OG0011846,NA,NA
AASS,OG0010071,NA,NA
AATF,OG0006633,NA,NA
AATK,OG0009570,NA,NA
ABAT,OG0007472,NA,NA
ABCA12,OG0012163,NA,NA
ABCA13,NA,1,1
ABCA2,OG0007899,NA,NA
ABCA4,NA,1,1
ABCA6,NA,1,1
ABCA7,NA,1,1
ABCA8,NA,1,1
ABCB10,OG0006049,NA,NA
ABCB11,NA,1,1
ABCB6,OG0004284,NA,NA
ABCB7,OG0011309,NA,NA
ABCB8,OG0009928,NA,NA
ABCC10,OG0005263,1,1
ABCC4,OG0000733,1,1
ABCC5,OG0003834,NA,NA
ABCD3,OG0004042,NA,NA
ABCD4,OG0007243,NA,NA
ABCE1,OG0008684,NA,NA
ABCF1,OG0008814,NA,NA
ABCF2,OG0005239,NA,NA
ABCF3,OG0008910,NA,NA
ABCG5,OG0010831,1,1
ABCG8,OG0011890,NA,NA
ABHD10,OG0003766,NA,NA
ABHD11,OG0006242,NA,NA
ABHD13,OG0008809,NA,NA
ABHD14A,OG0011219,NA,NA
ABHD14B,OG0010318,NA,NA
ABHD2,OG0005398,NA,NA
ABHD6,OG0005161,NA,NA
ABHD8,OG0005536,NA,NA
ABI3,OG0004220,1,1
ABI3BP,OG0003699,1,1
ABITRAM,NA,1,1
ABLIM1,OG0005096,NA,NA
ABLIM2,OG0007409,NA,NA
ABLIM3,OG0004925,NA,NA
ABO,NA,1,1
ABRA,OG0004561,NA,NA
ABRACL,OG0006759,1,1
ABRAXAS1,NA,1,1
ABT1,OG0010623,NA,NA
ABTB1,OG0010741,NA,NA
AC112128.1,NA,1,1
ACAA1,OG0006993,1,1
ACAA2,OG0009350,NA,NA
ACAD8,OG0007330,NA,NA
ACAD9,OG0009514,NA,NA
ACADL,OG0008526,NA,NA
ACADM,OG0007304,NA,NA
ACADS,OG0008335,1,1
ACADSB,OG0006112,NA,NA
ACADVL,OG0008740,NA,NA
ACAN,OG0004904,1,1
ACAP3,NA,1,1
ACAT1,OG0006890,NA,NA
ACAT2,OG0010750,NA,NA
ACBD3,OG0006087,NA,NA
ACBD4,OG0007247,NA,NA
ACBD5,OG0006562,1,1
ACBD6,OG0009853,NA,NA
ACD,OG0005492,NA,NA
ACE,NA,2,2
ACE2,OG0010810,1,1
ACER3,OG0005893,NA,NA
ACHE,NA,1,1
ACKR2,NA,1,1
ACKR3,OG0005671,NA,NA
ACKR4,OG0004648,1,1
ACLY,OG0007871,NA,NA
ACMSD,OG0008220,NA,NA
ACN9,OG0010365,NA,NA
ACO2,OG0004713,NA,NA
ACOT13,OG0005321,NA,NA
ACOT7,OG0008307,NA,NA
ACOT8,OG0011708,NA,NA
ACOT9,OG0005242,NA,NA
