OG_symbol	selection	species
OG0008998	positive	Sians
OG0007037	positive	Sians
OG0009166	positive	Sians
OG0011478	positive	Sians
OG0009107	positive	Sians
OG0012061	positive	Sians
OG0008400	positive	Sians
OG0009974	positive	Sians
OG0011748	positive	Sians
OG0007291	positive	Sians
OG0010232	positive	Sians
OG0006695	positive	Sians
OG0011540	positive	Sians
OG0011027	positive	Sians
OG0010813	positive	Sians
OG0010248	positive	Sians
OG0009368	positive	Sians
OG0011523	positive	Sians
OG0010084	positive	Sians
OG0010079	positive	Sians
OG0008967	positive	Sians
OG0007623	positive	Sians
OG0005647	positive	Sians
OG0010277	positive	Sians
OG0010420	positive	Sians
OG0010632	positive	Sians
OG0011188	positive	Sians
OG0007778	positive	Sians
OG0011115	positive	Sians
OG0007675	positive	Sians
OG0011694	positive	Sians
OG0011929	positive	Sians
OG0007579	positive	Sians
OG0012675	positive	Sians
OG0011572	positive	Sians
OG0012101	positive	Sians
OG0010633	positive	Sians
OG0010566	positive	Sians
OG0005596	positive	Sians
OG0010992	positive	Sians
OG0012151	positive	Sians
OG0010094	positive	Sians
OG0010618	positive	Sians
OG0011795	positive	Sians
OG0009752	positive	Sians
OG0009216	positive	Sians
OG0008849	positive	Sians
OG0011631	positive	Sians
OG0010383	positive	Sians
OG0007185	positive	Sians
OG0006938	positive	Sians
OG0011704	positive	Sians
OG0004852	positive	Sians
OG0010492	positive	Sians
OG0010614	positive	Sians
OG0012283	positive	Sians
OG0012262	positive	Sians
OG0006268	positive	Sians
OG0009022	positive	Sians
OG0010367	positive	Sians
OG0012158	positive	Sians
OG0010234	positive	Sians
OG0009582	positive	Sians
OG0010587	positive	Sians
OG0007938	positive	Sians
OG0010452	positive	Sians
OG0011096	positive	Sians
OG0011737	positive	Sians
OG0007562	positive	Sians
OG0010357	positive	Sians
OG0011805	positive	Sians
OG0008407	positive	Sians
OG0010542	positive	Sians
OG0011628	positive	Sians
OG0008268	positive	Sians
OG0010822	positive	Sians
OG0010538	positive	Sians
OG0011385	positive	Sians
OG0009045	positive	Sians
OG0011965	positive	Sians
OG0012191	positive	Sians
OG0011527	positive	Sians
OG0011011	positive	Sians
OG0011162	positive	Sians
OG0009503	positive	Sians
OG0010982	positive	Sians
OG0009320	positive	Sians
OG0010989	positive	Sians
OG0010589	positive	Sians
OG0011050	positive	Sians
OG0009560	positive	Sians
OG0007720	positive	Sians
OG0009893	positive	Sians
OG0006318	positive	Sians
OG0009806	positive	Sians
OG0011386	positive	Sians
OG0009330	positive	Sians
OG0010890	positive	Sians
OG0011553	positive	Sians
OG0011612	positive	Sians
OG0008406	positive	Sians
OG0007988	positive	Sians
OG0007619	positive	Sians
OG0011660	positive	Sians
OG0011590	positive	Sians
OG0011807	positive	Sians
OG0005404	positive	Sians
OG0011380	positive	Sians
OG0010834	positive	Sians
OG0011198	positive	Sians
OG0008451	positive	Sians
OG0011084	positive	Sians
OG0012113	positive	Sians
OG0011032	positive	Sians
OG0010235	positive	Sians
OG0010497	positive	Sians
OG0010435	positive	Sians
OG0010612	positive	Sians
OG0011171	positive	Sians
OG0011760	positive	Sians
OG0011358	positive	Sians
OG0008744	positive	Sians
OG0009743	positive	Sians
OG0009621	positive	Sians
OG0007014	positive	Sians
OG0011627	positive	Sians
OG0010521	positive	Sians
OG0011718	positive	Sians
OG0011806	positive	Sians
OG0012121	positive	Sians
OG0006478	positive	Sians
OG0012337	positive	Sians
OG0007841	positive	Sians
OG0009367	positive	Sians
OG0011320	positive	Sians
OG0009593	positive	Sians
OG0011979	positive	Sians
OG0006937	positive	Sians
OG0006132	positive	Sians
OG0006141	positive	Sians
OG0008697	positive	Sians
OG0010205	positive	Sians
OG0011414	positive	Sians
OG0009363	positive	Sians
OG0011895	positive	Sians
OG0010838	positive	Sians
OG0010817	positive	Sians
OG0010215	positive	Sians
OG0011962	positive	Sians
OG0010847	positive	Sians
OG0007671	positive	Sians
OG0011919	positive	Sians
OG0007957	positive	Sians
OG0010635	positive	Sians
OG0010617	positive	Sians
OG0012259	positive	Sians
OG0009804	positive	Sians
OG0006059	positive	Sians
OG0009696	positive	Sians
OG0008854	positive	Sians
OG0007944	positive	Sians
OG0007873	positive	Sians
OG0011415	positive	Sians
OG0008338	positive	Sians
OG0010493	positive	Sians
OG0007042	positive	Sians
OG0007451	positive	Sians
OG0011743	positive	Sians
OG0007146	positive	Sians
OG0010785	positive	Sians
OG0010346	positive	Sians
OG0012149	positive	Sians
OG0010513	positive	Sians
OG0005601	positive	Sians
OG0009430	positive	Sians
OG0008352	positive	Sians
OG0006827	positive	Sians
OG0009678	positive	Sians
OG0011183	positive	Sians
OG0005905	positive	Sians
OG0011954	positive	Sians
OG0011852	positive	Sians
OG0010372	positive	Sians
OG0006680	positive	Sians
OG0009248	positive	Sians
OG0011886	positive	Sians
OG0011282	positive	Sians
OG0006191	positive	Sians
OG0011087	positive	Sians
OG0006877	positive	Sians
OG0010736	positive	Sians
OG0010245	positive	Sians
OG0010362	positive	Sians
OG0010118	positive	Sians
OG0010685	positive	Sians
OG0005381	positive	Sians
OG0005729	positive	Sians
