OG_ID,analysis_absrel,analysis_relax_intens,analysis_PAML,analysis_cafe_expanded,analysis_relax_relaxed,analysis_cafe_contr,condition_pigmentation,condition_eyes,gene_symbol,qname,query,chr,seqStart,seqEnd
OG0000017,NA,NA,NA,NA,NA,NA,pigmentation,NA,PCDH10,NA,NA,NA,NA,NA
OG0000075,NA,NA,NA,NA,NA,contracted,NA,NA,NA,NA,NA,NA,NA,NA
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg001204l.4_Prang,evm.model.ptg001204l.4_Prang,chr4,2904175815,2904176349
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg001231l.1_Prang,evm.model.ptg001231l.1_Prang,chr4,2970602808,2970604851
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg001560l.9_Prang,evm.model.ptg001560l.9_Prang,chr2,102758878,102759436
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg002224l.1_Prang,evm.model.ptg002224l.1_Prang,chr4,2981003113,2981003527
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg002727l.2_Prang,evm.model.ptg002727l.2_Prang,chr4,2965421950,2965422511
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg003262l.3_Prang,evm.model.ptg003262l.3_Prang,chr2,3492038826,3492039168
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg003883l.1_Prang,evm.model.ptg003883l.1_Prang,chr9,1326243296,1326245192
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg005123l.1_Prang,evm.model.ptg005123l.1_Prang,chr4,2975048230,2975048731
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg005123l.2_Prang,evm.model.ptg005123l.2_Prang,chr4,2977742851,2977744201
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg005854l.3_Prang,evm.model.ptg005854l.3_Prang,chr4,2963485798,2963486347
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg005854l.6_Prang,evm.model.ptg005854l.6_Prang,chr4,2964330465,2964331299
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg007043l.2_Prang,evm.model.ptg007043l.2_Prang,chr4,2966496968,2966497436
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg008166l.1_Prang,evm.model.ptg008166l.1_Prang,chr5,756537677,756540011
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg008913l.1_Prang,evm.model.ptg008913l.1_Prang,chr4,2985469957,2985470476
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg010460l.13_Prang,evm.model.ptg010460l.13_Prang,chr4,2987894450,2987895065
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg010460l.14_Prang,evm.model.ptg010460l.14_Prang,chr4,2987040758,2987041256
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg010460l.6_Prang,evm.model.ptg010460l.6_Prang,chr4,2990162873,2990163557
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg010460l.7_Prang,evm.model.ptg010460l.7_Prang,chr4,2989893059,2989893593
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg010460l.8_Prang,evm.model.ptg010460l.8_Prang,chr4,2989767887,2989768418
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg015676l.5_Prang,evm.model.ptg015676l.5_Prang,chr9,1338501219,1338501675
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg017671l.1_Prang,evm.model.ptg017671l.1_Prang,chr4,2974324171,2974324678
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg018243l.1_Prang,evm.model.ptg018243l.1_Prang,chr4,2983495447,2983495915
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg020093l.1_Prang,evm.model.ptg020093l.1_Prang,chr4,2984586255,2984586768
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg024429l.1_Prang,evm.model.ptg024429l.1_Prang,chr4,2969259527,2969260013
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg025758l.1_Prang,evm.model.ptg025758l.1_Prang,chr4,2973572037,2973572544
OG0000089,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000089-evm.model.ptg025758l.2_Prang,evm.model.ptg025758l.2_Prang,chr4,2973828554,2973829055
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg000174l.1_Prang,evm.model.ptg000174l.1_Prang,chr17,65849867,65851355
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg001698l.2_Prang,evm.model.ptg001698l.2_Prang,chr17,19483816,19485298
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg001698l.3_Prang,evm.model.ptg001698l.3_Prang,chr17,19267211,19268693
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg004607l.4_Prang,evm.model.ptg004607l.4_Prang,chr14,493026842,493028333
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg007660l.1_Prang,evm.model.ptg007660l.1_Prang,chr17,21886026,21886749
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg007660l.2_Prang,evm.model.ptg007660l.2_Prang,chr17,21665299,21665647
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg007660l.3_Prang,evm.model.ptg007660l.3_Prang,chr17,21572845,21574330
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg007660l.4_Prang,evm.model.ptg007660l.4_Prang,chr17,20937896,20939387
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg007660l.5_Prang,evm.model.ptg007660l.5_Prang,chr17,20624045,20625536
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg008153l.1_Prang,evm.model.ptg008153l.1_Prang,chr17,26523513,26524929
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg008153l.2_Prang,evm.model.ptg008153l.2_Prang,chr17,26018136,26019663
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg008153l.3_Prang,evm.model.ptg008153l.3_Prang,chr17,25686805,25688293
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg008153l.6_Prang,evm.model.ptg008153l.6_Prang,chr17,25581624,25582785
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg008153l.8_Prang,evm.model.ptg008153l.8_Prang,chr17,25320780,25321650
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg008787l.1_Prang,evm.model.ptg008787l.1_Prang,chr7,323124375,323125866
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg010453l.2_Prang,evm.model.ptg010453l.2_Prang,chr17,22307487,22308705
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg010999l.4_Prang,evm.model.ptg010999l.4_Prang,chr17,234325784,234327269
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg012037l.1_Prang,evm.model.ptg012037l.1_Prang,chr17,24129725,24131216
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg012037l.2_Prang,evm.model.ptg012037l.2_Prang,chr17,23278933,23280046
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg013265l.4_Prang,evm.model.ptg013265l.4_Prang,chr18,115884995,115885451
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg014575l.2_Prang,evm.model.ptg014575l.2_Prang,chr17,261638479,261639316
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg015263l.1_Prang,evm.model.ptg015263l.1_Prang,chr17,31253529,31254216
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg015263l.3_Prang,evm.model.ptg015263l.3_Prang,chr17,30878501,30879989
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg015263l.4_Prang,evm.model.ptg015263l.4_Prang,chr17,30284332,30285817
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg017301l.1_Prang,evm.model.ptg017301l.1_Prang,chr17,25070685,25071201
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg017301l.2_Prang,evm.model.ptg017301l.2_Prang,chr17,24981546,24983148
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg017301l.3_Prang,evm.model.ptg017301l.3_Prang,chr17,24343990,24345481
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg017465l.1_Prang,evm.model.ptg017465l.1_Prang,chr4,2799876110,2799876647
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg020912l.1_Prang,evm.model.ptg020912l.1_Prang,chr13,1015658154,1015658736
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg023024l.2_Prang,evm.model.ptg023024l.2_Prang,chr13,1016260550,1016261204
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg023195l.2_Prang,evm.model.ptg023195l.2_Prang,chr17,27117082,27118567
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg023195l.3_Prang,evm.model.ptg023195l.3_Prang,chr17,27565148,27565514
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg023195l.5_Prang,evm.model.ptg023195l.5_Prang,chr17,28054333,28055818
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg023195l.6_Prang,evm.model.ptg023195l.6_Prang,chr17,28225250,28226735
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg023195l.8_Prang,evm.model.ptg023195l.8_Prang,chr17,29802506,29803535
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg024752l.1_Prang,evm.model.ptg024752l.1_Prang,chr17,31672001,31673060
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg027712l.1_Prang,evm.model.ptg027712l.1_Prang,chr17,261081787,261082492
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg027777l.3_Prang,evm.model.ptg027777l.3_Prang,chr17,81095301,81096789
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg028887l.2_Prang,evm.model.ptg028887l.2_Prang,chr17,20289033,20290401
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg028887l.5_Prang,evm.model.ptg028887l.5_Prang,chr17,19976779,19978261
OG0000137,NA,NA,NA,expanded,NA,NA,NA,NA,CYP2A13,cave_species_candidate_gene_selection_analysis-OG0000137-evm.model.ptg032957l.1_Prang,evm.model.ptg032957l.1_Prang,chr17,29922391,29922754
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,cave_species_candidate_gene_selection_analysis-OG0000144-evm.model.ptg005089l.1_Prang,evm.model.ptg005089l.1_Prang,chr5,600536920,600538465
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,cave_species_candidate_gene_selection_analysis-OG0000144-evm.model.ptg006814l.1_Prang,evm.model.ptg006814l.1_Prang,chr5,606784432,606785815
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,cave_species_candidate_gene_selection_analysis-OG0000144-evm.model.ptg006814l.2_Prang,evm.model.ptg006814l.2_Prang,chr5,606376471,606378097
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,cave_species_candidate_gene_selection_analysis-OG0000144-evm.model.ptg006814l.3_Prang,evm.model.ptg006814l.3_Prang,chr5,606302769,606303561
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,cave_species_candidate_gene_selection_analysis-OG0000144-evm.model.ptg006814l.5_Prang,evm.model.ptg006814l.5_Prang,chr5,606042674,606044372
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,cave_species_candidate_gene_selection_analysis-OG0000144-evm.model.ptg006814l.6_Prang,evm.model.ptg006814l.6_Prang,chr5,605709812,605711435
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,cave_species_candidate_gene_selection_analysis-OG0000144-evm.model.ptg006814l.8_Prang,evm.model.ptg006814l.8_Prang,chr5,605326368,605328333
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,cave_species_candidate_gene_selection_analysis-OG0000144-evm.model.ptg011234l.1_Prang,evm.model.ptg011234l.1_Prang,chr5,602548092,602549562
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,cave_species_candidate_gene_selection_analysis-OG0000144-evm.model.ptg011234l.2_Prang,evm.model.ptg011234l.2_Prang,chr5,602696600,602697554
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,cave_species_candidate_gene_selection_analysis-OG0000144-evm.model.ptg015968l.1_Prang,evm.model.ptg015968l.1_Prang,chr5,602114502,602116212
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,cave_species_candidate_gene_selection_analysis-OG0000144-evm.model.ptg015968l.2_Prang,evm.model.ptg015968l.2_Prang,chr5,602269674,602270928
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,cave_species_candidate_gene_selection_analysis-OG0000144-evm.model.ptg019331l.1_Prang,evm.model.ptg019331l.1_Prang,chr5,604200606,604202232
OG0000144,NA,NA,NA,NA,NA,NA,pigmentation,NA,KRT5,cave_species_candidate_gene_selection_analysis-OG0000144-evm.model.ptg057841l.1_Prang,evm.model.ptg057841l.1_Prang,chr19,91152980,91153718
OG0000179,NA,NA,NA,expanded,NA,NA,NA,NA,NA,cave_species_candidate_gene_selection_analysis-OG0000179-evm.model.ptg001191l.1_Prang,evm.model.ptg001191l.1_Prang,chr12,1044007682,1044008489
OG0000216,NA,NA,NA,NA,NA,contracted,NA,NA,MUC6,cave_species_candidate_gene_selection_analysis-OG0000216-evm.model.ptg000799l.1_Prang,evm.model.ptg000799l.1_Prang,chr6,1530044655,1530048258
OG0000216,NA,NA,NA,NA,NA,contracted,NA,NA,MUC6,cave_species_candidate_gene_selection_analysis-OG0000216-evm.model.ptg000799l.2_Prang,evm.model.ptg000799l.2_Prang,chr6,1529310317,1529327798
OG0000216,NA,NA,NA,NA,NA,contracted,NA,NA,MUC6,cave_species_candidate_gene_selection_analysis-OG0000216-evm.model.ptg003078l.2_Prang,evm.model.ptg003078l.2_Prang,chr6,1400391052,1400409538
OG0000216,NA,NA,NA,NA,NA,contracted,NA,NA,MUC6,cave_species_candidate_gene_selection_analysis-OG0000216-evm.model.ptg003078l.5_Prang,evm.model.ptg003078l.5_Prang,chr6,1398844297,1398858832
OG0000216,NA,NA,NA,NA,NA,contracted,NA,NA,MUC6,cave_species_candidate_gene_selection_analysis-OG0000216-evm.model.ptg006657l.1_Prang,evm.model.ptg006657l.1_Prang,chr6,1556080753,1556086081
OG0000216,NA,NA,NA,NA,NA,contracted,NA,NA,MUC6,cave_species_candidate_gene_selection_analysis-OG0000216-evm.model.ptg008462l.1_Prang,evm.model.ptg008462l.1_Prang,chr6,1542158966,1542163130
OG0000216,NA,NA,NA,NA,NA,contracted,NA,NA,MUC6,cave_species_candidate_gene_selection_analysis-OG0000216-evm.model.ptg012659l.1_Prang,evm.model.ptg012659l.1_Prang,chr6,1538539602,1538542362
OG0000216,NA,NA,NA,NA,NA,contracted,NA,NA,MUC6,cave_species_candidate_gene_selection_analysis-OG0000216-evm.model.ptg014065l.2_Prang,evm.model.ptg014065l.2_Prang,chr6,1436090516,1436095463
OG0000216,NA,NA,NA,NA,NA,contracted,NA,NA,MUC6,cave_species_candidate_gene_selection_analysis-OG0000216-evm.model.ptg016248l.1_Prang,evm.model.ptg016248l.1_Prang,chr6,1545672582,1545677049
OG0000216,NA,NA,NA,NA,NA,contracted,NA,NA,MUC6,cave_species_candidate_gene_selection_analysis-OG0000216-evm.model.ptg016632l.2_Prang,evm.model.ptg016632l.2_Prang,chr6,1560752176,1560764494
OG0000216,NA,NA,NA,NA,NA,contracted,NA,NA,MUC6,cave_species_candidate_gene_selection_analysis-OG0000216-evm.model.ptg023833l.1_Prang,evm.model.ptg023833l.1_Prang,chr6,1534804704,1534807335
OG0000236,NA,NA,NA,NA,NA,NA,NA,eyeloss,PLAC8,cave_species_candidate_gene_selection_analysis-OG0000236-evm.model.ptg008579l.1_Prang,evm.model.ptg008579l.1_Prang,chr5,1912226155,1912226959
OG0000236,NA,NA,NA,NA,NA,NA,NA,eyeloss,PLAC8,cave_species_candidate_gene_selection_analysis-OG0000236-evm.model.ptg008579l.2_Prang,evm.model.ptg008579l.2_Prang,chr5,1912079641,1912080097
OG0000258,NA,NA,NA,expanded,NA,NA,NA,NA,TPM1,cave_species_candidate_gene_selection_analysis-OG0000258-evm.model.ptg002940l.1_Prang,evm.model.ptg002940l.1_Prang,chr2,1530690134,1530691013
OG0000258,NA,NA,NA,expanded,NA,NA,NA,NA,TPM1,cave_species_candidate_gene_selection_analysis-OG0000258-evm.model.ptg008953l.1_Prang,evm.model.ptg008953l.1_Prang,chr2,1530690035,1530690782
OG0000258,NA,NA,NA,expanded,NA,NA,NA,NA,TPM1,cave_species_candidate_gene_selection_analysis-OG0000258-evm.model.ptg012698l.2_Prang,evm.model.ptg012698l.2_Prang,chr3,1950104397,1950105252
OG0000258,NA,NA,NA,expanded,NA,NA,NA,NA,TPM1,cave_species_candidate_gene_selection_analysis-OG0000258-evm.model.ptg015447l.1_Prang,evm.model.ptg015447l.1_Prang,chr17,130728029,130728506
OG0000258,NA,NA,NA,expanded,NA,NA,NA,NA,TPM1,cave_species_candidate_gene_selection_analysis-OG0000258-evm.model.ptg017283l.1_Prang,evm.model.ptg017283l.1_Prang,chr3,1950104255,1950105080
