Chrom,Start,End,Name
chr1,26869095,26869503,gene
chr1,1738743066,1738752450,gene
chr1,1143771815,1143775823,gene
chr1,1038215190,1038220050,gene
chr1,1477884018,1477884789,gene
chr1,750289039,750289831,gene
chr1,1948656387,1948660353,gene
chr1,1017120285,1017121080,gene
chr1,3341414083,3341416972,gene
chr1,2325703289,2325704444,gene
chr1,3635563272,3635567361,gene
chr1,3111604344,3111608877,gene
chr1,346166983,346168414,gene
chr1,3326724675,3326726073,gene
chr1,3741711316,3741711949,gene
chr1,4005026822,4005027515,gene
chr1,1723364089,1723367266,gene
chr1,1003005334,1003008280,gene
chr1,888531785,888546566,gene
chr1,3690639603,3690640866,gene
chr1,759755150,759756638,gene
chr1,1046741982,1046743044,gene
chr1,54923454,54925971,gene
chr1,2004616308,2004617709,gene
chr1,3059149046,3059149940,gene
chr1,3491760110,3491760437,gene
chr1,3895362708,3895370478,gene
chr1,3603135174,3603137208,gene
chr1,2034457828,2034458803,gene
chr1,1426154077,1426155988,gene
chr1,1050622105,1050623629,gene
chr1,2561757920,2561758907,gene
chr1,2915261389,2915264023,gene
chr1,161144280,161144730,gene
chr1,2260835394,2260836393,gene
chr1,2317316804,2317317866,gene
chr1,489605926,489608395,gene
chr1,1528693835,1528695422,gene
chr1,1095607378,1095608548,gene
chr1,520340616,520341024,gene
chr1,1918406351,1918407248,gene
chr1,3161326946,3161329238,gene
chr1,3823880123,3823881740,gene
chr1,2686608296,2686609796,gene
chr1,2587014439,2587016275,gene
chr1,1046247110,1046249648,gene
chr1,3789788106,3789789249,gene
chr1,1636892926,1636895137,gene
chr1,2705732669,2705736425,gene
chr1,2192259825,2192260614,gene
chr1,3594893581,3594896368,gene
chr1,3135090224,3135098858,gene
chr1,1549931591,1549934156,gene
chr1,4079069883,4079071656,gene
chr1,493768632,493772787,gene
chr1,36680515,36680923,gene
chr1,439821927,439822938,gene
chr1,2562034981,2562038908,gene
chr1,1438536923,1438539881,gene
chr1,2476457076,2476460601,gene
chr1,4013824488,4013825868,gene
chr1,675218585,675221102,gene
chr1,773909259,773909988,gene
chr1,1535758274,1535760962,gene
chr1,1531708821,1531713078,gene
chr1,1548003956,1548004910,gene
chr1,280048271,280049774,gene
chr1,520514417,520515116,gene
chr1,1149256424,1149257192,gene
chr1,1440969766,1440972481,gene
chr1,1139601045,1139602050,gene
chr1,3410809362,3410811567,gene
chr1,3108139992,3108140658,gene
chr1,2432188798,2432189641,gene
chr1,2694582802,2694583915,gene
chr1,3410067009,3410068155,gene
chr1,3811313527,3811321588,gene
chr1,3625077101,3625077614,gene
chr1,2205750917,2205752225,gene
chr1,2273257738,2273259766,gene
chr1,2687395170,2687396490,gene
chr1,3277653820,3277658518,gene
chr1,2353277064,2353277832,gene
chr1,3982841449,3982846288,gene
chr1,3703131155,3703132634,gene
chr1,24939593,24940490,gene
chr1,1161659761,1161660175,gene
chr1,2070788849,2070794858,gene
chr1,3439963842,3439964625,gene
chr1,2916678615,2916682866,gene
chr1,3835986850,3835988479,gene
chr1,163344386,163345733,gene
chr1,3871836384,3871837512,gene
chr1,3756287380,3756288730,gene
chr1,3752834234,3752835515,gene
chr1,1353335807,1353336263,gene
chr1,1164993839,1164995432,gene
chr1,2966915109,2966916465,gene
chr1,2964502452,2964505221,gene
chr1,3132523417,3132525340,gene
chr1,3370960389,3370960608,gene
chr1,600968144,600969671,gene
chr1,3213378707,3213379649,gene
chr1,3117985614,3117987567,gene
chr1,2306166917,2306168489,gene
chr1,3839150610,3839151096,gene
chr1,480665358,480669375,gene
chr1,409318057,409318909,gene
chr1,697703550,697704375,gene
chr1,612488256,612489837,gene
chr1,2662942413,2662944003,gene
chr1,1703357359,1703357713,gene
chr1,252606364,252609880,gene
chr1,403910536,403914658,gene
chr1,337563146,337563896,gene
chr1,236425605,236426217,gene
chr1,1700126252,1700127308,gene
chr1,976769499,976771566,gene
chr1,2469811889,2469815243,gene
chr1,1239367420,1239371152,gene
chr1,1244331868,1244333095,gene
chr1,3425432170,3425432569,gene
chr1,1269840275,1269841382,gene
chr1,3101405150,3101405741,gene
chr1,904078516,904081126,gene
chr1,2181830731,2181832846,gene
chr1,1075535474,1075536527,gene
chr1,3700692096,3700692744,gene
chr1,985997645,986001659,gene
chr1,3408727217,3408734051,gene
chr1,3690517575,3690518250,gene
