OG_ID	Preferred_name	selection
OG0003646	VPS13B	relaxed
OG0003774	HSPA5	relaxed
OG0004136	PTPN23	relaxed
OG0004510	FST	relaxed
OG0004727	PHYH	relaxed
OG0004776	ZNF318	relaxed
OG0004868	SZT2	relaxed
OG0005010	RRM1	relaxed
OG0005049	MMP21	relaxed
OG0005071	KIAA1109	relaxed
OG0005119	SEH1L	relaxed
OG0005159	ABCC4	relaxed
OG0005171	USP32	relaxed
OG0005178	TDO2	relaxed
OG0005186	UROS	relaxed
OG0005194	CEP162	relaxed
OG0005235	NR6A1	relaxed
OG0005267	SMPD2	relaxed
OG0005275	LRMP	relaxed
OG0005316	DRP2	relaxed
OG0005324	OSTC	relaxed
OG0005342	ERRFI1	relaxed
OG0005372	SIX4	relaxed
OG0005378	YLPM1	relaxed
OG0005386	F11R	relaxed
OG0005402	POU2F1	relaxed
OG0005403	RAB20	relaxed
OG0005404	PIBF1	relaxed
OG0005421	FYB	relaxed
OG0005474	NRBP2	relaxed
OG0005482	SPRTN	relaxed
OG0005485	CLN3	relaxed
OG0005489	PECR	relaxed
OG0005524	MED27	relaxed
OG0005542	TAC3	relaxed
OG0005556	FOXM1	relaxed
OG0005558	RPS16	relaxed
OG0005559	SLC35E3	relaxed
OG0005568	EIF2S1	relaxed
OG0005570	SOX6	relaxed
OG0005573	ASPG	relaxed
OG0005579	ARAP1	relaxed
OG0005601	PRKDC	relaxed
OG0005620	VAT1	relaxed
OG0005623	VPS72	relaxed
OG0005624	TMBIM6	relaxed
OG0005647	EP400	relaxed
OG0005650	PRRC2C	relaxed
OG0005662	TTLL11	relaxed
OG0005692	TRPC4AP	relaxed
OG0005697	HERC2	relaxed
OG0005699	HSD17B7	relaxed
OG0005725	DDX4	relaxed
OG0005750	KCNJ16	relaxed
OG0005757	SYNRG	relaxed
OG0005760	RANBP2	relaxed
OG0005761	RNF17	relaxed
OG0005764	PARP4	relaxed
OG0005769	CEP192	relaxed
OG0005772	DOK1	relaxed
OG0005783	IMMP2L	relaxed
OG0005789	TRAP1	relaxed
OG0005791	COG1	relaxed
OG0005798	ZNF831	relaxed
OG0005807	GPBAR1	relaxed
OG0005826	RFK	relaxed
OG0005828	ACOT7	relaxed
OG0005829	MAP3K12	relaxed
OG0005840	SRP19	relaxed
OG0005849	NYAP1	relaxed
OG0005859	FRAS1	relaxed
OG0005860	SMTN	relaxed
OG0005877	PITRM1	relaxed
OG0005878	XKR4	relaxed
OG0005880	CCDC61	relaxed
OG0005892	PPIG	relaxed
OG0005893	CYP24A1	relaxed
OG0005913	MRPS7	relaxed
OG0005915	CD44	relaxed
OG0005921	TRAPPC9	relaxed
OG0005927	TPCN2	relaxed
OG0005939	STK11IP	relaxed
OG0005947	ZBTB8A	relaxed
OG0005950	MSH2	relaxed
OG0005951	KIAA1462	relaxed
OG0005953	ALDH18A1	relaxed
OG0005965	KMT2A	relaxed
OG0005976	ECI2	relaxed
OG0005978	BCAN	relaxed
OG0005979	MEF2D	relaxed
OG0005981	CDCA3	relaxed
OG0005984	NHSL2	relaxed
OG0005993	WDR11	relaxed
OG0005994	GOLGA4	relaxed
OG0005997	MCFD2	relaxed
OG0006001	SPAG5	relaxed
OG0006002	VPS33B	relaxed
OG0006004	CFTR	relaxed
OG0006006	NIP7	relaxed
OG0006007	FRK	relaxed
OG0006014	ADSL	relaxed
OG0006016	TMEM11	relaxed
OG0006024	SDHB	relaxed
OG0006052	GPKOW	relaxed
OG0006053	GOLM1	relaxed
OG0006057	MARVELD3	relaxed
OG0006060	MCM9	relaxed
OG0006064	CGRRF1	relaxed
OG0006071	VEPH1	relaxed
OG0006072	CDON	relaxed
OG0006079	CEP350	relaxed
OG0006088	CWC15	relaxed
OG0006090	RFX5	relaxed
OG0006091	RNMT	relaxed
OG0006100	EPG5	relaxed
OG0006106	ISCU	relaxed
OG0006107	EGFLAM	relaxed
OG0006108	VPS8	relaxed
OG0006111	ESF1	relaxed
OG0006113	SPAST	relaxed
OG0006118	ACOT9	relaxed
OG0006125	IRF1	relaxed
OG0006126	MZT2B	relaxed
OG0006132	SC5D	relaxed
OG0006136	HBS1L	relaxed
OG0006144	UBE2J2	relaxed
OG0006151	CTH	relaxed
OG0006171	GPD2	relaxed
OG0006176	CCDC151	relaxed
OG0006178	MED10	relaxed
OG0006183	CAPRIN2	relaxed
OG0006190	DLD	relaxed
OG0006192	DHTKD1	relaxed
OG0006195	COL22A1	relaxed
OG0006215	AXDND1	relaxed
OG0006218	RPS15	relaxed
OG0006221	NPEPPS	relaxed
OG0006228	TTLL5	relaxed
OG0006237	DNAI2	relaxed
OG0006245	NXN	relaxed
OG0006246	SPA17	relaxed
OG0006249	RPA1	relaxed
OG0006254	RNASEH2B	relaxed
OG0006255	VWA8	relaxed
OG0006256	TSN	relaxed
OG0006260	DDC	relaxed
OG0006273	POLR2D	relaxed
OG0006282	NA	relaxed
OG0006283	PLA2G12B	relaxed
OG0006285	SLC3A1	relaxed
OG0006286	LRPPRC	relaxed
OG0006287	TACC2	relaxed
OG0006297	TIPIN	relaxed
OG0006303	ZC3H18	relaxed
OG0006305	CLPP	relaxed
OG0006307	TBC1D16	relaxed
OG0006309	GLYR1	relaxed
OG0006348	ADAMTS13	relaxed
OG0006354	C2orf44	relaxed
OG0006356	PPAT	relaxed
OG0006358	NRBP1	relaxed
OG0006361	MOGS	relaxed
OG0006362	NCAPG	relaxed
OG0006365	MSMO1	relaxed
OG0006366	NCAPD3	relaxed
OG0006368	TIPARP	relaxed
OG0006369	BAZ1B	relaxed
OG0006370	SPHKAP	relaxed
OG0006375	PRR16	relaxed
OG0006385	PRRC2B	relaxed
