OG_ID	gene_symbol	analysis_relax_relaxed
OG0004698	TIMM9	relaxed
OG0005118	NR6A1	relaxed
OG0005162	CENPE	relaxed
OG0005486	MED27	relaxed
OG0005488	F11R	relaxed
OG0005517	TRPC4AP	relaxed
OG0005531	FOXM1	relaxed
OG0005555	NKPD1	relaxed
OG0005559	USH2A	relaxed
OG0005618	-	relaxed
OG0005620	TMBIM6	relaxed
OG0005662	XPO5	relaxed
OG0005668	TTLL11	relaxed
OG0005734	MUSK	relaxed
OG0005767	PTS	relaxed
OG0005825	GLYR1	relaxed
OG0005875	USP24	relaxed
OG0005877	PRRC2C	relaxed
OG0005895	ZNF335	relaxed
OG0005914	INPP5E	relaxed
OG0005972	UPF2	relaxed
OG0005990	ENOPH1	relaxed
OG0006013	TTLL5	relaxed
OG0006025	FAM20A	relaxed
OG0006047	FOXJ1	relaxed
OG0006048	GBA	relaxed
OG0006057	EIF3A	relaxed
OG0006081	RPS15A	relaxed
OG0006134	GPKOW	relaxed
OG0006162	NYAP1	relaxed
OG0006164	RFX5	relaxed
OG0006165	SEH1L	relaxed
OG0006171	CARD11	relaxed
OG0006186	TUBGCP3	relaxed
OG0006192	NDUFAF5	relaxed
OG0006196	MTFR1	relaxed
OG0006198	ACOT9	relaxed
OG0006218	KMT2D	relaxed
OG0006232	HERC2	relaxed
OG0006254	RPL15	relaxed
OG0006258	EEPD1	relaxed
OG0006269	ROBO2	relaxed
OG0006285	NPPC	relaxed
OG0006289	NDUFS7	relaxed
OG0006294	NEMF	relaxed
OG0006305	DNAI2	relaxed
OG0006307	MTPAP	relaxed
OG0006321	KMT2A	relaxed
OG0006326	GCC2	relaxed
OG0006327	RNF17	relaxed
OG0006331	RIF1	relaxed
OG0006347	BCAN	relaxed
OG0006351	CDCA3	relaxed
OG0006359	TNR	relaxed
OG0006363	MOCOS	relaxed
OG0006365	KNDC1	relaxed
OG0006373	VPS33B	relaxed
OG0006374	SLTM	relaxed
OG0006376	ZBTB33	relaxed
OG0006388	REST	relaxed
OG0006394	RAI1	relaxed
OG0006450	EP400	relaxed
OG0006451	ACOT7	relaxed
OG0006478	PRR16	relaxed
OG0006483	DCLRE1B	relaxed
OG0006485	NDUFAF2	relaxed
OG0006487	PRRC2B	relaxed
OG0006496	MAPKAP1	relaxed
OG0006510	CDCA8	relaxed
OG0006516	EPG5	relaxed
OG0006522	SNAPC4	relaxed
OG0006526	SART3	relaxed
OG0006527	HECTD4	relaxed
OG0006530	ABCB9	relaxed
OG0006536	PTCHD1	relaxed
OG0006542	ZFPM2	relaxed
OG0006549	CDYL	relaxed
OG0006550	KCNQ3	relaxed
OG0006555	MZT2B	relaxed
OG0006557	AKNA	relaxed
OG0006569	CCT6A	relaxed
OG0006573	RNF207	relaxed
OG0006586	CTH	relaxed
OG0006588	PPIG	relaxed
OG0006591	CYP24A1	relaxed
OG0006603	RINT1	relaxed
OG0006608	ZC3H11A	relaxed
OG0006611	NOP58	relaxed
OG0006616	COL16A1	relaxed
OG0006623	CCDC33	relaxed
OG0006629	DNAJC8	relaxed
OG0006630	DCP2	relaxed
OG0006636	DENR	relaxed
OG0006638	SKA2	relaxed
OG0006659	ECT2	relaxed
OG0006661	RPS15	relaxed
OG0006671	CDK1	relaxed
OG0006673	STARD9	relaxed
OG0006695	NFE2L1	relaxed
OG0006697	TRRAP	relaxed
OG0006727	SETD2	relaxed
OG0006730	OTOA	relaxed
OG0006746	BFSP1	relaxed
OG0006747	KLHL31	relaxed
OG0006757	TIPIN	relaxed
OG0006758	ZNF536	relaxed
OG0006761	MPHOSPH10	relaxed
OG0006764	ARAP3	relaxed
OG0006768	CBFB	relaxed
OG0006772	SHF	relaxed
OG0006774	C2CD5	relaxed
OG0006776	ZC3H14	relaxed
OG0006778	ADGB	relaxed
OG0006783	ZNF653	relaxed
OG0006785	LUC7L3	relaxed
OG0006795	ACY1	relaxed
OG0006799	MDM4	relaxed
OG0006802	ZNF831	relaxed
OG0006806	TMTC3	relaxed
OG0006848	EXOSC10	relaxed
OG0006857	PPAT	relaxed
OG0006858	SRD5A3	relaxed
OG0006861	INO80	relaxed
OG0006868	PLRG1	relaxed
OG0006886	GCN1L1	relaxed
OG0006889	OSBPL9	relaxed
OG0006896	CEP350	relaxed
OG0006904	YTHDC1	relaxed
OG0006914	FER	relaxed
OG0006930	IL21R	relaxed
OG0006933	BUD31	relaxed
OG0006940	NPR3	relaxed
OG0006955	BORA	relaxed
OG0006956	MZT1	relaxed
OG0006967	CHODL	relaxed
OG0006971	EIF2S3	relaxed
OG0006973	UBR5	relaxed
OG0006977	ANKRD12	relaxed
OG0006978	GIGYF2	relaxed
OG0006979	PASK	relaxed
OG0006980	YEATS2	relaxed
OG0006982	MRPS22	relaxed
OG0006987	IWS1	relaxed
OG0006989	IRF1	relaxed
OG0007000	NHP2	relaxed
OG0007006	WIPF3	relaxed
OG0007026	SLCO4A1	relaxed
OG0007050	NDUFA5	relaxed
OG0007067	MDM2	relaxed
OG0007077	ASH1L	relaxed
OG0007090	RRP7A	relaxed
OG0007098	DBNDD1	relaxed
OG0007102	TERT	relaxed
OG0007111	C21orf91	relaxed
OG0007112	HIC2	relaxed
OG0007118	APC	relaxed
OG0007123	SOD2	relaxed
OG0007129	ERBB2IP	relaxed
OG0007133	TRADD	relaxed
OG0007146	ZMAT3	relaxed
OG0007147	KIF14	relaxed
OG0007151	TMEM259	relaxed
OG0007158	FANCM	relaxed
OG0007162	ASXL2	relaxed
