OG_ID	selection	intensified	relaxed	none	pvalue_mean	LRT_mean	K_mean
OG0000733	relaxed	0	5	0	1.31E-07	27.8540091	0.338991056
OG0001157	relaxed	0	5	0	0.006885744	7.30253404	0.724024308
OG0001765	none	0	1	4	0.245231542	9.395783017	0.719932824
OG0002383	intensified	5	0	0	1.28E-10	56.78822482	35.44086927
OG0002807	none	0	0	5	0.143445818	2.141607563	0.944841956
OG0002818	relaxed	0	5	0	1.76E-12	49.9193556	0.110960033
OG0002847	relaxed	0	4	1	0.158375805	8.467129349	0.725051949
OG0002915	none	0	0	5	0.461145024	0.58812572	0.946739938
OG0002921	none	0	0	5	0.186156281	1.918227387	4.949856554
OG0003005	relaxed	0	5	0	0.030485204	4.68175841	0.815934768
OG0003069	none	0	0	5	0.134784037	2.236732306	1.130476399
OG0003085	none	0	0	5	0.273327082	1.203882388	1.060947383
OG0003122	intensified	5	0	0	4.82E-05	16.57799054	2.173669174
OG0003130	none	0	1	4	0.114803058	3.426425266	0.62942081
OG0003131	none	0	0	5	0.848123434	0.073761822	0.984148647
OG0003140	relaxed	0	5	0	1.53E-12	50.77048279	0.346515123
OG0003149	relaxed	0	5	0	0.003364408	11.04635549	0.400200429
OG0003172	none	0	0	5	0.084491667	2.998100617	9.761729921
OG0003184	relaxed	0	5	0	0.000945363	10.93193504	0.272557039
OG0003203	relaxed	0	5	0	0.01210188	6.296105413	0.718445716
OG0003230	none	0	0	5	0.12391625	2.379513256	1.227406391
OG0003253	none	0	0	5	0.24989867	1.336934124	1.875416476
OG0003297	none	0	0	5	0.052059306	3.773862371	0.689318052
OG0003327	none	0	2	3	0.073674763	7.851107439	0.607162394
OG0003376	relaxed	0	5	0	7.03E-06	20.18643023	0.805376111
OG0003415	relaxed	0	5	0	1.57E-08	32.02059922	0.495072641
OG0003417	intensified	5	0	0	0.020195266	5.404049751	3.005442596
OG0003419	none	1	1	3	0.135031325	3.087710418	1.086567849
OG0003427	relaxed	0	5	0	0.00076976	11.92917094	0.583471182
OG0003439	relaxed	0	5	0	0.026793676	4.904130429	0.740780488
OG0003452	relaxed	0	5	0	1.04E-08	33.04541768	0.009629846
OG0003465	relaxed	0	4	1	0.036884524	5.137603054	0.163245606
OG0003478	relaxed	0	5	0	0.002448781	9.248996788	0.311155097
OG0003489	none	0	0	5	0.475412614	0.761296866	0.914329823
OG0003490	relaxed	0	5	0	1.08E-14	59.74291574	7.80E-07
OG0003491	relaxed	0	5	0	1.15E-07	30.17369006	0.758898386
OG0003513	none	0	0	5	0.984227681	0.000495009	1.003892978
OG0003525	relaxed	0	5	0	0.000169042	14.1514551	0.40482875
OG0003532	none	0	0	5	0.101561295	2.680866891	0.583668848
OG0003533	relaxed	0	5	0	3.68E-05	17.15274567	0.783247295
OG0003537	relaxed	0	5	0	1.80E-07	27.23646131	3.79E-06
OG0003538	relaxed	0	5	0	0.000440249	12.35317572	0.527004726
OG0003549	intensified	5	0	0	0.013364506	6.12261539	1.309015515
OG0003554	intensified	5	0	0	0.027200325	4.87806325	1.338149278
OG0003556	relaxed	0	5	0	0.006691824	7.353980028	0.744576441
OG0003558	none	0	0	5	0.56898752	0.442136331	0.925694718
OG0003568	relaxed	0	3	2	0.060798964	3.815554827	0.83672122
OG0003573	none	0	0	5	0.842348149	0.074892872	1.036719931
OG0003575	none	0	1	4	0.451213325	2.196189884	0.955434855
OG0003576	relaxed	0	4	1	0.024337098	11.18431971	0.530022907
OG0003596	none	0	0	5	0.624825926	0.239178971	1.025656371
OG0003601	none	0	0	5	0.3032413	1.06731296	1.067838861
OG0003607	intensified	5	0	0	0.001610854	9.947726911	8.629355808
OG0003611	none	0	0	5	0.707928489	0.140582299	0.802495601
OG0003620	none	0	0	5	0.069013473	3.306333715	0.550760182
OG0003626	none	0	0	5	0.223611613	1.481171262	0.656130329
OG0003631	relaxed	0	5	0	0.006970333	10.75175432	0.779101968
OG0003632	relaxed	0	5	0	0.006330787	7.453652563	0.717320145
OG0003641	none	0	0	5	0.491839472	0.479088428	1.114168725
OG0003648	none	0	0	5	0.384452292	0.76035093	1.436269065
OG0003669	none	0	0	5	0.652427254	0.232220734	0.756971409
OG0003675	relaxed	0	4	1	0.102323436	3.391787728	0.836194002
OG0003680	relaxed	0	5	0	3.00E-06	21.81465734	0.187288774
