OG_symbol	selection	species
OG0005783	positive	Geser
OG0009190	positive	Geser
OG0008831	positive	Geser
OG0008634	positive	Geser
OG0007037	positive	Geser
OG0011857	positive	Geser
OG0009166	positive	Geser
OG0011161	positive	Geser
OG0006826	positive	Geser
OG0006417	positive	Geser
OG0011768	positive	Geser
OG0008900	positive	Geser
OG0006898	positive	Geser
OG0012295	positive	Geser
OG0006575	positive	Geser
OG0005851	positive	Geser
OG0009935	positive	Geser
OG0011370	positive	Geser
OG0006677	positive	Geser
OG0011175	positive	Geser
OG0006145	positive	Geser
OG0010308	positive	Geser
OG0010693	positive	Geser
OG0009875	positive	Geser
OG0007534	positive	Geser
OG0005267	positive	Geser
OG0007076	positive	Geser
OG0008276	positive	Geser
OG0009974	positive	Geser
OG0005941	positive	Geser
OG0012423	positive	Geser
OG0009995	positive	Geser
OG0006407	positive	Geser
OG0009724	positive	Geser
OG0008538	positive	Geser
OG0011872	positive	Geser
OG0009785	positive	Geser
OG0008777	positive	Geser
OG0009532	positive	Geser
OG0007365	positive	Geser
OG0005386	positive	Geser
OG0009740	positive	Geser
OG0008642	positive	Geser
OG0008017	positive	Geser
OG0005961	positive	Geser
OG0006949	positive	Geser
OG0007202	positive	Geser
OG0007803	positive	Geser
OG0006688	positive	Geser
OG0008280	positive	Geser
OG0007419	positive	Geser
OG0006421	positive	Geser
OG0009705	positive	Geser
OG0006582	positive	Geser
OG0005883	positive	Geser
OG0007497	positive	Geser
OG0009983	positive	Geser
OG0008218	positive	Geser
OG0011847	positive	Geser
OG0006983	positive	Geser
OG0010431	positive	Geser
OG0011680	positive	Geser
OG0005286	positive	Geser
OG0011093	positive	Geser
OG0007845	positive	Geser
OG0007518	positive	Geser
OG0006073	positive	Geser
OG0005994	positive	Geser
OG0012008	positive	Geser
OG0008426	positive	Geser
OG0005916	positive	Geser
OG0005066	positive	Geser
OG0011605	positive	Geser
OG0008247	positive	Geser
OG0005378	positive	Geser
OG0010634	positive	Geser
OG0008227	positive	Geser
OG0009568	positive	Geser
OG0006495	positive	Geser
OG0007623	positive	Geser
OG0009025	positive	Geser
OG0012237	positive	Geser
OG0010884	positive	Geser
OG0006784	positive	Geser
OG0006122	positive	Geser
OG0009833	positive	Geser
OG0011016	positive	Geser
OG0010548	positive	Geser
OG0008688	positive	Geser
OG0007953	positive	Geser
OG0006257	positive	Geser
OG0007160	positive	Geser
OG0009415	positive	Geser
OG0012145	positive	Geser
OG0007896	positive	Geser
OG0007138	positive	Geser
OG0006359	positive	Geser
OG0009998	positive	Geser
OG0008525	positive	Geser
OG0010217	positive	Geser
OG0007075	positive	Geser
OG0008562	positive	Geser
OG0005776	positive	Geser
OG0011710	positive	Geser
OG0012323	positive	Geser
OG0007479	positive	Geser
OG0005608	positive	Geser
OG0007436	positive	Geser
OG0010133	positive	Geser
OG0007934	positive	Geser
OG0009500	positive	Geser
OG0006282	positive	Geser
OG0012267	positive	Geser
OG0006193	positive	Geser
OG0010482	positive	Geser
OG0005794	positive	Geser
OG0008615	positive	Geser
OG0005557	positive	Geser
OG0007915	positive	Geser
OG0008072	positive	Geser
OG0008079	positive	Geser
OG0011241	positive	Geser
OG0008935	positive	Geser
OG0008481	positive	Geser
OG0005596	positive	Geser
OG0010503	positive	Geser
OG0011012	positive	Geser
OG0007672	positive	Geser
OG0005419	positive	Geser
OG0007163	positive	Geser
OG0010085	positive	Geser
OG0011750	positive	Geser
OG0011754	positive	Geser
OG0007498	positive	Geser
OG0010746	positive	Geser
OG0007026	positive	Geser
OG0008149	positive	Geser
OG0009488	positive	Geser
OG0005611	positive	Geser
OG0010854	positive	Geser
OG0008786	positive	Geser
OG0009277	positive	Geser
OG0004776	positive	Geser
OG0010786	positive	Geser
OG0011412	positive	Geser
OG0008667	positive	Geser
OG0009546	positive	Geser
OG0010146	positive	Geser
OG0010580	positive	Geser
OG0005711	positive	Geser
OG0010356	positive	Geser
OG0011899	positive	Geser
OG0011631	positive	Geser
OG0009891	positive	Geser
OG0009313	positive	Geser
OG0008753	positive	Geser
OG0008591	positive	Geser
OG0011879	positive	Geser
OG0007747	positive	Geser
OG0010678	positive	Geser
OG0009509	positive	Geser
OG0007185	positive	Geser
OG0007414	positive	Geser
OG0006938	positive	Geser
