OG_ID,analysis_absrel,analysis_relax_selection,analysis_paml,analysis_cafe,gene_symbol.x,analysis_relax_relaxed,analysis_cafe_contracted,gene_symbol.y,condition,gene_symbol
OG0000081,NA,NA,NA,NA,NA,NA,contracted,NA,NA,T2R2
OG0000127,NA,NA,NA,NA,NA,NA,contracted,NA,NA,ZP3
OG0000137,NA,NA,NA,NA,NA,NA,contracted,NA,NA,GVINP1
OG0000166,NA,NA,NA,NA,NA,NA,contracted,NA,NA,HBA
OG0000202,NA,NA,NA,NA,NA,NA,contracted,NA,NA,GBGT1
OG0000840,NA,NA,NA,expanded,NA,NA,NA,NA,NA,C2CD4A
OG0001011,NA,NA,NA,expanded,NA,NA,NA,NA,NA,myo15b
OG0001261,NA,NA,NA,NA,NA,NA,contracted,NA,NA,SSUH2
OG0002553,NA,NA,NA,expanded,NA,NA,NA,NA,NA,FAM150A
OG0002965,NA,NA,NA,expanded,NA,NA,NA,NA,NA,GK
OG0003263,NA,NA,NA,expanded,NA,NA,NA,NA,NA,PGK1
OG0003600,NA,NA,NA,expanded,NA,NA,NA,NA,NA,ANKRD6
OG0003646,NA,NA,NA,NA,VPS13B,relaxed,NA,NA,NA,VPS13B
OG0003774,NA,NA,NA,NA,HSPA5,relaxed,NA,NA,NA,HSPA5
OG0003891,NA,NA,NA,NA,NA,NA,contracted,NA,NA,OST4
OG0004040,NA,NA,NA,expanded,NA,NA,NA,NA,NA,-
OG0004136,NA,NA,NA,NA,PTPN23,relaxed,NA,PTPN23,eyeloss,PTPN23
OG0004424,NA,intensified,paml_selected,NA,NA,NA,NA,NA,NA,GSTK1
OG0004510,NA,NA,NA,NA,FST,relaxed,NA,NA,NA,FST
OG0004727,NA,NA,NA,NA,PHYH,relaxed,NA,NA,NA,PHYH
OG0004776,NA,NA,paml_selected,NA,ZNF318,relaxed,NA,NA,NA,ZNF318
OG0004783,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TOPAZ1
OG0004839,NA,intensified,NA,NA,NA,NA,NA,NA,NA,DLX2
OG0004868,NA,NA,paml_selected,NA,SZT2,relaxed,NA,NA,NA,SZT2
OG0004980,absrel,NA,NA,NA,NA,NA,NA,NA,NA,DUT
