OG_ID,analysis_absrel
OG0003779,absrel_selected
OG0004244,absrel_selected
OG0004507,absrel_selected
OG0004779,absrel_selected
OG0004815,absrel_selected
OG0004842,absrel_selected
OG0005446,absrel_selected
OG0005605,absrel_selected
OG0006125,absrel_selected
OG0006346,absrel_selected
OG0006347,absrel_selected
OG0006351,absrel_selected
OG0006528,absrel_selected
OG0006604,absrel_selected
OG0006700,absrel_selected
OG0006903,absrel_selected
OG0007228,absrel_selected
OG0007263,absrel_selected
OG0007419,absrel_selected
OG0007684,absrel_selected
OG0008071,absrel_selected
OG0008750,absrel_selected
OG0008792,absrel_selected
OG0009131,absrel_selected
OG0009427,absrel_selected
OG0009579,absrel_selected
OG0009734,absrel_selected
OG0009870,absrel_selected
OG0009956,absrel_selected
OG0010015,absrel_selected
OG0010410,absrel_selected
OG0010425,absrel_selected
OG0010675,absrel_selected
OG0010810,absrel_selected
OG0010923,absrel_selected
OG0011272,absrel_selected
OG0011369,absrel_selected
OG0011418,absrel_selected
OG0011441,absrel_selected
OG0011603,absrel_selected
OG0011718,absrel_selected
OG0011800,absrel_selected
OG0011835,absrel_selected
OG0012002,absrel_selected
OG0012133,absrel_selected
OG0012300,absrel_selected
OG0012371,absrel_selected
