OG_ID	selection
OG0002470	intensified
OG0004388	intensified
OG0004409	none
OG0004563	none
OG0004790	none
OG0004820	intensified
OG0004896	none
OG0004956	none
OG0004960	relaxed
OG0005043	intensified
OG0005078	none
OG0005080	none
OG0005165	none
OG0005180	none
OG0005211	none
OG0005315	none
OG0005341	relaxed
OG0005344	none
OG0005402	none
OG0005404	none
OG0005412	intensified
OG0005432	none
OG0005433	none
OG0005470	none
OG0005477	none
OG0005492	none
OG0005507	none
OG0005514	none
OG0005531	none
OG0005544	intensified
OG0005546	intensified
OG0005590	none
OG0005622	relaxed
OG0005629	none
OG0005638	relaxed
OG0005650	none
OG0005659	none
OG0005673	intensified
OG0005688	none
OG0005689	none
OG0005695	relaxed
OG0005700	relaxed
OG0005707	none
OG0005721	relaxed
OG0005732	relaxed
OG0005738	none
OG0005740	relaxed
OG0005746	none
OG0005817	none
OG0005853	relaxed
OG0005870	none
OG0005876	none
OG0005879	none
OG0005899	none
OG0005903	relaxed
OG0005906	none
OG0005911	none
OG0005914	none
OG0005921	none
OG0005927	none
OG0005932	none
OG0005954	none
OG0005960	none
OG0005965	relaxed
OG0005972	none
OG0006009	none
OG0006015	intensified
OG0006059	none
OG0006064	none
OG0006067	intensified
OG0006075	intensified
OG0006076	none
OG0006082	none
OG0006088	intensified
OG0006089	intensified
OG0006093	none
OG0006096	relaxed
OG0006106	intensified
OG0006111	none
OG0006114	intensified
OG0006115	none
OG0006120	none
OG0006134	none
OG0006138	intensified
OG0006145	intensified
OG0006149	relaxed
OG0006168	none
OG0006170	none
OG0006184	none
OG0006187	none
OG0006192	none
OG0006193	intensified
OG0006194	none
OG0006198	none
OG0006200	intensified
OG0006203	none
OG0006225	intensified
OG0006227	intensified
OG0006228	relaxed
OG0006234	intensified
OG0006235	none
OG0006237	none
OG0006246	none
OG0006247	none
OG0006255	none
OG0006256	none
OG0006271	none
OG0006287	none
OG0006299	intensified
OG0006307	none
OG0006312	none
OG0006313	none
OG0006314	none
OG0006318	none
OG0006320	intensified
OG0006325	none
OG0006330	none
OG0006342	intensified
OG0006344	none
OG0006402	none
OG0006405	intensified
OG0006407	none
OG0006408	relaxed
OG0006410	none
OG0006414	intensified
OG0006421	none
OG0006427	intensified
OG0006436	intensified
OG0006438	none
OG0006442	relaxed
OG0006444	relaxed
OG0006445	none
OG0006450	relaxed
OG0006452	intensified
OG0006453	none
OG0006454	intensified
OG0006458	none
OG0006470	none
OG0006474	intensified
OG0006483	intensified
OG0006488	none
OG0006489	intensified
OG0006495	none
OG0006496	relaxed
OG0006500	none
OG0006502	none
OG0006503	unknown
OG0006505	relaxed
OG0006510	none
OG0006515	none
OG0006518	none
OG0006519	relaxed
OG0006520	none
OG0006523	none
OG0006524	relaxed
OG0006528	none
OG0006533	intensified
OG0006535	none
OG0006536	relaxed
OG0006540	none
OG0006544	none
OG0006553	none
OG0006562	none
OG0006563	none
OG0006565	none
OG0006566	none
OG0006577	intensified
OG0006578	relaxed
OG0006582	none
OG0006588	none
OG0006591	none
OG0006592	none
OG0006600	none
OG0006602	relaxed
OG0006614	intensified
OG0006617	none
OG0006621	none
OG0006622	intensified
OG0006623	none
OG0006627	none
OG0006630	none
OG0006632	none
OG0006641	none
OG0006645	intensified
OG0006660	none
OG0006670	none
OG0006673	none
OG0006674	none
OG0006676	none
OG0006686	none
OG0006693	intensified
OG0006697	relaxed
OG0006699	none
OG0006703	none
OG0006708	none
OG0006709	intensified
OG0006710	intensified
OG0006720	none
OG0006725	intensified
OG0006726	none
OG0006735	none
OG0006738	none
OG0006740	none
OG0006744	none
OG0006754	none
OG0006755	none
OG0006757	none
OG0006767	intensified
OG0006769	none
OG0006772	none
OG0006774	none
OG0006795	none
OG0006840	intensified
OG0006847	none
OG0006850	none
OG0006865	none
OG0006870	intensified
OG0006871	intensified
OG0006878	none
OG0006882	none
OG0006883	none
OG0006886	intensified
OG0006893	none
OG0006897	intensified
OG0006929	none
OG0006932	none
OG0006936	relaxed
OG0006945	none
OG0006953	intensified
OG0006962	none
OG0006965	intensified
OG0006978	none
OG0006988	intensified
OG0007004	none
OG0007006	intensified
OG0007009	intensified
OG0007022	intensified
OG0007041	intensified
OG0007043	intensified
OG0007044	none
OG0007047	none
OG0007059	none
OG0007066	none
OG0007069	none
OG0007078	none
OG0007083	none
OG0007091	relaxed
OG0007103	none
OG0007105	intensified
OG0007111	unknown
OG0007113	none
OG0007118	none
OG0007121	intensified
OG0007122	none
OG0007128	none
OG0007129	none
OG0007139	intensified
OG0007142	none
OG0007148	none
OG0007160	none
OG0007162	none
OG0007168	none
OG0007169	none
OG0007179	none
OG0007183	none
OG0007186	none
OG0007187	none
OG0007190	none
OG0007194	relaxed
OG0007198	none
OG0007202	relaxed
OG0007207	none
OG0007214	none
OG0007218	none
OG0007219	none
OG0007233	none
OG0007239	none
OG0007244	relaxed
OG0007246	none
OG0007247	none
OG0007255	none
OG0007280	none
OG0007282	none
OG0007283	relaxed
OG0007286	none
OG0007290	none
OG0007291	none
OG0007297	none
OG0007299	intensified
OG0007300	none
OG0007317	none
OG0007324	none
OG0007326	intensified
OG0007336	none
OG0007363	none
OG0007365	relaxed
OG0007367	none
OG0007371	intensified
OG0007406	none
OG0007416	none
OG0007417	relaxed
OG0007418	intensified
OG0007423	none
OG0007430	none
OG0007439	none
OG0007447	none
OG0007448	none
OG0007450	none
OG0007452	intensified
OG0007454	none
OG0007456	none
OG0007457	none
OG0007460	none
OG0007462	none
OG0007466	intensified
OG0007469	none
OG0007471	none
OG0007483	intensified
OG0007489	intensified
OG0007490	intensified
OG0007492	unknown
OG0007496	none
OG0007501	none
OG0007509	none
OG0007512	none
OG0007515	none
OG0007519	none
OG0007520	none
OG0007525	none
OG0007528	none
OG0007530	relaxed
OG0007532	none
OG0007533	none
OG0007555	none
OG0007557	intensified
OG0007559	none
OG0007564	none
OG0007566	unknown
OG0007575	intensified
OG0007576	intensified
OG0007577	intensified
OG0007593	none
OG0007602	none
OG0007605	none
OG0007607	none
OG0007619	none
OG0007620	relaxed
OG0007623	none
OG0007634	none
OG0007640	none
OG0007645	none
OG0007654	none
OG0007656	none
OG0007657	intensified
OG0007659	none
OG0007663	none
OG0007664	none
OG0007669	none
OG0007680	intensified
OG0007682	none
OG0007692	none
OG0007693	none
OG0007696	none
OG0007701	none
OG0007708	relaxed
OG0007715	none
OG0007718	none
OG0007722	none
OG0007724	none
OG0007725	none
OG0007740	none
OG0007743	none
OG0007749	none
OG0007753	none
OG0007763	intensified
OG0007767	intensified
OG0007784	intensified
OG0007799	relaxed
OG0007801	none
OG0007804	none
OG0007806	intensified
OG0007817	intensified
OG0007822	none
OG0007830	none
OG0007835	none
OG0007837	intensified
OG0007840	intensified
OG0007841	relaxed
OG0007842	none
OG0007848	relaxed
OG0007849	intensified
OG0007850	none
OG0007854	none
OG0007855	none
OG0007858	none
OG0007859	none
OG0007865	none
OG0007869	none
OG0007881	none
OG0007889	none
OG0007898	intensified
OG0007900	none
OG0007903	intensified
OG0007907	none
OG0007912	intensified
OG0007914	none
OG0007919	none
OG0007921	none
OG0007922	intensified
OG0007923	none
OG0007924	intensified
OG0007928	none
OG0007943	none
OG0007947	relaxed
OG0007949	relaxed
OG0007954	none
OG0007955	none
OG0007956	none
OG0007959	intensified
OG0007962	none
OG0007967	none
OG0007968	intensified
OG0007979	intensified
OG0007982	none
OG0007984	none
OG0007985	intensified
OG0007986	relaxed
OG0007993	none
OG0008015	none
OG0008016	none
OG0008018	none
OG0008020	none
OG0008035	none
OG0008039	intensified
OG0008044	none
OG0008052	intensified
OG0008055	none
OG0008059	none
OG0008060	none
OG0008063	none
OG0008067	relaxed
OG0008069	intensified
OG0008076	none
OG0008077	none
OG0008086	none
OG0008095	relaxed
OG0008100	intensified
OG0008103	none
OG0008104	none
OG0008107	relaxed
OG0008108	none
OG0008114	unknown
OG0008115	none
OG0008123	none
OG0008130	none
OG0008136	none
OG0008138	none
OG0008140	relaxed
OG0008141	none
OG0008145	none
OG0008151	none
OG0008159	none
OG0008168	none
OG0008170	none
OG0008173	none
OG0008176	none
OG0008178	none
OG0008181	intensified
OG0008187	none
OG0008188	none
OG0008193	intensified
OG0008196	none
OG0008203	none
OG0008205	relaxed
OG0008206	none
OG0008207	intensified
OG0008213	none
OG0008223	none
OG0008226	none
OG0008229	none
OG0008249	none
OG0008250	none
OG0008251	unknown
OG0008254	none
OG0008260	relaxed
OG0008270	none
OG0008275	none
OG0008276	intensified
OG0008281	relaxed
OG0008293	relaxed
OG0008297	none
OG0008304	none
OG0008330	intensified
OG0008337	intensified
OG0008355	none
OG0008362	none
OG0008387	relaxed
OG0008455	none
OG0008459	none
OG0008461	intensified
OG0008462	none
OG0008477	relaxed
OG0008507	relaxed
OG0008516	none
OG0008548	none
OG0008558	none
OG0008571	none
OG0008589	relaxed
OG0008618	none
OG0008629	none
OG0008635	none
OG0008637	none
OG0008744	relaxed
OG0008746	none
OG0008759	none
OG0008769	none
OG0008776	none
OG0008818	intensified
OG0008820	none
OG0008824	none
OG0008837	none
OG0008871	none
OG0008892	none
OG0008923	none
OG0008924	relaxed
OG0008925	relaxed
OG0009003	intensified
OG0009004	intensified
OG0009017	none
OG0009032	none
OG0009063	none
OG0009067	intensified
OG0009083	none
OG0009084	relaxed
OG0009135	none
OG0009148	none
OG0009149	none
OG0009178	none
OG0009180	relaxed
OG0009190	intensified
OG0009194	intensified
OG0009222	none
OG0009229	none
OG0009236	intensified
OG0009272	none
OG0009276	none
OG0009346	none
OG0009395	none
OG0009398	none
OG0009414	none
OG0009427	intensified
OG0009432	none
OG0009486	none
OG0009490	intensified
OG0009492	none
OG0009493	relaxed
OG0009517	none
OG0009518	intensified
OG0009560	none
OG0009563	none
OG0009579	none
OG0009590	none
OG0009600	intensified
OG0009651	none
OG0009661	relaxed
OG0009667	intensified
OG0009676	none
OG0009683	none
OG0009688	intensified
OG0009699	none
OG0009701	intensified
OG0009729	intensified
OG0009736	none
OG0009747	none
OG0009748	none
OG0009754	intensified
OG0009755	relaxed
OG0009765	none
OG0009767	none
OG0009774	none
OG0009775	none
OG0009784	none
OG0009816	intensified
OG0009818	none
OG0009819	none
OG0009835	intensified
OG0009850	intensified
OG0009851	none
OG0009856	none
OG0009866	none
OG0009867	intensified
OG0009876	none
OG0009884	none
OG0009888	none
OG0009892	intensified
OG0009902	none
OG0009905	intensified
OG0009907	none
OG0009924	none
OG0009928	none
OG0009929	none
OG0009940	none
OG0009946	relaxed
OG0009947	none
OG0009950	none
OG0009954	relaxed
OG0009971	none
OG0009977	intensified
OG0009981	none
OG0009985	none
OG0010007	none
OG0010013	none
OG0010022	intensified
OG0010041	intensified
OG0010044	none
OG0010059	none
OG0010066	none
OG0010067	intensified
OG0010068	intensified
OG0010074	none
OG0010078	relaxed
OG0010081	none
OG0010084	none
OG0010085	none
OG0010093	none
OG0010098	none
OG0010101	none
OG0010120	none
OG0010122	none
OG0010127	none
OG0010131	intensified
OG0010135	intensified
OG0010158	intensified
OG0010172	none
OG0010182	none
OG0010184	relaxed
OG0010191	none
OG0010194	relaxed
OG0010199	intensified
OG0010205	none
OG0010225	intensified
OG0010229	none
OG0010233	intensified
OG0010252	none
OG0010253	relaxed
OG0010254	none
OG0010257	none
OG0010277	none
OG0010278	none
OG0010288	none
OG0010292	none
OG0010296	none
OG0010297	none
OG0010317	none
OG0010320	none
OG0010332	none
OG0010333	none
OG0010338	none
OG0010341	none
OG0010347	intensified
OG0010349	relaxed
OG0010351	relaxed
OG0010357	intensified
OG0010366	none
OG0010370	intensified
OG0010377	none
OG0010380	intensified
OG0010386	none
OG0010387	intensified
OG0010389	intensified
OG0010391	relaxed
OG0010400	none
OG0010405	none
OG0010413	none
OG0010424	intensified
OG0010430	none
OG0010449	intensified
OG0010451	none
OG0010457	intensified
OG0010459	none
OG0010465	none
OG0010470	none
OG0010473	none
OG0010474	none
OG0010495	intensified
OG0010496	none
OG0010502	relaxed
OG0010506	none
OG0010514	none
OG0010516	none
OG0010518	none
OG0010526	none
OG0010529	none
OG0010532	relaxed
OG0010544	none
OG0010559	none
OG0010573	intensified
OG0010577	none
OG0010580	intensified
OG0010591	none
OG0010595	none
OG0010599	none
OG0010600	intensified
OG0010601	intensified
OG0010603	none
OG0010604	none
OG0010605	none
OG0010610	none
OG0010622	none
OG0010624	none
OG0010635	none
OG0010637	relaxed
OG0010639	none
OG0010644	none
OG0010646	none
OG0010653	none
OG0010666	none
OG0010681	none
OG0010690	none
OG0010699	intensified
OG0010720	none
OG0010726	none
OG0010728	none
OG0010740	none
OG0010754	none
OG0010779	none
OG0010780	none
OG0010783	none
OG0010785	none
OG0010788	none
OG0010790	intensified
OG0010791	relaxed
OG0010802	none
OG0010807	none
OG0010852	none
OG0010853	none
OG0010856	none
OG0010884	none
OG0010885	intensified
OG0010890	intensified
OG0010895	none
OG0010896	intensified
OG0010911	none
OG0010915	none
OG0010921	none
OG0010931	relaxed
OG0010932	none
OG0010935	relaxed
OG0010938	intensified
OG0010947	relaxed
OG0010952	none
OG0010954	intensified
OG0010959	none
OG0010962	none
OG0010964	none
OG0010966	intensified
OG0010972	none
OG0010973	none
OG0010976	intensified
OG0010979	relaxed
OG0010984	none
OG0010985	none
OG0010987	intensified
OG0010990	intensified
OG0010991	none
OG0010993	none
OG0011000	none
OG0011014	none
OG0011064	none
OG0011081	none
OG0011129	relaxed
OG0011131	none
OG0011173	intensified
OG0011234	none
OG0011256	none
OG0011324	none
OG0011333	none
OG0011336	intensified
OG0011342	none
OG0011392	none
OG0011425	none
OG0011438	none
OG0011440	relaxed
OG0011506	intensified
OG0011538	none
OG0011562	none
OG0011644	none
OG0011657	none
OG0011665	none
OG0011706	none
OG0011719	none
OG0011739	relaxed
OG0011780	none
OG0011796	none
OG0011814	relaxed
OG0011824	none
OG0011840	relaxed
OG0011846	none
OG0011982	intensified
OG0012000	none
OG0012006	intensified
OG0012015	intensified
OG0012028	none
OG0012100	none
OG0012103	intensified
OG0012109	none
OG0012113	none
OG0012115	none
OG0012116	none
OG0012117	none
OG0012130	none
OG0012136	none
OG0012139	intensified
OG0012147	none
OG0012148	none
OG0012155	intensified
OG0012159	intensified
OG0012166	none
OG0012168	none
OG0012169	none
OG0012173	intensified
OG0012182	none
OG0012184	none
OG0012188	intensified
OG0012202	none
OG0012205	none
OG0012209	none
OG0012229	none
OG0012238	unknown
OG0012246	none
OG0012264	none
OG0012268	none
OG0012271	none
OG0012278	none
OG0012282	none
OG0012284	intensified
OG0012286	intensified
OG0012290	none
OG0012293	none
OG0012296	none
OG0012297	intensified
OG0012298	intensified
OG0012300	intensified
OG0012311	intensified
OG0012312	none
OG0012313	none
OG0012314	relaxed
OG0012319	intensified
OG0012326	none
OG0012331	none
OG0012336	none
OG0012346	none
OG0012348	none
OG0012351	none
OG0012358	intensified
OG0012373	intensified
OG0012375	none
OG0012378	none
OG0012390	none
OG0012400	intensified
OG0012401	none
OG0012402	relaxed
OG0012405	none
OG0012407	none
OG0012413	intensified
OG0012421	intensified
OG0012427	none
OG0012429	none
OG0012430	none
OG0012431	none
OG0012433	relaxed
OG0012439	none
OG0012440	intensified
OG0012443	none
OG0012448	none
OG0012453	none
OG0012455	none
OG0012456	none
OG0012461	relaxed
OG0012462	none
OG0012481	intensified
OG0012482	intensified
OG0012484	none
OG0012496	none
OG0012499	none
OG0012502	none
OG0012503	none
OG0012523	none
OG0012524	none
OG0012532	none
OG0012546	intensified
OG0012547	none
OG0012553	none
OG0012557	intensified
OG0012558	intensified
OG0012559	none
OG0012562	none
OG0012566	intensified
OG0012569	none
OG0012573	none
OG0012582	none
OG0012596	intensified
OG0012605	none
OG0012612	none
OG0012615	none
OG0012617	none
OG0012633	none
OG0012639	intensified
OG0012641	relaxed
OG0012655	none
OG0012661	none
OG0012665	intensified
OG0012669	none
OG0012671	none
OG0012673	relaxed
OG0012675	none
OG0012677	intensified
OG0012694	none
OG0012697	none
OG0012700	relaxed
OG0012706	intensified
OG0012710	none
OG0012718	none
OG0012719	none
OG0012720	none
OG0012725	none
OG0012730	none
OG0012733	intensified
OG0012741	intensified
OG0012742	none
OG0012746	none
OG0012749	none
OG0012755	none
OG0012757	none
OG0012764	none
OG0012765	none
OG0012768	none
OG0012771	none
OG0012780	intensified
OG0012781	intensified
OG0012782	intensified
OG0012783	none
OG0012784	none
OG0012790	none
OG0012791	none
OG0012793	none
OG0012794	none
OG0012795	none
OG0012802	none
OG0012806	intensified
OG0012807	none
OG0012812	none
OG0012815	relaxed
OG0012816	intensified
OG0012820	none
OG0013004	relaxed
OG0013079	relaxed
OG0013201	none
OG0013233	none
OG0013283	none
OG0013291	none
OG0013337	none
OG0013341	none
OG0013343	relaxed
OG0013368	none
OG0013371	none
OG0013374	none
OG0013377	none
OG0013403	none
OG0013412	none
OG0013433	intensified
OG0013436	none
OG0013437	intensified
OG0013443	none
OG0013451	none
OG0013466	none
OG0013468	none
OG0013475	intensified
OG0013482	intensified
OG0013483	relaxed
OG0013489	none
OG0013500	none
OG0013501	none
OG0013510	none
OG0013511	none
OG0013514	none
OG0013515	none
OG0013540	none
OG0013557	none
OG0013559	unknown
OG0013564	none
OG0013566	intensified
OG0013567	none
OG0013588	none
OG0013594	none
OG0013596	relaxed
OG0013619	none
OG0013712	relaxed
OG0013859	none
OG0013976	none
OG0013978	intensified
OG0013986	none
OG0014001	none
OG0014020	none
OG0014022	relaxed
OG0014035	none
OG0014046	none
OG0014064	none
OG0014094	intensified
OG0014106	relaxed
OG0014107	none
