OG_ID	selection	intensified	relaxed	none	pvalue_mean	LRT_mean	K_mean
OG0003777	none	0	0	5	0.085842242	3.140877327	0.62443581
OG0004551	none	0	0	5	0.146021148	2.258924392	0.769138875
OG0004698	relaxed	0	5	0	0.001473495	10.13797332	1.81E-05
OG0004898	none	0	0	5	0.542005437	0.433551267	1.100394044
OG0004959	none	0	0	5	0.354236607	0.877375363	1.249137274
OG0005044	intensified	5	0	0	0.0006649	12.96715014	15.37097952
OG0005082	none	0	0	5	0.582623381	0.307858669	13.73106179
OG0005118	relaxed	0	4	1	0.040849341	25.49498918	0.448839939
OG0005162	relaxed	0	5	0	5.12E-09	69.37668507	0.26484522
OG0005165	none	0	0	5	0.498391329	0.481958869	1.193722136
OG0005225	none	0	0	5	0.095453792	2.780127093	1.118299527
OG0005249	none	0	0	5	0.985336171	0.000373932	1.003505275
OG0005257	none	0	0	5	0.659570796	0.197735991	1.043310327
OG0005260	none	0	0	5	0.868795953	0.03080734	1.031519828
OG0005301	none	0	0	5	0.198792858	1.835085778	1.890995155
OG0005313	none	0	0	5	0.614824537	0.393520922	1.280272112
OG0005422	none	0	0	5	0.362603772	0.83248693	0.70339815
OG0005469	none	0	0	5	0.872839145	0.056753462	0.959969765
OG0005485	none	0	0	5	0.596841371	0.279858612	1.061346625
OG0005486	relaxed	0	5	0	0.000305785	22.1477827	0.097434881
OG0005500	none	0	0	5	0.59525503	0.303169131	0.885883143
OG0005540	none	0	0	5	0.180707738	1.791797118	1.490750684
OG0005544	none	0	0	5	0.803035506	0.062417552	0.446200432
OG0005555	relaxed	0	5	0	4.13E-05	17.07034187	0.408954935
OG0005559	relaxed	0	5	0	8.47E-08	34.13431451	0.750240352
OG0005579	none	0	0	5	0.092531806	2.868528734	1.186729424
OG0005582	none	0	0	5	0.087576853	2.930224775	1.511466532
OG0005592	intensified	5	0	0	0.026461247	4.966345339	1.257948101
OG0005608	intensified	4	0	1	0.185486039	16.20240697	3.006328409
OG0005618	relaxed	1	3	1	0.050540395	5.086278854	0.683685824
OG0005620	relaxed	0	5	0	0.037594439	4.323376836	0.605041259
OG0005682	none	0	0	5	0.382661485	1.085235264	0.69033507
OG0005683	intensified	3	0	2	0.130894754	28.21962755	24.28771637
OG0005695	intensified	4	1	0	0.001826329	21.04664946	30.18287925
OG0005702	intensified	5	0	0	0.000471065	13.27138611	2.002235145
OG0005711	none	1	1	3	0.313366361	6.958518407	3.610600294
OG0005717	none	0	0	5	0.22485908	1.677219374	3.534962479
OG0005767	relaxed	1	4	0	0.000246104	13.9378325	6.569641838
OG0005768	none	0	0	5	0.276889521	1.914331347	0.883293938
OG0005781	none	0	0	5	0.666584606	0.231498948	0.83624967
OG0005817	none	0	0	5	0.724307562	0.151622234	1.054446641
OG0005818	intensified	5	0	0	0.035787043	4.407665156	1.943979196
OG0005831	none	2	0	3	0.205792906	2.709434164	1.970493762
OG0005870	none	1	0	4	0.072553981	3.408901671	1.095652373
OG0005906	none	0	0	5	0.258904986	1.276518711	1.103307967
OG0005913	none	0	0	5	0.989135902	-1.99E-05	1.00473113
OG0005916	intensified	5	0	0	0.008344156	7.881627246	2.063064613
OG0005927	none	0	0	5	0.43560219	1.015985598	1.284976019
OG0005933	none	0	0	5	0.205419263	1.603968059	5.890373473
OG0005942	none	0	0	5	0.102079761	2.689014871	1.501422633
OG0005953	none	0	1	4	0.085456069	4.502670881	0.047997484
OG0005954	intensified	5	0	0	0.029283149	4.750901457	3.788571559
OG0005960	none	0	0	5	0.432041303	0.909867885	1.096653403
OG0005966	none	0	0	5	0.86185803	0.077218495	1.082330336
OG0005968	none	0	0	5	0.064728172	3.417984458	0.852736045
OG0005969	none	0	0	5	0.247101597	1.720635146	1.610803291
OG0005977	none	2	0	3	0.054087693	3.827887136	2.521125161
OG0006006	none	0	0	5	0.095870309	2.773083967	1.208730585
OG0006007	none	0	0	5	0.065020867	3.405348187	1.218688067
OG0006009	none	0	0	5	0.418941818	0.690003789	0.824360093
OG0006025	relaxed	0	3	2	0.112996519	5.216327029	4.283751458
OG0006026	intensified	5	0	0	1.58E-06	23.05253349	1.765738193
OG0006028	intensified	4	0	1	0.166184863	4.337931446	1.885621621
OG0006043	intensified	4	0	1	0.041310247	4.174845453	1.277310227
OG0006045	none	0	0	5	0.849477759	0.036226189	1.03041748
OG0006048	relaxed	0	5	0	0.023800603	5.10934808	0.792109034
OG0006053	intensified	5	0	0	8.22E-09	35.09011807	4.327394581
OG0006055	none	1	0	4	0.184213482	2.125409306	1.306374311
OG0006056	none	0	0	5	0.692736101	0.160305551	0.828095951
OG0006057	relaxed	0	5	0	0.000167994	14.19183175	0.73352859
OG0006060	none	0	0	5	0.071980836	3.23738018	0.804527711
OG0006064	none	0	0	5	0.21420567	1.544858584	0.760140127
OG0006076	intensified	5	0	0	1.50E-05	18.74306514	2.588240976
OG0006135	none	0	0	5	0.409217574	0.757396102	0.761383997
OG0006146	none	0	0	5	0.754159053	0.132936645	1.170124696
OG0006148	none	0	0	5	0.637051516	0.285582334	0.955563664
OG0006149	none	0	0	5	0.414858616	0.664979895	0.894625469
OG0006156	intensified	5	0	0	0.000378627	13.94312228	1.352622892
OG0006161	intensified	3	0	2	0.154850966	3.700814765	2.487636446
OG0006165	relaxed	0	5	0	0.012140999	11.08796752	0.144215041
OG0006173	intensified	5	0	0	0.02173508	5.266895767	1.895463768
OG0006174	none	0	0	5	0.46680449	0.543440147	0.798931597
OG0006181	none	0	0	5	0.766643258	0.088493301	0.965151737
OG0006184	intensified	5	0	0	0.001074399	10.72508291	41.88759267
OG0006186	relaxed	0	5	0	0.000302914	13.92632903	0.790384181
OG0006187	none	0	0	5	0.990217823	4.06E-05	0.997247499
OG0006196	relaxed	0	5	0	0.014561386	5.969842817	0.029472829
OG0006199	none	1	0	4	0.445362431	21.0289004	2.04789274
OG0006208	none	0	0	5	0.321877234	0.988054415	10.0330157
OG0006216	none	0	0	5	0.227308483	1.482950518	0.649267988
OG0006218	relaxed	0	5	0	0.000794698	11.35331953	0.880256468
OG0006225	none	0	0	5	0.095294896	2.782577471	0.695096671
OG0006227	none	0	0	5	0.707045715	0.145971891	0.916582322
OG0006230	none	0	0	5	0.557969354	0.443595018	0.849205005
OG0006232	relaxed	0	4	1	0.112520986	5.627809202	0.940693126
OG0006256	none	0	0	5	0.587818058	0.293854674	1.067534987
OG0006258	relaxed	0	3	2	0.098120524	4.370670647	0.723795504
OG0006261	none	0	0	5	0.745722518	0.270918393	1.390814329
OG0006262	none	0	2	3	0.070085239	5.246285014	0.555270434
OG0006264	none	0	0	5	0.372220309	0.827662413	0.809691994
OG0006265	none	0	0	5	0.901916103	0.019325839	1.01347255
OG0006268	none	0	0	5	0.785573939	0.76106969	0.85307275
OG0006269	relaxed	0	5	0	5.24E-10	38.59717452	0.699718761
OG0006274	intensified	4	0	1	0.197198451	4.940465008	14.77860745
OG0006282	none	0	0	5	0.968910843	0.002282944	0.990829184
OG0006285	relaxed	0	4	1	0.197550812	6.454767871	0.204088972
OG0006300	none	0	0	5	0.530583973	0.501622977	0.867259387
