OG_symbol	selection	species
OG0011366	positive	Asmec
OG0006560	positive	Asmec
OG0010624	positive	Asmec
OG0009414	positive	Asmec
OG0009668	positive	Asmec
OG0010818	positive	Asmec
OG0006898	positive	Asmec
OG0006564	positive	Asmec
OG0006575	positive	Asmec
OG0006448	positive	Asmec
OG0008716	positive	Asmec
OG0005969	positive	Asmec
OG0010322	positive	Asmec
OG0007107	positive	Asmec
OG0007527	positive	Asmec
OG0005697	positive	Asmec
OG0008620	positive	Asmec
OG0008773	positive	Asmec
OG0009643	positive	Asmec
OG0008584	positive	Asmec
OG0005319	positive	Asmec
OG0008372	positive	Asmec
OG0010479	positive	Asmec
OG0006765	positive	Asmec
OG0008482	positive	Asmec
OG0006695	positive	Asmec
OG0006394	positive	Asmec
OG0011535	positive	Asmec
OG0011623	positive	Asmec
OG0011378	positive	Asmec
OG0008795	positive	Asmec
OG0005556	positive	Asmec
OG0007171	positive	Asmec
OG0007301	positive	Asmec
OG0009662	positive	Asmec
OG0006158	positive	Asmec
OG0007999	positive	Asmec
OG0008331	positive	Asmec
OG0009950	positive	Asmec
OG0008909	positive	Asmec
OG0006902	positive	Asmec
OG0009890	positive	Asmec
OG0005066	positive	Asmec
OG0008780	positive	Asmec
OG0003646	positive	Asmec
OG0008967	positive	Asmec
OG0007598	positive	Asmec
OG0009458	positive	Asmec
OG0008637	positive	Asmec
OG0006471	positive	Asmec
OG0008227	positive	Asmec
OG0007918	positive	Asmec
OG0007991	positive	Asmec
OG0008192	positive	Asmec
OG0005915	positive	Asmec
OG0008823	positive	Asmec
OG0011678	positive	Asmec
OG0005900	positive	Asmec
OG0008132	positive	Asmec
OG0007151	positive	Asmec
OG0008688	positive	Asmec
OG0008161	positive	Asmec
OG0008005	positive	Asmec
OG0007339	positive	Asmec
OG0008531	positive	Asmec
OG0012145	positive	Asmec
OG0007896	positive	Asmec
OG0007138	positive	Asmec
OG0009651	positive	Asmec
OG0011176	positive	Asmec
OG0008379	positive	Asmec
OG0006552	positive	Asmec
OG0008843	positive	Asmec
OG0007436	positive	Asmec
OG0011045	positive	Asmec
OG0007064	positive	Asmec
OG0009500	positive	Asmec
OG0012267	positive	Asmec
OG0009637	positive	Asmec
OG0010543	positive	Asmec
OG0010482	positive	Asmec
OG0010528	positive	Asmec
OG0009173	positive	Asmec
OG0010394	positive	Asmec
OG0009817	positive	Asmec
OG0009828	positive	Asmec
OG0011284	positive	Asmec
OG0009704	positive	Asmec
OG0010896	positive	Asmec
OG0005419	positive	Asmec
OG0012518	positive	Asmec
OG0007865	positive	Asmec
OG0011082	positive	Asmec
OG0008561	positive	Asmec
OG0008149	positive	Asmec
OG0008319	positive	Asmec
OG0009488	positive	Asmec
OG0006616	positive	Asmec
OG0009277	positive	Asmec
OG0008310	positive	Asmec
OG0008332	positive	Asmec
OG0008912	positive	Asmec
OG0007933	positive	Asmec
OG0006528	positive	Asmec
OG0011203	positive	Asmec
OG0008874	positive	Asmec
OG0007185	positive	Asmec
OG0009760	positive	Asmec
OG0010390	positive	Asmec
OG0006169	positive	Asmec
OG0007622	positive	Asmec
OG0006409	positive	Asmec
OG0011231	positive	Asmec
OG0008007	positive	Asmec
OG0006195	positive	Asmec
OG0011697	positive	Asmec
OG0008419	positive	Asmec
OG0007421	positive	Asmec
OG0005734	positive	Asmec
OG0005786	positive	Asmec
OG0008628	positive	Asmec
OG0009345	positive	Asmec
OG0008651	positive	Asmec
OG0005948	positive	Asmec
OG0011339	positive	Asmec
OG0010800	positive	Asmec
OG0010925	positive	Asmec
OG0010844	positive	Asmec
OG0007678	positive	Asmec
OG0006284	positive	Asmec
OG0011737	positive	Asmec
OG0006260	positive	Asmec
OG0009818	positive	Asmec
OG0007665	positive	Asmec
OG0010445	positive	Asmec
OG0010115	positive	Asmec
OG0008407	positive	Asmec
OG0006676	positive	Asmec
OG0008645	positive	Asmec
OG0012771	positive	Asmec
OG0008353	positive	Asmec
OG0008268	positive	Asmec
OG0009929	positive	Asmec
OG0010538	positive	Asmec
OG0006970	positive	Asmec
OG0007864	positive	Asmec
OG0011444	positive	Asmec
OG0009700	positive	Asmec
OG0006408	positive	Asmec
OG0010300	positive	Asmec
OG0010676	positive	Asmec
OG0008172	positive	Asmec
