OG_ID,analysis_paml
OG0005012,paml_selected
OG0012377,paml_selected
OG0006218,paml_selected
OG0006528,paml_selected
OG0011920,paml_selected
OG0005742,paml_selected
OG0005997,paml_selected
OG0006583,paml_selected
OG0007226,paml_selected
OG0007314,paml_selected
OG0007419,paml_selected
OG0007448,paml_selected
OG0007684,paml_selected
OG0007888,paml_selected
OG0007944,paml_selected
OG0008381,paml_selected
OG0009330,paml_selected
OG0009388,paml_selected
OG0009497,paml_selected
OG0009596,paml_selected
OG0010155,paml_selected
OG0010285,paml_selected
OG0011438,paml_selected
OG0011770,paml_selected
OG0011775,paml_selected
OG0011849,paml_selected
OG0011850,paml_selected
OG0011947,paml_selected
OG0012024,paml_selected
OG0002818,paml_selected
OG0003122,paml_selected
OG0003546,paml_selected
OG0003956,paml_selected
OG0003984,paml_selected
OG0004155,paml_selected
OG0004232,paml_selected
OG0004266,paml_selected
OG0004446,paml_selected
OG0004507,paml_selected
OG0004538,paml_selected
OG0004593,paml_selected
OG0004779,paml_selected
OG0004867,paml_selected
OG0004965,paml_selected
OG0005013,paml_selected
OG0005088,paml_selected
OG0005139,paml_selected
OG0005231,paml_selected
OG0005310,paml_selected
OG0005415,paml_selected
OG0005495,paml_selected
OG0005517,paml_selected
OG0005578,paml_selected
OG0005622,paml_selected
OG0005638,paml_selected
OG0005641,paml_selected
OG0005661,paml_selected
OG0005681,paml_selected
OG0005696,paml_selected
OG0005852,paml_selected
OG0005866,paml_selected
OG0006060,paml_selected
OG0006195,paml_selected
OG0006307,paml_selected
OG0006377,paml_selected
OG0006469,paml_selected
OG0006471,paml_selected
OG0006473,paml_selected
OG0006898,paml_selected
OG0006963,paml_selected
OG0007099,paml_selected
OG0007265,paml_selected
OG0007783,paml_selected
OG0007856,paml_selected
OG0007929,paml_selected
OG0007989,paml_selected
OG0008015,paml_selected
OG0008057,paml_selected
OG0008132,paml_selected
OG0008139,paml_selected
OG0008372,paml_selected
OG0008721,paml_selected
OG0008978,paml_selected
OG0009022,paml_selected
OG0009031,paml_selected
OG0009034,paml_selected
OG0009157,paml_selected
OG0009159,paml_selected
OG0009221,paml_selected
OG0009345,paml_selected
OG0009420,paml_selected
OG0009441,paml_selected
OG0009576,paml_selected
OG0009729,paml_selected
OG0009839,paml_selected
OG0010018,paml_selected
OG0010051,paml_selected
OG0010194,paml_selected
OG0010425,paml_selected
OG0010454,paml_selected
OG0010583,paml_selected
OG0010590,paml_selected
OG0010675,paml_selected
OG0010711,paml_selected
OG0010929,paml_selected
OG0011075,paml_selected
OG0011156,paml_selected
OG0011419,paml_selected
OG0011421,paml_selected
OG0011608,paml_selected
OG0011699,paml_selected
OG0011987,paml_selected
OG0012344,paml_selected
OG0012358,paml_selected
OG0012371,paml_selected
OG0012496,paml_selected
OG0001630,paml_selected
OG0003005,paml_selected
OG0003318,paml_selected
OG0003710,paml_selected
OG0003777,paml_selected
OG0003781,paml_selected
OG0003803,paml_selected
OG0003805,paml_selected
OG0003852,paml_selected
OG0003973,paml_selected
OG0004037,paml_selected
OG0004039,paml_selected
OG0004052,paml_selected
OG0004058,paml_selected
OG0004108,paml_selected
OG0004165,paml_selected
OG0004244,paml_selected
OG0004246,paml_selected
OG0004283,paml_selected
OG0004326,paml_selected
OG0004327,paml_selected
OG0004354,paml_selected
OG0004395,paml_selected
OG0004397,paml_selected
OG0004433,paml_selected
OG0004495,paml_selected
OG0004568,paml_selected
OG0004584,paml_selected
OG0004708,paml_selected
OG0004749,paml_selected
OG0004758,paml_selected
OG0004762,paml_selected
OG0004780,paml_selected
OG0004786,paml_selected
OG0004801,paml_selected
OG0004840,paml_selected
OG0004853,paml_selected
OG0004862,paml_selected
OG0004881,paml_selected
OG0004891,paml_selected
OG0004914,paml_selected
OG0004915,paml_selected
OG0004921,paml_selected
OG0004922,paml_selected
OG0004951,paml_selected
OG0004992,paml_selected
OG0005014,paml_selected
OG0005023,paml_selected
OG0005051,paml_selected
OG0005054,paml_selected
OG0005080,paml_selected
OG0005085,paml_selected
OG0005101,paml_selected
OG0005223,paml_selected
OG0005293,paml_selected
OG0005295,paml_selected
OG0005330,paml_selected
OG0005342,paml_selected
OG0005351,paml_selected
OG0005383,paml_selected
OG0005416,paml_selected
OG0005440,paml_selected
OG0005445,paml_selected
OG0005449,paml_selected
OG0005460,paml_selected
OG0005462,paml_selected
OG0005509,paml_selected
OG0005511,paml_selected
OG0005518,paml_selected
OG0005520,paml_selected
OG0005571,paml_selected
OG0005588,paml_selected
OG0005593,paml_selected
OG0005619,paml_selected
OG0005656,paml_selected
OG0005667,paml_selected
OG0005668,paml_selected
OG0005860,paml_selected
OG0005886,paml_selected
OG0005926,paml_selected
OG0005939,paml_selected
OG0005957,paml_selected
OG0006028,paml_selected
OG0006132,paml_selected
OG0006186,paml_selected
OG0006237,paml_selected
OG0006280,paml_selected
OG0006319,paml_selected
OG0006341,paml_selected
OG0006384,paml_selected
OG0006465,paml_selected
OG0006479,paml_selected
OG0006519,paml_selected
OG0006536,paml_selected
OG0006578,paml_selected
OG0006635,paml_selected
OG0006666,paml_selected
OG0006735,paml_selected
OG0006743,paml_selected
OG0006764,paml_selected
OG0006780,paml_selected
OG0006816,paml_selected
OG0006872,paml_selected
OG0006877,paml_selected
OG0006897,paml_selected
OG0006942,paml_selected
OG0006952,paml_selected
OG0006979,paml_selected
OG0006987,paml_selected
OG0006994,paml_selected
OG0006999,paml_selected
OG0007030,paml_selected
OG0007061,paml_selected
OG0007085,paml_selected
OG0007133,paml_selected
OG0007154,paml_selected
OG0007294,paml_selected
OG0007296,paml_selected
OG0007329,paml_selected
OG0007352,paml_selected
OG0007544,paml_selected
OG0007575,paml_selected
OG0007582,paml_selected
OG0007583,paml_selected
OG0007589,paml_selected
OG0007591,paml_selected
OG0007676,paml_selected
OG0007718,paml_selected
OG0007723,paml_selected
OG0007743,paml_selected
OG0007833,paml_selected
OG0007874,paml_selected
OG0007881,paml_selected
OG0007977,paml_selected
OG0008169,paml_selected
OG0008210,paml_selected
OG0008222,paml_selected
OG0008257,paml_selected
OG0008297,paml_selected
OG0008303,paml_selected
OG0008309,paml_selected
OG0008463,paml_selected
OG0008469,paml_selected
OG0008492,paml_selected
OG0008534,paml_selected
OG0008554,paml_selected
OG0008609,paml_selected
OG0008643,paml_selected
OG0008664,paml_selected
OG0008731,paml_selected
OG0008736,paml_selected
OG0008792,paml_selected
OG0008820,paml_selected
OG0008834,paml_selected
OG0008840,paml_selected
OG0008888,paml_selected
OG0008934,paml_selected
OG0008951,paml_selected
OG0008977,paml_selected
OG0008981,paml_selected
OG0008986,paml_selected
OG0009032,paml_selected
OG0009122,paml_selected
OG0009144,paml_selected
OG0009158,paml_selected
OG0009177,paml_selected
OG0009189,paml_selected
OG0009230,paml_selected
OG0009274,paml_selected
OG0009275,paml_selected
OG0009320,paml_selected
OG0009397,paml_selected
OG0009413,paml_selected
OG0009414,paml_selected
OG0009419,paml_selected
OG0009470,paml_selected
OG0009534,paml_selected
OG0009538,paml_selected
OG0009545,paml_selected
OG0009572,paml_selected
OG0009606,paml_selected
OG0009648,paml_selected
OG0009705,paml_selected
OG0009753,paml_selected
OG0009773,paml_selected
OG0009799,paml_selected
OG0009817,paml_selected
OG0009870,paml_selected
OG0009893,paml_selected
OG0009897,paml_selected
OG0009934,paml_selected
OG0009961,paml_selected
OG0009980,paml_selected
OG0010003,paml_selected
OG0010017,paml_selected
OG0010043,paml_selected
OG0010084,paml_selected
OG0010088,paml_selected
OG0010092,paml_selected
OG0010113,paml_selected
OG0010116,paml_selected
OG0010140,paml_selected
OG0010171,paml_selected
OG0010185,paml_selected
OG0010197,paml_selected
OG0010204,paml_selected
OG0010210,paml_selected
OG0010221,paml_selected
OG0010228,paml_selected
OG0010238,paml_selected
OG0010328,paml_selected
OG0010391,paml_selected
OG0010400,paml_selected
OG0010410,paml_selected
OG0010415,paml_selected
OG0010494,paml_selected
OG0010558,paml_selected
OG0010592,paml_selected
OG0010616,paml_selected
OG0010618,paml_selected
OG0010650,paml_selected
OG0010685,paml_selected
OG0010704,paml_selected
OG0010713,paml_selected
OG0010716,paml_selected
OG0010735,paml_selected
OG0010743,paml_selected
OG0010766,paml_selected
OG0010816,paml_selected
OG0010844,paml_selected
OG0010870,paml_selected
OG0010910,paml_selected
OG0010923,paml_selected
OG0010939,paml_selected
OG0010952,paml_selected
OG0011005,paml_selected
OG0011084,paml_selected
OG0011102,paml_selected
OG0011125,paml_selected
OG0011216,paml_selected
OG0011223,paml_selected
OG0011321,paml_selected
