OG_symbol	selection	species
OG0008689	positive	Prang
OG0010910	positive	Prang
OG0011669	positive	Prang
OG0005559	positive	Prang
OG0011315	positive	Prang
OG0009190	positive	Prang
OG0007893	positive	Prang
OG0011903	positive	Prang
OG0009016	positive	Prang
OG0010624	positive	Prang
OG0009036	positive	Prang
OG0007674	positive	Prang
OG0008763	positive	Prang
OG0011857	positive	Prang
OG0009166	positive	Prang
OG0010572	positive	Prang
OG0011768	positive	Prang
OG0009530	positive	Prang
OG0007233	positive	Prang
OG0011029	positive	Prang
OG0009168	positive	Prang
OG0009445	positive	Prang
OG0010774	positive	Prang
OG0007102	positive	Prang
OG0006515	positive	Prang
OG0011471	positive	Prang
OG0011401	positive	Prang
OG0009024	positive	Prang
OG0008193	positive	Prang
OG0009901	positive	Prang
OG0010652	positive	Prang
OG0006575	positive	Prang
OG0005851	positive	Prang
OG0009935	positive	Prang
OG0005970	positive	Prang
OG0010044	positive	Prang
OG0011987	positive	Prang
OG0011897	positive	Prang
OG0005901	positive	Prang
OG0006677	positive	Prang
OG0006940	positive	Prang
OG0011175	positive	Prang
OG0009765	positive	Prang
OG0009506	positive	Prang
OG0011205	positive	Prang
OG0011288	positive	Prang
OG0010308	positive	Prang
OG0010693	positive	Prang
OG0009875	positive	Prang
OG0006794	positive	Prang
OG0008441	positive	Prang
OG0007534	positive	Prang
OG0005267	positive	Prang
OG0007840	positive	Prang
OG0009107	positive	Prang
OG0012061	positive	Prang
OG0012289	positive	Prang
OG0008420	positive	Prang
OG0005064	positive	Prang
OG0007350	positive	Prang
OG0010320	positive	Prang
OG0007968	positive	Prang
OG0007897	positive	Prang
OG0007180	positive	Prang
OG0008884	positive	Prang
OG0011872	positive	Prang
OG0006358	positive	Prang
OG0009643	positive	Prang
OG0005891	positive	Prang
OG0009532	positive	Prang
OG0006785	positive	Prang
OG0008349	positive	Prang
OG0007365	positive	Prang
OG0010065	positive	Prang
OG0008409	positive	Prang
OG0010567	positive	Prang
OG0005386	positive	Prang
OG0008372	positive	Prang
OG0005872	positive	Prang
OG0010093	positive	Prang
OG0007742	positive	Prang
OG0008941	positive	Prang
OG0007615	positive	Prang
OG0006450	positive	Prang
OG0006695	positive	Prang
OG0011561	positive	Prang
OG0009289	positive	Prang
OG0009480	positive	Prang
OG0010829	positive	Prang
OG0008186	positive	Prang
OG0010684	positive	Prang
OG0008434	positive	Prang
OG0007982	positive	Prang
OG0012519	positive	Prang
OG0007744	positive	Prang
OG0011047	positive	Prang
OG0006543	positive	Prang
OG0008280	positive	Prang
OG0006307	positive	Prang
OG0008612	positive	Prang
OG0007816	positive	Prang
OG0011472	positive	Prang
OG0010022	positive	Prang
OG0007693	positive	Prang
OG0010780	positive	Prang
OG0009120	positive	Prang
OG0006421	positive	Prang
OG0010762	positive	Prang
OG0008273	positive	Prang
OG0008738	positive	Prang
OG0010341	positive	Prang
OG0009690	positive	Prang
OG0011192	positive	Prang
OG0010292	positive	Prang
OG0011039	positive	Prang
OG0009939	positive	Prang
OG0009150	positive	Prang
OG0007497	positive	Prang
OG0007336	positive	Prang
OG0008218	positive	Prang
OG0011847	positive	Prang
OG0011931	positive	Prang
OG0008215	positive	Prang
OG0011680	positive	Prang
OG0009662	positive	Prang
OG0011630	positive	Prang
OG0009492	positive	Prang
OG0008085	positive	Prang
OG0009059	positive	Prang
OG0008157	positive	Prang
