OG_symbol	selection	species
OG0005433	positive	Trros
OG0011695	positive	Trros
OG0010759	positive	Trros
OG0011366	positive	Trros
OG0010549	positive	Trros
OG0005783	positive	Trros
OG0009827	positive	Trros
OG0008998	positive	Trros
OG0009016	positive	Trros
OG0011649	positive	Trros
OG0010818	positive	Trros
OG0006417	positive	Trros
OG0012165	positive	Trros
OG0007233	positive	Trros
OG0006898	positive	Trros
OG0007102	positive	Trros
OG0012523	positive	Trros
OG0010652	positive	Trros
OG0012295	positive	Trros
OG0010531	positive	Trros
OG0008716	positive	Trros
OG0008475	positive	Trros
OG0010369	positive	Trros
OG0006145	positive	Trros
OG0010308	positive	Trros
OG0010693	positive	Trros
OG0009875	positive	Trros
OG0009848	positive	Trros
OG0009959	positive	Trros
OG0010322	positive	Trros
OG0005533	positive	Trros
OG0010340	positive	Trros
OG0009908	positive	Trros
OG0010994	positive	Trros
OG0006308	positive	Trros
OG0010029	positive	Trros
OG0009974	positive	Trros
OG0007398	positive	Trros
OG0007968	positive	Trros
OG0011748	positive	Trros
OG0005697	positive	Trros
OG0012014	positive	Trros
OG0006358	positive	Trros
OG0009539	positive	Trros
OG0007365	positive	Trros
OG0009074	positive	Trros
OG0009537	positive	Trros
OG0006922	positive	Trros
OG0011132	positive	Trros
OG0009265	positive	Trros
OG0008312	positive	Trros
OG0008588	positive	Trros
OG0010479	positive	Trros
OG0010610	positive	Trros
OG0006450	positive	Trros
OG0009234	positive	Trros
OG0006394	positive	Trros
OG0009751	positive	Trros
OG0007744	positive	Trros
OG0005979	positive	Trros
OG0007048	positive	Trros
OG0008795	positive	Trros
OG0011006	positive	Trros
OG0011285	positive	Trros
OG0011791	positive	Trros
OG0010762	positive	Trros
OG0008273	positive	Trros
OG0006582	positive	Trros
OG0010299	positive	Trros
OG0007171	positive	Trros
OG0010414	positive	Trros
OG0009492	positive	Trros
OG0011102	positive	Trros
OG0009943	positive	Trros
OG0011637	positive	Trros
OG0007145	positive	Trros
OG0007027	positive	Trros
OG0011809	positive	Trros
OG0007859	positive	Trros
OG0009762	positive	Trros
OG0010084	positive	Trros
OG0009263	positive	Trros
OG0006902	positive	Trros
OG0008426	positive	Trros
OG0003646	positive	Trros
OG0008967	positive	Trros
OG0007583	positive	Trros
OG0008296	positive	Trros
OG0008844	positive	Trros
OG0008565	positive	Trros
OG0011686	positive	Trros
OG0009680	positive	Trros
OG0006495	positive	Trros
OG0010938	positive	Trros
OG0007135	positive	Trros
OG0008823	positive	Trros
OG0006122	positive	Trros
OG0011898	positive	Trros
OG0010051	positive	Trros
OG0006437	positive	Trros
OG0008323	positive	Trros
OG0010548	positive	Trros
OG0007151	positive	Trros
OG0007823	positive	Trros
OG0007953	positive	Trros
OG0011307	positive	Trros
OG0008682	positive	Trros
OG0012115	positive	Trros
OG0010751	positive	Trros
OG0003471	positive	Trros
OG0010819	positive	Trros
OG0007009	positive	Trros
OG0008830	positive	Trros
OG0006883	positive	Trros
OG0007457	positive	Trros
OG0011341	positive	Trros
OG0011302	positive	Trros
OG0011767	positive	Trros
OG0007138	positive	Trros
OG0010640	positive	Trros
OG0011702	positive	Trros
OG0007535	positive	Trros
OG0007091	positive	Trros
OG0009362	positive	Trros
OG0008222	positive	Trros
OG0010557	positive	Trros
OG0011176	positive	Trros
OG0011160	positive	Trros
OG0010674	positive	Trros
OG0010323	positive	Trros
OG0005049	positive	Trros
OG0009768	positive	Trros
OG0012420	positive	Trros
OG0009108	positive	Trros
OG0007934	positive	Trros
OG0009761	positive	Trros
OG0010843	positive	Trros
OG0011103	positive	Trros
OG0007197	positive	Trros
OG0011384	positive	Trros
OG0010633	positive	Trros
OG0008957	positive	Trros
OG0009828	positive	Trros
OG0006245	positive	Trros
OG0010536	positive	Trros
OG0006465	positive	Trros
OG0010566	positive	Trros
OG0009358	positive	Trros
OG0008512	positive	Trros
OG0012151	positive	Trros
OG0012518	positive	Trros
OG0007368	positive	Trros
OG0011750	positive	Trros
OG0006759	positive	Trros
OG0010830	positive	Trros
OG0006975	positive	Trros
OG0007026	positive	Trros
OG0005873	positive	Trros
OG0009334	positive	Trros
OG0005611	positive	Trros
OG0006352	positive	Trros
OG0009048	positive	Trros
OG0004776	positive	Trros
OG0010088	positive	Trros
OG0007557	positive	Trros
OG0011169	positive	Trros
OG0011181	positive	Trros
OG0008310	positive	Trros
OG0010222	positive	Trros
OG0006501	positive	Trros
OG0006598	positive	Trros
OG0010580	positive	Trros
OG0007691	positive	Trros
OG0006916	positive	Trros
OG0008174	positive	Trros
OG0007407	positive	Trros
OG0007888	positive	Trros
OG0011229	positive	Trros
OG0007933	positive	Trros
OG0009246	positive	Trros
OG0007440	positive	Trros
OG0010015	positive	Trros
OG0008146	positive	Trros
OG0009559	positive	Trros
OG0006386	positive	Trros
OG0007087	positive	Trros
OG0010678	positive	Trros
OG0009509	positive	Trros
OG0006862	positive	Trros
OG0010383	positive	Trros
OG0009298	positive	Trros
OG0007414	positive	Trros
OG0010027	positive	Trros
OG0006938	positive	Trros
OG0011704	positive	Trros
OG0009745	positive	Trros
OG0011425	positive	Trros
OG0008853	positive	Trros
OG0008524	positive	Trros
OG0008345	positive	Trros
OG0005609	positive	Trros
OG0009846	positive	Trros
OG0007386	positive	Trros
OG0009403	positive	Trros
OG0011231	positive	Trros
OG0006958	positive	Trros
OG0011667	positive	Trros
OG0012283	positive	Trros
OG0010588	positive	Trros
OG0011348	positive	Trros
OG0011295	positive	Trros
OG0005786	positive	Trros
OG0009000	positive	Trros
OG0006268	positive	Trros
OG0009278	positive	Trros
OG0007159	positive	Trros
OG0007919	positive	Trros
OG0008765	positive	Trros
OG0006566	positive	Trros
OG0011353	positive	Trros
OG0007136	positive	Trros
OG0008170	positive	Trros
OG0010367	positive	Trros
OG0009281	positive	Trros
OG0005948	positive	Trros
OG0007260	positive	Trros
OG0006857	positive	Trros
OG0006981	positive	Trros
OG0010259	positive	Trros
OG0006642	positive	Trros
OG0011586	positive	Trros
OG0011354	positive	Trros
OG0005531	positive	Trros
OG0007678	positive	Trros
OG0006284	positive	Trros
OG0008693	positive	Trros
OG0010565	positive	Trros
OG0009550	positive	Trros
OG0008782	positive	Trros
OG0007116	positive	Trros
OG0011423	positive	Trros
OG0011243	positive	Trros
OG0008407	positive	Trros
OG0006763	positive	Trros
OG0008675	positive	Trros
OG0010832	positive	Trros
OG0010827	positive	Trros
OG0008374	positive	Trros
OG0005741	positive	Trros
OG0010078	positive	Trros
OG0006871	positive	Trros
OG0008268	positive	Trros
OG0012424	positive	Trros
OG0010211	positive	Trros
OG0007176	positive	Trros
OG0012340	positive	Trros
OG0011845	positive	Trros
OG0007810	positive	Trros
OG0005582	positive	Trros
OG0006539	positive	Trros
OG0005481	positive	Trros
OG0007481	positive	Trros
OG0010132	positive	Trros
OG0008343	positive	Trros
OG0009614	positive	Trros
OG0009461	positive	Trros
OG0008845	positive	Trros
OG0011532	positive	Trros
OG0009063	positive	Trros
OG0008566	positive	Trros
OG0009503	positive	Trros
OG0007297	positive	Trros
OG0009773	positive	Trros
OG0007018	positive	Trros
OG0008715	positive	Trros
OG0009001	positive	Trros
OG0006638	positive	Trros
OG0007413	positive	Trros
OG0012545	positive	Trros
OG0008796	positive	Trros
OG0010014	positive	Trros
OG0011946	positive	Trros
OG0009516	positive	Trros
OG0007541	positive	Trros
OG0008104	positive	Trros
OG0006493	positive	Trros
OG0009174	positive	Trros
OG0010122	positive	Trros
OG0008394	positive	Trros
OG0005519	positive	Trros
OG0006142	positive	Trros
OG0006654	positive	Trros
OG0009227	positive	Trros
OG0006757	positive	Trros
OG0007005	positive	Trros
OG0011696	positive	Trros
OG0012183	positive	Trros
OG0008125	positive	Trros
OG0006803	positive	Trros
OG0010826	positive	Trros
OG0011220	positive	Trros
OG0007720	positive	Trros
OG0008781	positive	Trros
OG0009956	positive	Trros
OG0012007	positive	Trros
OG0010564	positive	Trros
OG0007593	positive	Trros
OG0010156	positive	Trros
OG0011116	positive	Trros
OG0008557	positive	Trros
OG0012392	positive	Trros
OG0011740	positive	Trros
OG0005621	positive	Trros
OG0009963	positive	Trros
OG0008087	positive	Trros
OG0010498	positive	Trros
OG0006631	positive	Trros
OG0009924	positive	Trros
OG0007768	positive	Trros
OG0006129	positive	Trros
