OG_ID,analysis_absrel,analysis_relax_intens,analysis_PAML,analysis_cafe_expanded,analysis_relax_relaxed,analysis_cafe_contr,condition_pigmentation,condition_eyes,gene_symbol
OG0005622,absrel_shared_sign,intensified,PAML,NA,NA,NA,NA,NA,RASA1
OG0006416,absrel_shared_sign,intensified,PAML,NA,NA,NA,NA,NA,FGG
OG0006532,absrel_shared_sign,intensified,PAML,NA,NA,NA,NA,NA,KTI12
OG0006682,absrel_shared_sign,intensified,PAML,NA,NA,NA,NA,NA,FARS2
OG0007092,absrel_shared_sign,intensified,PAML,NA,NA,NA,NA,NA,SERPINC1
OG0008700,absrel_shared_sign,intensified,PAML,NA,NA,NA,NA,eyeloss,DBN1
OG0008763,absrel_shared_sign,intensified,PAML,NA,NA,NA,NA,NA,ZRANB2
OG0009471,absrel_shared_sign,intensified,PAML,NA,NA,NA,NA,NA,ATXN7L3
OG0010494,absrel_shared_sign,intensified,PAML,NA,NA,NA,NA,NA,NPHS1
OG0011439,absrel_shared_sign,intensified,PAML,NA,NA,NA,NA,NA,WBP11
OG0012952,absrel_shared_sign,intensified,PAML,NA,NA,NA,NA,NA,IFT80
OG0013049,absrel_shared_sign,intensified,PAML,NA,NA,NA,NA,NA,EFCAB2
OG0007946,absrel_shared_sign,intensified,NA,NA,NA,NA,NA,NA,JOSD1
OG0008581,absrel_shared_sign,intensified,NA,NA,NA,NA,NA,NA,NUPL1
OG0009426,absrel_shared_sign,intensified,NA,NA,NA,NA,NA,NA,CCDC79
OG0012645,absrel_shared_sign,intensified,NA,NA,NA,NA,NA,NA,TCF25
OG0004409,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,ALOX5
OG0005921,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,DROSHA
OG0006106,absrel_shared_sign,NA,PAML,NA,relaxed,NA,NA,NA,Znf704
OG0006675,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,eyeloss,VWA8
OG0006738,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,SHF
OG0006763,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,RRN3
OG0006890,absrel_shared_sign,NA,PAML,NA,NA,NA,pigmentation,NA,NUP88
OG0007239,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,LRRC1
OG0007492,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,CBWD1
OG0007750,absrel_shared_sign,NA,PAML,NA,relaxed,NA,pigmentation,NA,MDM2
OG0008037,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,PUS3
OG0008123,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,C10orf11
OG0008160,absrel_shared_sign,NA,PAML,NA,relaxed,NA,pigmentation,NA,GPC3
OG0008410,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,DAW1
OG0008600,absrel_shared_sign,NA,PAML,NA,relaxed,NA,NA,NA,KIAA1429
OG0008612,absrel_shared_sign,NA,PAML,NA,relaxed,NA,NA,NA,UBR5
OG0008810,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,TFEC
OG0009454,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,FBXL16
OG0009904,absrel_shared_sign,NA,PAML,NA,relaxed,NA,NA,NA,CFAP58
OG0009972,absrel_shared_sign,NA,PAML,NA,relaxed,NA,pigmentation,NA,MIB1
OG0009980,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,ALG3
OG0010049,absrel_shared_sign,NA,PAML,NA,relaxed,NA,NA,NA,MPP1
OG0010205,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,KIAA1467
OG0010217,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,CSPG4
OG0010261,absrel_shared_sign,NA,PAML,NA,relaxed,NA,NA,NA,GALT
OG0010525,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,SHOX
OG0011099,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,GATM
OG0011345,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,WDR63
OG0011489,absrel_shared_sign,NA,PAML,NA,relaxed,NA,NA,NA,USP25
OG0011556,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,DNAJC17
OG0011941,absrel_shared_sign,NA,PAML,NA,relaxed,NA,pigmentation,NA,MCM2
OG0012159,absrel_shared_sign,NA,PAML,NA,relaxed,NA,NA,NA,STIP1
OG0012339,absrel_shared_sign,NA,PAML,NA,relaxed,NA,NA,NA,FOXP2
OG0012543,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,ABCD4
OG0013169,absrel_shared_sign,NA,PAML,NA,relaxed,NA,NA,NA,CMC2
OG0013204,absrel_shared_sign,NA,PAML,NA,NA,NA,NA,NA,MALSU1
OG0005477,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,AKAP2
OG0007062,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,ENOPH1
OG0007475,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,GUCD1
OG0007891,absrel_shared_sign,NA,NA,NA,relaxed,NA,NA,NA,KDM1A
OG0008232,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,SP1
OG0008412,absrel_shared_sign,NA,NA,NA,relaxed,NA,NA,eyeloss,DNER
OG0008459,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,DPM2
OG0008473,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,POU2F3
OG0008493,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,HEPACAM2
OG0008740,absrel_shared_sign,NA,NA,NA,relaxed,NA,NA,NA,TM9SF4
OG0008807,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,TBC1D30
OG0009455,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,METTL22
OG0009541,absrel_shared_sign,NA,NA,NA,relaxed,NA,NA,eyeloss,ELMO3
OG0009651,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,KDM5C
OG0009702,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,ILVBL
OG0009820,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,KPNB1
OG0010113,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,MST1
OG0010995,absrel_shared_sign,NA,NA,NA,relaxed,NA,NA,NA,DCUN1D5
OG0011903,absrel_shared_sign,NA,NA,NA,relaxed,NA,NA,NA,EPHA10
OG0012366,absrel_shared_sign,NA,NA,NA,relaxed,NA,NA,NA,MYBPC1
OG0013497,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,SLC38A11
