OG_symbol	selection	species
OG0012213	positive	Sirhi
OG0012134	positive	Sirhi
OG0011128	positive	Sirhi
OG0009036	positive	Sirhi
OG0012437	positive	Sirhi
OG0011362	positive	Sirhi
OG0009445	positive	Sirhi
OG0013180	positive	Sirhi
OG0013462	positive	Sirhi
OG0010337	positive	Sirhi
OG0007259	positive	Sirhi
OG0012192	positive	Sirhi
OG0012475	positive	Sirhi
OG0009099	positive	Sirhi
OG0006089	positive	Sirhi
OG0007055	positive	Sirhi
OG0011467	positive	Sirhi
OG0012095	positive	Sirhi
OG0007466	positive	Sirhi
OG0010831	positive	Sirhi
OG0007202	positive	Sirhi
OG0012135	positive	Sirhi
OG0011540	positive	Sirhi
OG0006594	positive	Sirhi
OG0011418	positive	Sirhi
OG0008612	positive	Sirhi
OG0013054	positive	Sirhi
OG0013331	positive	Sirhi
OG0010079	positive	Sirhi
OG0012117	positive	Sirhi
OG0013585	positive	Sirhi
OG0012543	positive	Sirhi
OG0012736	positive	Sirhi
OG0010051	positive	Sirhi
OG0013544	positive	Sirhi
OG0010312	positive	Sirhi
OG0012635	positive	Sirhi
OG0006742	positive	Sirhi
OG0009544	positive	Sirhi
OG0013727	positive	Sirhi
OG0007967	positive	Sirhi
OG0007729	positive	Sirhi
OG0010805	positive	Sirhi
OG0013586	positive	Sirhi
OG0012551	positive	Sirhi
OG0007057	positive	Sirhi
OG0013050	positive	Sirhi
OG0011497	positive	Sirhi
OG0013140	positive	Sirhi
OG0012802	positive	Sirhi
OG0012668	positive	Sirhi
OG0012868	positive	Sirhi
OG0012899	positive	Sirhi
OG0010112	positive	Sirhi
OG0013193	positive	Sirhi
OG0013348	positive	Sirhi
OG0011428	positive	Sirhi
OG0006333	positive	Sirhi
OG0012246	positive	Sirhi
OG0012975	positive	Sirhi
OG0009917	positive	Sirhi
OG0008899	positive	Sirhi
OG0012467	positive	Sirhi
OG0012970	positive	Sirhi
OG0011758	positive	Sirhi
OG0013726	positive	Sirhi
OG0014046	positive	Sirhi
OG0006228	positive	Sirhi
OG0012964	positive	Sirhi
OG0008448	positive	Sirhi
OG0012158	positive	Sirhi
OG0009142	positive	Sirhi
OG0012648	positive	Sirhi
OG0013429	positive	Sirhi
OG0007006	positive	Sirhi
OG0013402	positive	Sirhi
OG0013192	positive	Sirhi
OG0010471	positive	Sirhi
OG0010445	positive	Sirhi
OG0006763	positive	Sirhi
OG0012935	positive	Sirhi
OG0009925	positive	Sirhi
OG0012307	positive	Sirhi
OG0011470	positive	Sirhi
OG0012458	positive	Sirhi
OG0013090	positive	Sirhi
OG0012971	positive	Sirhi
OG0013493	positive	Sirhi
OG0008933	positive	Sirhi
OG0012945	positive	Sirhi
OG0005700	positive	Sirhi
OG0011910	positive	Sirhi
OG0011409	positive	Sirhi
OG0011458	positive	Sirhi
OG0013770	positive	Sirhi
OG0007098	positive	Sirhi
OG0013451	positive	Sirhi
OG0011056	positive	Sirhi
OG0012958	positive	Sirhi
OG0011679	positive	Sirhi
OG0012403	positive	Sirhi
OG0011127	positive	Sirhi
OG0012387	positive	Sirhi
OG0007922	positive	Sirhi
OG0012425	positive	Sirhi
OG0012928	positive	Sirhi
OG0012880	positive	Sirhi
OG0012231	positive	Sirhi
OG0009823	positive	Sirhi
OG0010430	positive	Sirhi
OG0012392	positive	Sirhi
OG0008743	positive	Sirhi
OG0011837	positive	Sirhi
OG0011174	positive	Sirhi
OG0013707	positive	Sirhi
OG0012624	positive	Sirhi
OG0009661	positive	Sirhi
OG0008725	positive	Sirhi
OG0007115	positive	Sirhi
OG0010997	positive	Sirhi
OG0014085	positive	Sirhi
OG0013762	positive	Sirhi
OG0011420	positive	Sirhi
OG0013101	positive	Sirhi
OG0014494	positive	Sirhi
OG0012098	positive	Sirhi
OG0008351	positive	Sirhi
OG0013098	positive	Sirhi
OG0014164	positive	Sirhi
OG0005592	positive	Sirhi
OG0008201	positive	Sirhi
OG0006553	positive	Sirhi
OG0012276	positive	Sirhi
OG0010009	positive	Sirhi
OG0012441	positive	Sirhi
OG0008098	positive	Sirhi
OG0010487	positive	Sirhi
OG0005910	positive	Sirhi
OG0012317	positive	Sirhi
OG0010036	positive	Sirhi
OG0013047	positive	Sirhi
OG0011650	positive	Sirhi
OG0012471	positive	Sirhi
OG0009853	positive	Sirhi
OG0011344	positive	Sirhi
OG0009115	positive	Sirhi
OG0012901	positive	Sirhi
OG0009879	positive	Sirhi
OG0012702	positive	Sirhi
