OG_symbol	selection	species
OG0009347	positive	Sians
OG0012437	positive	Sians
OG0010818	positive	Sians
OG0013060	positive	Sians
OG0009099	positive	Sians
OG0008344	positive	Sians
OG0006940	positive	Sians
OG0011301	positive	Sians
OG0012274	positive	Sians
OG0013747	positive	Sians
OG0011960	positive	Sians
OG0013095	positive	Sians
OG0012889	positive	Sians
OG0013538	positive	Sians
OG0012123	positive	Sians
OG0012383	positive	Sians
OG0011418	positive	Sians
OG0010813	positive	Sians
OG0009314	positive	Sians
OG0007301	positive	Sians
OG0012960	positive	Sians
OG0012245	positive	Sians
OG0013585	positive	Sians
OG0012385	positive	Sians
OG0012640	positive	Sians
OG0013544	positive	Sians
OG0012616	positive	Sians
OG0012923	positive	Sians
OG0012440	positive	Sians
OG0008523	positive	Sians
OG0006742	positive	Sians
OG0011399	positive	Sians
OG0010217	positive	Sians
OG0012193	positive	Sians
OG0010441	positive	Sians
OG0010805	positive	Sians
OG0013586	positive	Sians
OG0011103	positive	Sians
OG0007057	positive	Sians
OG0013140	positive	Sians
OG0012526	positive	Sians
OG0012518	positive	Sians
OG0012868	positive	Sians
OG0010112	positive	Sians
OG0007595	positive	Sians
OG0012370	positive	Sians
OG0007691	positive	Sians
OG0012092	positive	Sians
OG0006333	positive	Sians
OG0009313	positive	Sians
OG0012895	positive	Sians
OG0009745	positive	Sians
OG0010000	positive	Sians
OG0013399	positive	Sians
OG0011900	positive	Sians
OG0012388	positive	Sians
OG0010339	positive	Sians
OG0010013	positive	Sians
OG0010020	positive	Sians
OG0012158	positive	Sians
OG0012339	positive	Sians
OG0012111	positive	Sians
OG0010941	positive	Sians
OG0011682	positive	Sians
OG0011737	positive	Sians
OG0010316	positive	Sians
OG0013192	positive	Sians
OG0012133	positive	Sians
OG0007760	positive	Sians
OG0006296	positive	Sians
OG0012125	positive	Sians
OG0013090	positive	Sians
OG0008292	positive	Sians
OG0011820	positive	Sians
OG0011292	positive	Sians
OG0010649	positive	Sians
OG0008876	positive	Sians
OG0008659	positive	Sians
OG0013520	positive	Sians
OG0008191	positive	Sians
OG0011056	positive	Sians
OG0007153	positive	Sians
OG0011924	positive	Sians
OG0012231	positive	Sians
OG0009883	positive	Sians
OG0005083	positive	Sians
OG0007058	positive	Sians
OG0010876	positive	Sians
OG0013012	positive	Sians
OG0010908	positive	Sians
OG0011553	positive	Sians
OG0011242	positive	Sians
OG0007115	positive	Sians
OG0011445	positive	Sians
OG0012876	positive	Sians
OG0009666	positive	Sians
OG0010076	positive	Sians
OG0012937	positive	Sians
OG0008201	positive	Sians
OG0010480	positive	Sians
OG0010850	positive	Sians
OG0011098	positive	Sians
OG0012477	positive	Sians
OG0013410	positive	Sians
OG0007514	positive	Sians
OG0010019	positive	Sians
OG0009852	positive	Sians
OG0012929	positive	Sians
OG0010392	positive	Sians
OG0013452	positive	Sians
OG0012432	positive	Sians
OG0013047	positive	Sians
OG0012592	positive	Sians
OG0006412	positive	Sians
OG0011344	positive	Sians
OG0013064	positive	Sians
OG0013164	positive	Sians
OG0007158	positive	Sians
OG0009776	positive	Sians
OG0013170	positive	Sians
OG0012225	positive	Sians
OG0010171	positive	Sians
OG0013743	positive	Sians
OG0013108	positive	Sians
OG0013876	positive	Sians
OG0008209	positive	Sians
OG0013526	positive	Sians
OG0013335	positive	Sians
OG0011136	positive	Sians
OG0012104	positive	Sians
OG0011244	positive	Sians
OG0013496	positive	Sians
OG0007946	positive	Sians
OG0007022	positive	Sians
OG0010544	positive	Sians
OG0011212	positive	Sians
OG0011812	positive	Sians
OG0012337	positive	Sians
OG0012927	positive	Sians
OG0009495	positive	Sians
OG0009071	positive	Sians
OG0013603	positive	Sians
OG0006633	positive	Sians
OG0011099	positive	Sians
OG0010926	positive	Sians
OG0008569	positive	Sians
OG0011595	positive	Sians
OG0013014	positive	Sians
OG0013461	positive	Sians
OG0012952	positive	Sians
OG0011474	positive	Sians
OG0010364	positive	Sians
OG0012758	positive	Sians
OG0008304	positive	Sians
OG0011085	positive	Sians
OG0011422	positive	Sians
OG0012119	positive	Sians
OG0012510	positive	Sians
OG0012638	positive	Sians
OG0009393	positive	Sians
OG0012649	positive	Sians
OG0008836	positive	Sians
OG0010205	positive	Sians
OG0010619	positive	Sians
OG0012997	positive	Sians
OG0010237	positive	Sians
OG0011414	positive	Sians
OG0009720	positive	Sians
OG0012492	positive	Sians
OG0007208	positive	Sians
OG0013069	positive	Sians
OG0010904	positive	Sians
OG0012343	positive	Sians
OG0010817	positive	Sians
OG0005846	positive	Sians
OG0013604	positive	Sians
OG0010515	positive	Sians
OG0013239	positive	Sians
OG0010620	positive	Sians
OG0006264	positive	Sians
OG0009196	positive	Sians
OG0013151	positive	Sians
OG0011766	positive	Sians
OG0013011	positive	Sians
OG0013712	positive	Sians
OG0012287	positive	Sians
OG0010050	positive	Sians
OG0012692	positive	Sians
OG0010760	positive	Sians
OG0012442	positive	Sians
OG0011224	positive	Sians
OG0006476	positive	Sians
OG0012226	positive	Sians
OG0013004	positive	Sians
OG0013361	positive	Sians
OG0008036	positive	Sians
OG0009493	positive	Sians
OG0008888	positive	Sians
OG0012939	positive	Sians
OG0011206	positive	Sians
OG0012645	positive	Sians
OG0013833	positive	Sians
OG0010021	positive	Sians
OG0013176	positive	Sians
OG0013715	positive	Sians
OG0012577	positive	Sians
OG0013605	positive	Sians
OG0006149	positive	Sians
OG0011510	positive	Sians
OG0010010	positive	Sians
OG0008369	positive	Sians
OG0012680	positive	Sians
OG0011597	positive	Sians
