OG_ID,analysis_absrel,gene_symbol.x,analysis_relaxed_intensified,analysis_paml,analysis_cafe_expanded,gene_symbol.y,analysis_relax_relaxed,analysis_cafe_contracted,gene_symbol,qname,query,chr,seqStart,seqEnd
OG0000014,NA,NA,NA,NA,NA,NA,NA,contracted,CYP2A13,longevity_candidate_gene_selection_analysis-OG0000014-evm.model.ptg000161l.3_Prang,evm.model.ptg000161l.3_Prang,chr10,860039971,860041489
OG0000028,NA,NA,NA,NA,NA,NA,NA,contracted,KRT10,longevity_candidate_gene_selection_analysis-OG0000028-evm.model.ptg001290l.6_Prang,evm.model.ptg001290l.6_Prang,chr9,1170640714,1170642217
OG0000110,NA,NA,NA,NA,NA,NA,NA,contracted,FMO4,longevity_candidate_gene_selection_analysis-OG0000110-evm.model.ptg003805l.1_Prang,evm.model.ptg003805l.1_Prang,chr12,1138437172,1138438075
OG0000145,NA,NA,NA,NA,expanded,NA,NA,NA,CHD7,longevity_candidate_gene_selection_analysis-OG0000145-evm.model.ptg001702l.5_Prang,evm.model.ptg001702l.5_Prang,chr5,2062948793,2062954745
OG0000631,NA,NA,NA,NA,NA,OGT,relaxed,NA,OGT,longevity_candidate_gene_selection_analysis-OG0000631-evm.model.ptg004775l.1_Prang,evm.model.ptg004775l.1_Prang,chr2,205407247,205410487
OG0000733,NA,NA,NA,NA,NA,ABCC4,relaxed,NA,ABCC4,longevity_candidate_gene_selection_analysis-OG0000733-evm.model.ptg003351l.2_Prang,evm.model.ptg003351l.2_Prang,chr3,1781549098,1781553148
OG0001157,NA,NA,NA,NA,NA,RPL31,relaxed,NA,RPL31,longevity_candidate_gene_selection_analysis-OG0001157-evm.model.ptg003349l.3_Prang,evm.model.ptg003349l.3_Prang,chr2,2866215258,2866215735
OG0001630,NA,NA,NA,paml_selected,NA,NA,NA,NA,MIA3,longevity_candidate_gene_selection_analysis-OG0001630-evm.model.ptg004119l.9_Prang,evm.model.ptg004119l.9_Prang,chr4,466563220,466570477
OG0002383,NA,MFAP4,intensified,paml_selected,NA,NA,NA,NA,MFAP4,longevity_candidate_gene_selection_analysis-OG0002383-evm.model.ptg001625l.3_Prang,evm.model.ptg001625l.3_Prang,chr11,519302663,519303428
OG0002589,NA,NA,NA,NA,expanded,NA,NA,NA,OBSCN,longevity_candidate_gene_selection_analysis-OG0002589-evm.model.ptg003247l.1_Prang,evm.model.ptg003247l.1_Prang,chr16,103280467,103297387
OG0002644,NA,NA,NA,NA,NA,RPS10,relaxed,NA,RPS10,longevity_candidate_gene_selection_analysis-OG0002644-evm.model.ptg008245l.1_Prang,evm.model.ptg008245l.1_Prang,chr9,83689754,83690435
OG0002744,NA,NA,NA,paml_selected,NA,VPS13B,relaxed,NA,VPS13B,longevity_candidate_gene_selection_analysis-OG0002744-evm.model.ptg000251l.1_Prang,evm.model.ptg000251l.1_Prang,chr2,558739664,558751346
OG0002807,NA,NA,NA,paml_selected,NA,NA,NA,NA,COL6A3,longevity_candidate_gene_selection_analysis-OG0002807-evm.model.ptg008736l.1_Prang,evm.model.ptg008736l.1_Prang,chr19,634250593,634260211
OG0002818,NA,NA,NA,paml_selected,NA,MRC1,relaxed,NA,MRC1,longevity_candidate_gene_selection_analysis-OG0002818-evm.model.ptg011903l.5_Prang,evm.model.ptg011903l.5_Prang,chr16,414367776,414371583
OG0002847,NA,NA,NA,paml_selected,NA,RIMBP2,relaxed,NA,RIMBP2,longevity_candidate_gene_selection_analysis-OG0002847-evm.model.ptg004165l.1_Prang,evm.model.ptg004165l.1_Prang,chr6,1305632806,1305633487
