OG_symbol	selection	species
OG0006377	positive	Luden
OG0009561	positive	Luden
OG0005559	positive	Luden
OG0010549	positive	Luden
OG0009016	positive	Luden
OG0008284	positive	Luden
OG0005884	positive	Luden
OG0006882	positive	Luden
OG0006898	positive	Luden
OG0011401	positive	Luden
OG0007544	positive	Luden
OG0012295	positive	Luden
OG0006251	positive	Luden
OG0005970	positive	Luden
OG0010369	positive	Luden
OG0006940	positive	Luden
OG0011288	positive	Luden
OG0008289	positive	Luden
OG0006387	positive	Luden
OG0008400	positive	Luden
OG0011105	positive	Luden
OG0010029	positive	Luden
OG0005941	positive	Luden
OG0010750	positive	Luden
OG0011571	positive	Luden
OG0007897	positive	Luden
OG0005697	positive	Luden
OG0010287	positive	Luden
OG0008349	positive	Luden
OG0010218	positive	Luden
OG0010278	positive	Luden
OG0010454	positive	Luden
OG0005319	positive	Luden
OG0010715	positive	Luden
OG0011864	positive	Luden
OG0008372	positive	Luden
OG0007090	positive	Luden
OG0008017	positive	Luden
OG0006695	positive	Luden
OG0009289	positive	Luden
OG0007202	positive	Luden
OG0008963	positive	Luden
OG0010684	positive	Luden
OG0010646	positive	Luden
OG0007744	positive	Luden
OG0007795	positive	Luden
OG0008778	positive	Luden
OG0008280	positive	Luden
OG0005979	positive	Luden
OG0011623	positive	Luden
OG0009872	positive	Luden
OG0010780	positive	Luden
OG0006421	positive	Luden
OG0007490	positive	Luden
OG0010096	positive	Luden
OG0006582	positive	Luden
OG0011459	positive	Luden
OG0011480	positive	Luden
OG0006983	positive	Luden
OG0008215	positive	Luden
OG0011630	positive	Luden
OG0006646	positive	Luden
OG0010508	positive	Luden
OG0011611	positive	Luden
OG0006800	positive	Luden
OG0011981	positive	Luden
OG0009606	positive	Luden
OG0006902	positive	Luden
OG0011077	positive	Luden
OG0005378	positive	Luden
OG0011686	positive	Luden
OG0011878	positive	Luden
OG0010647	positive	Luden
OG0008823	positive	Luden
OG0009833	positive	Luden
OG0011732	positive	Luden
OG0010623	positive	Luden
OG0008635	positive	Luden
OG0007151	positive	Luden
OG0008688	positive	Luden
OG0008005	positive	Luden
OG0008050	positive	Luden
OG0007009	positive	Luden
OG0007457	positive	Luden
OG0010370	positive	Luden
OG0010849	positive	Luden
OG0008523	positive	Luden
OG0008382	positive	Luden
OG0006427	positive	Luden
OG0011466	positive	Luden
OG0011555	positive	Luden
OG0007423	positive	Luden
OG0009282	positive	Luden
OG0009544	positive	Luden
OG0008562	positive	Luden
OG0012193	positive	Luden
OG0012273	positive	Luden
OG0010441	positive	Luden
