OG_symbol	selection	species
OG0010910	positive	Luden
OG0011506	positive	Luden
OG0007777	positive	Luden
OG0011669	positive	Luden
OG0010549	positive	Luden
OG0011298	positive	Luden
OG0009190	positive	Luden
OG0008998	positive	Luden
OG0012186	positive	Luden
OG0012234	positive	Luden
OG0007674	positive	Luden
OG0008763	positive	Luden
OG0013020	positive	Luden
OG0007556	positive	Luden
OG0012956	positive	Luden
OG0013060	positive	Luden
OG0013506	positive	Luden
OG0012260	positive	Luden
OG0014131	positive	Luden
OG0010337	positive	Luden
OG0011714	positive	Luden
OG0007217	positive	Luden
OG0005648	positive	Luden
OG0010369	positive	Luden
OG0006089	positive	Luden
OG0006463	positive	Luden
OG0009848	positive	Luden
OG0012534	positive	Luden
OG0009249	positive	Luden
OG0012582	positive	Luden
OG0010442	positive	Luden
OG0012457	positive	Luden
OG0008066	positive	Luden
OG0007350	positive	Luden
OG0009927	positive	Luden
OG0010287	positive	Luden
OG0007652	positive	Luden
OG0011800	positive	Luden
OG0013136	positive	Luden
OG0002470	positive	Luden
OG0011952	positive	Luden
OG0010464	positive	Luden
OG0007501	positive	Luden
OG0007183	positive	Luden
OG0007466	positive	Luden
OG0007866	positive	Luden
OG0009740	positive	Luden
OG0007090	positive	Luden
OG0006450	positive	Luden
OG0009480	positive	Luden
OG0013001	positive	Luden
OG0006326	positive	Luden
OG0013553	positive	Luden
OG0014160	positive	Luden
OG0007056	positive	Luden
OG0011652	positive	Luden
OG0007783	positive	Luden
OG0008738	positive	Luden
OG0010696	positive	Luden
OG0011496	positive	Luden
OG0010813	positive	Luden
OG0010885	positive	Luden
OG0012558	positive	Luden
OG0011931	positive	Luden
OG0010431	positive	Luden
OG0008596	positive	Luden
OG0011123	positive	Luden
OG0009520	positive	Luden
OG0011102	positive	Luden
OG0008700	positive	Luden
OG0013415	positive	Luden
OG0010747	positive	Luden
OG0012495	positive	Luden
OG0008839	positive	Luden
OG0007926	positive	Luden
OG0008123	positive	Luden
OG0010824	positive	Luden
OG0006128	positive	Luden
OG0008922	positive	Luden
OG0010358	positive	Luden
OG0010342	positive	Luden
OG0009820	positive	Luden
OG0011686	positive	Luden
OG0007918	positive	Luden
OG0007108	positive	Luden
OG0010163	positive	Luden
OG0009518	positive	Luden
OG0012530	positive	Luden
OG0006571	positive	Luden
OG0005492	positive	Luden
OG0009938	positive	Luden
OG0008543	positive	Luden
OG0008898	positive	Luden
OG0008717	positive	Luden
OG0011678	positive	Luden
OG0009833	positive	Luden
OG0010368	positive	Luden
OG0011898	positive	Luden
OG0010623	positive	Luden
OG0010270	positive	Luden
OG0012362	positive	Luden
OG0010632	positive	Luden
OG0009233	positive	Luden
OG0007823	positive	Luden
OG0011505	positive	Luden
OG0008396	positive	Luden
OG0010087	positive	Luden
OG0009426	positive	Luden
OG0013544	positive	Luden
OG0010721	positive	Luden
OG0007160	positive	Luden
OG0010873	positive	Luden
OG0006466	positive	Luden
OG0008830	positive	Luden
OG0010370	positive	Luden
OG0009996	positive	Luden
OG0005244	positive	Luden
OG0012923	positive	Luden
OG0012440	positive	Luden
OG0013169	positive	Luden
OG0012550	positive	Luden
OG0012675	positive	Luden
OG0010381	positive	Luden
OG0009761	positive	Luden
OG0010843	positive	Luden
OG0008455	positive	Luden
OG0009173	positive	Luden
OG0011241	positive	Luden
OG0008935	positive	Luden
OG0008205	positive	Luden
OG0011265	positive	Luden
OG0012867	positive	Luden
OG0009358	positive	Luden
OG0008031	positive	Luden
OG0008512	positive	Luden
OG0007298	positive	Luden
OG0007163	positive	Luden
OG0012668	positive	Luden
OG0010509	positive	Luden
OG0010474	positive	Luden
OG0008964	positive	Luden
OG0006975	positive	Luden
OG0009580	positive	Luden
OG0008149	positive	Luden
OG0008739	positive	Luden
OG0009821	positive	Luden
OG0008919	positive	Luden
OG0009216	positive	Luden
OG0006442	positive	Luden
