OG_symbol	selection	species
OG0010178	positive	Trros
OG0007142	positive	Trros
OG0008051	positive	Trros
OG0010944	positive	Trros
OG0009016	positive	Trros
OG0008135	positive	Trros
OG0006174	positive	Trros
OG0008763	positive	Trros
OG0011362	positive	Trros
OG0006882	positive	Trros
OG0006314	positive	Trros
OG0010774	positive	Trros
OG0013168	positive	Trros
OG0011401	positive	Trros
OG0013008	positive	Trros
OG0013365	positive	Trros
OG0012260	positive	Trros
OG0006575	positive	Trros
OG0014117	positive	Trros
OG0008767	positive	Trros
OG0012192	positive	Trros
OG0007217	positive	Trros
OG0005648	positive	Trros
OG0012475	positive	Trros
OG0010369	positive	Trros
OG0006940	positive	Trros
OG0006932	positive	Trros
OG0010308	positive	Trros
OG0010693	positive	Trros
OG0012534	positive	Trros
OG0007534	positive	Trros
OG0007268	positive	Trros
OG0007055	positive	Trros
OG0005932	positive	Trros
OG0009908	positive	Trros
OG0009974	positive	Trros
OG0005139	positive	Trros
OG0006407	positive	Trros
OG0006452	positive	Trros
OG0007652	positive	Trros
OG0002470	positive	Trros
OG0005960	positive	Trros
OG0008584	positive	Trros
OG0010162	positive	Trros
OG0010560	positive	Trros
OG0008777	positive	Trros
OG0013095	positive	Trros
OG0006519	positive	Trros
OG0007466	positive	Trros
OG0010232	positive	Trros
OG0012803	positive	Trros
OG0010897	positive	Trros
OG0009740	positive	Trros
OG0011554	positive	Trros
OG0008642	positive	Trros
OG0010829	positive	Trros
OG0012859	positive	Trros
OG0008434	positive	Trros
OG0011387	positive	Trros
OG0009417	positive	Trros
OG0012797	positive	Trros
OG0011712	positive	Trros
OG0008612	positive	Trros
OG0012309	positive	Trros
OG0014160	positive	Trros
OG0007056	positive	Trros
OG0007816	positive	Trros
OG0010780	positive	Trros
OG0011791	positive	Trros
OG0006421	positive	Trros
OG0007783	positive	Trros
OG0012316	positive	Trros
OG0011489	positive	Trros
OG0011313	positive	Trros
OG0009407	positive	Trros
OG0012622	positive	Trros
OG0006983	positive	Trros
OG0011778	positive	Trros
OG0013110	positive	Trros
OG0011680	positive	Trros
OG0008128	positive	Trros
OG0011630	positive	Trros
OG0010421	positive	Trros
OG0008700	positive	Trros
OG0007667	positive	Trros
OG0012495	positive	Trros
OG0012587	positive	Trros
OG0008123	positive	Trros
OG0013976	positive	Trros
OG0010002	positive	Trros
OG0007633	positive	Trros
OG0010791	positive	Trros
OG0010651	positive	Trros
OG0012214	positive	Trros
OG0010765	positive	Trros
OG0008768	positive	Trros
OG0009065	positive	Trros
OG0008823	positive	Trros
OG0005921	positive	Trros
OG0011898	positive	Trros
OG0010705	positive	Trros
OG0010639	positive	Trros
OG0007194	positive	Trros
OG0006890	positive	Trros
OG0006984	positive	Trros
OG0011188	positive	Trros
OG0013424	positive	Trros
OG0011780	positive	Trros
OG0006416	positive	Trros
OG0006466	positive	Trros
OG0007009	positive	Trros
OG0008140	positive	Trros
OG0012616	positive	Trros
OG0011302	positive	Trros
OG0010370	positive	Trros
OG0012923	positive	Trros
OG0006453	positive	Trros
OG0012635	positive	Trros
OG0011702	positive	Trros
OG0005629	positive	Trros
OG0008866	positive	Trros
OG0006742	positive	Trros
OG0013486	positive	Trros
OG0008852	positive	Trros
OG0013169	positive	Trros
OG0010217	positive	Trros
OG0010550	positive	Trros
OG0006998	positive	Trros
OG0007075	positive	Trros
OG0011160	positive	Trros
OG0009874	positive	Trros
OG0010697	positive	Trros
OG0012550	positive	Trros
OG0012193	positive	Trros
OG0011707	positive	Trros
OG0011388	positive	Trros
OG0010805	positive	Trros
OG0009274	positive	Trros
OG0010473	positive	Trros
OG0009637	positive	Trros
OG0010525	positive	Trros
OG0012551	positive	Trros
OG0006641	positive	Trros
OG0008109	positive	Trros
OG0008079	positive	Trros
OG0009817	positive	Trros
OG0008935	positive	Trros
OG0012490	positive	Trros
OG0007815	positive	Trros
OG0008031	positive	Trros
OG0008512	positive	Trros
OG0012159	positive	Trros
OG0010503	positive	Trros
OG0008102	positive	Trros
OG0012526	positive	Trros
OG0007498	positive	Trros
OG0008964	positive	Trros
OG0008149	positive	Trros
OG0010112	positive	Trros
OG0009205	positive	Trros
OG0013558	positive	Trros
OG0009048	positive	Trros
OG0010786	positive	Trros
OG0008992	positive	Trros
OG0009216	positive	Trros
OG0004820	positive	Trros
OG0010345	positive	Trros
OG0008410	positive	Trros
OG0009148	positive	Trros
OG0007691	positive	Trros
OG0007755	positive	Trros
OG0007570	positive	Trros
OG0011631	positive	Trros
OG0007933	positive	Trros
OG0008595	positive	Trros
OG0009491	positive	Trros
OG0010929	positive	Trros
OG0010432	positive	Trros
OG0008816	positive	Trros
OG0005976	positive	Trros
OG0007907	positive	Trros
OG0006580	positive	Trros
OG0010658	positive	Trros
OG0007050	positive	Trros
OG0009504	positive	Trros
OG0009244	positive	Trros
OG0011788	positive	Trros
OG0011890	positive	Trros
OG0008404	positive	Trros
OG0007525	positive	Trros
OG0012302	positive	Trros
OG0010000	positive	Trros
OG0007319	positive	Trros
OG0013106	positive	Trros
OG0013399	positive	Trros
OG0010176	positive	Trros
OG0009677	positive	Trros
OG0011667	positive	Trros
OG0009688	positive	Trros
OG0009829	positive	Trros
OG0007235	positive	Trros
OG0008393	positive	Trros
OG0012691	positive	Trros
OG0012533	positive	Trros
OG0012232	positive	Trros
OG0011617	positive	Trros
OG0006675	positive	Trros
