Ammel,Ammex,Asmec,Asmes,Bubuf,Chasi,Chlan,Cocri,Darer,Ectel,Elmax,Ereur,Gamor,Geser,Hegla,Jajac,Luden,Miuni,Mymur,Nagal,Orcun,Ornil,Plwal,Prang,Ranor,Sians,Sigra,Sirhi,Soara,Thmac,Trros,Trtib,nSp,og,selectionF,selectionB,allF,allB
1,NA,0,1,1,1,1,1,1,1,1,1,1,1,0,1,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,hits_per_24_species,OG0003646,2,0,7,17
1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0003760,0,0,9,15
1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,3.15094330627375e-07,hits_per_24_species,OG0003774,0,1,9,15
0.0212874533654044,1,NA,NA,0.0029242713801626,1,1,1,NA,1,1,0.0209633245590557,2.59432748750399e-05,1,1,1,1,1,1,1,1,0.981075464647279,NA,1,1,NA,NA,NA,0.322951550774866,1,NA,1,hits_per_24_species,OG0004136,0,4,8,16
1,1,0,1,NA,1,1,6.92711445706706e-05,NA,0.503338588534883,0.026113368671237,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0004424,2,1,10,14
1,1,NA,NA,1,1,1,1,NA,2.30658792066407e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,hits_per_24_species,OG0004510,0,1,8,16
1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0004635,0,0,8,16
1,4.17791745643825e-07,1,1,0.0929310959049499,1,1,0.131201977907762,NA,1,1,0.300494143320362,8.24679936561878e-08,1,1,1,NA,1,NA,1,0.014415472953342,NA,1,1.36478823242747e-08,1,NA,NA,NA,1,NA,0.0356019458986077,0.0150600829847678,hits_per_24_species,OG0004676,2,4,9,15
1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,hits_per_24_species,OG0004761,0,0,9,15
1,NA,1,1,1,1,0.0521250882459651,NA,2.38409184927235e-06,0.0465984968969355,1,1,5.89128745787093e-12,0.171456727801257,1,1,1,NA,3.34889655473347e-06,1,1,9.68833247834144e-05,NA,NA,1,NA,NA,NA,0.00677903305366778,1.59872115546022e-13,1.27811545591605e-05,1.67088565206086e-11,hits_per_24_species,OG0004776,1,8,7,17
