Ammel,Ammex,Asmec,Asmes,Darer,Gamor,Hosap,Leocu,Luden,Mymur,Nebri,Plwal,Prang,Sians,Sigra,Sirhi,Tagut,Thmac,Trros,Trtib,Xetro,Zoviv,nSp,og,selectionF,selectionB,allF,allB
1,1,NA,NA,1,NA,NA,1,3.72226131251097e-07,1,1,0.855207814106226,1,1,2.32265318089730e-11,1,NA,1,0.002104279669569,1,1,NA,hits_per_16_species,OG0002470,2,1,5,11
0.294924914245991,1,1,1,0.000617608075970555,NA,NA,2.18811905176031e-05,1,0.0286561276012902,1,0.000419643933960434,NA,NA,NA,NA,1,1,1,0.00251481380652785,0.175825082351408,1,hits_per_16_species,OG0004388,0,5,3,13
1,NA,1,1,NA,1,1,1,0.000829574073251405,1,1,1,NA,NA,NA,NA,1,0.054045441162461,0.00095962980153419,1,1,0.859714777720788,hits_per_16_species,OG0004409,2,0,3,13
NA,0.287680720759513,NA,1.88499871267567e-09,0,2.90803783107307e-05,0.501469486962577,7.08754789568999e-05,1,1,1,1,NA,NA,NA,NA,0.0706021336855128,0.06184870131229,1,0,0.0134663697564765,0.257224327539961,hits_per_16_species,OG0004563,0,6,2,14
1,1,1.01096908622367e-12,0.103070837427672,NA,NA,1,1,1,1,1,1,0.152836030206434,NA,NA,NA,1,1,NA,1,1,1,hits_per_16_species,OG0004790,1,0,3,13
0.125715180136388,0.0856571307009035,1,1,0.112384895978168,0.00703266085481191,0.138874003555717,0.00242789800708643,1,0.986533981629282,1,NA,NA,NA,NA,NA,0.0168781117534912,1,1,0.373592814933171,NA,0.000621863742611195,hits_per_16_species,OG0004820,0,4,3,13
NA,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,1,0.204221690580048,NA,0.21921737800139,1,1,hits_per_16_species,OG0004896,0,0,3,13
1,1,1,1,NA,1,1,0.0433117293064489,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,0.00635373704800468,1,hits_per_16_species,OG0004956,0,2,3,13
1,NA,1,1,NA,0.00343150148239341,1,1,0.000912395091362317,1,1,NA,NA,NA,1,NA,1,1,2.20431667363741e-09,1,1,1,hits_per_16_species,OG0004960,2,1,3,13
1,1,1,3.574918139293e-14,NA,1,0.24706523612372,1,1,1,1,1,0,NA,NA,NA,1,1,NA,NA,1,1,hits_per_16_species,OG0005043,1,1,3,13
1,0.000648755161597347,1,NA,0.0650589734406287,7.88051623956676e-10,0.819495788671668,NA,0.00386576862701737,0.055636373213766,1,1,7.93787258146494e-12,NA,NA,NA,1,0.118417358009377,NA,0.11414501146103,0.0680925864863156,1,hits_per_16_species,OG0005078,2,2,3,13
