OG	gene_symbol
OG0000000	OR2B2
OG0000002	OR52E8
OG0000003	SNX1
OG0000004	CASR
OG0000005	TRIM39
OG0000006	BTN3A3
OG0000007	TRIM65
OG0000008	-
OG0000009	H2BFWT
OG0000010	VN1R2
OG0000011	IGLL5
OG0000012	IGSF1
OG0000013	KRT3
OG0000014	CYP2A13
OG0000015	KRBOX4
OG0000016	CCL5
OG0000017	PRSS57
OG0000018	HLA-F
OG0000019	H3F3C
OG0000020	RTL1
OG0000021	TAS2R39
OG0000023	-
OG0000024	CD209
OG0000025	-
OG0000026	-
OG0000027	GIMAP8
OG0000028	KRT10
OG0000029	PRSS22
OG0000030	-
OG0000031	IFNE
OG0000032	CENPB
OG0000034	CRYGS
OG0000035	MAGEA11
OG0000036	MYH7B
OG0000037	-
OG0000038	CDH22
OG0000039	HARBI1
OG0000040	TUBA1C
OG0000041	NLRP1
OG0000042	FTMT
OG0000043	PCDHGA4
OG0000044	PPBP
OG0000045	KRTAP16-1
OG0000046	HBE1
OG0000047	ACTA1
OG0000048	MS4A18
OG0000049	CEACAM5
OG0000050	ARL11
OG0000051	SERPINB6
OG0000052	TAAR1
OG0000053	EMR1
OG0000054	MYPOP
OG0000055	KLK11
OG0000056	SCN2A
OG0000057	-
OG0000058	CD300LG
OG0000059	S100A9
OG0000060	SCN5A
OG0000061	HIST1H1B
OG0000062	-
OG0000063	TUBB4A
OG0000064	KCNA4
OG0000065	CLDN8
OG0000067	EPHA6
OG0000068	MAS1L
OG0000069	SIGLEC10
OG0000070	RGS4
OG0000071	-
OG0000072	PCDHB1
OG0000073	-
OG0000074	URGCP
OG0000075	C5AR1
OG0000076	SULT1A1
OG0000077	RAC1
OG0000078	MMP27
OG0000079	SULT2B1
OG0000080	SERPINA4
OG0000081	CR1
OG0000082	HLA-DQB2
OG0000083	-
OG0000084	CD163L1
OG0000085	SLC22A12
OG0000086	GBP4
OG0000087	IRGC
OG0000088	-
OG0000089	SPACA3
OG0000090	CLEC2L
OG0000094	PINLYP
OG0000095	MUC6
OG0000096	GNG14
OG0000097	SPINK9
OG0000098	SFN
OG0000099	CCR3
OG0000100	-
OG0000101	-
OG0000102	ART1
OG0000104	CTSE
OG0000105	CAPN11
OG0000106	-
OG0000107	SLC5A9
OG0000108	CES4A
OG0000109	HSPA8
OG0000110	FMO4
OG0000111	HLA-DPA1
OG0000112	SSC4D
OG0000113	RNASE1
OG0000114	HNRNPA3
OG0000116	CLIC6
OG0000118	SLC2A9
OG0000119	OVGP1
OG0000120	A2M
OG0000121	NLRP12
OG0000122	APOL5
OG0000123	FABP7
OG0000124	HS3ST4
OG0000125	GTF2IRD2
OG0000126	DNAH1
OG0000128	MYL4
OG0000129	UGT2A1
OG0000130	ABO
OG0000131	WFDC3
OG0000132	CALM3
OG0000133	RBBP6
OG0000134	ERBB4
OG0000135	FCGBP
OG0000136	KDM4B
OG0000137	PLA2G5
OG0000138	HMGB3
OG0000139	ADH7
OG0000140	RDH5
OG0000141	CELA3B
OG0000142	BRD4
OG0000143	NLRP14
OG0000144	ADCYAP1R1
OG0000145	CHD7
OG0000146	GLYATL1
OG0000147	GRIA1
OG0000148	FGF13
