OG_symbol	selection	species
OG0009541	positive	Asmec
OG0011695	positive	Asmec
OG0006995	positive	Asmec
OG0011298	positive	Asmec
OG0011903	positive	Asmec
OG0006560	positive	Asmec
OG0011362	positive	Asmec
OG0007872	positive	Asmec
OG0007102	positive	Asmec
OG0006515	positive	Asmec
OG0007737	positive	Asmec
OG0008767	positive	Asmec
OG0012475	positive	Asmec
OG0009355	positive	Asmec
OG0006089	positive	Asmec
OG0012289	positive	Asmec
OG0011467	positive	Asmec
OG0010120	positive	Asmec
OG0010371	positive	Asmec
OG0008584	positive	Asmec
OG0010897	positive	Asmec
OG0006765	positive	Asmec
OG0008941	positive	Asmec
OG0007615	positive	Asmec
OG0007099	positive	Asmec
OG0010334	positive	Asmec
OG0007056	positive	Asmec
OG0011285	positive	Asmec
OG0011489	positive	Asmec
OG0011593	positive	Asmec
OG0007822	positive	Asmec
OG0008228	positive	Asmec
OG0011459	positive	Asmec
OG0012622	positive	Asmec
OG0009520	positive	Asmec
OG0013611	positive	Asmec
OG0011887	positive	Asmec
OG0008123	positive	Asmec
OG0009385	positive	Asmec
OG0009890	positive	Asmec
OG0011605	positive	Asmec
OG0013349	positive	Asmec
OG0007918	positive	Asmec
OG0010288	positive	Asmec
OG0012543	positive	Asmec
OG0009025	positive	Asmec
OG0011589	positive	Asmec
OG0008543	positive	Asmec
OG0005921	positive	Asmec
OG0006687	positive	Asmec
OG0007801	positive	Asmec
OG0012362	positive	Asmec
OG0010388	positive	Asmec
OG0006890	positive	Asmec
OG0011188	positive	Asmec
OG0005659	positive	Asmec
OG0008740	positive	Asmec
OG0013544	positive	Asmec
OG0010873	positive	Asmec
OG0010640	positive	Asmec
OG0011702	positive	Asmec
OG0010217	positive	Asmec
OG0011323	positive	Asmec
OG0014188	positive	Asmec
OG0013727	positive	Asmec
OG0009105	positive	Asmec
OG0008843	positive	Asmec
OG0009707	positive	Asmec
OG0007064	positive	Asmec
OG0008294	positive	Asmec
OG0008558	positive	Asmec
OG0010805	positive	Asmec
OG0010525	positive	Asmec
OG0009663	positive	Asmec
OG0009817	positive	Asmec
OG0011538	positive	Asmec
OG0011792	positive	Asmec
OG0013145	positive	Asmec
OG0007309	positive	Asmec
OG0008031	positive	Asmec
OG0012159	positive	Asmec
OG0008102	positive	Asmec
OG0010931	positive	Asmec
OG0010085	positive	Asmec
OG0008149	positive	Asmec
OG0008739	positive	Asmec
OG0012722	positive	Asmec
OG0007458	positive	Asmec
OG0014652	positive	Asmec
OG0010345	positive	Asmec
OG0007188	positive	Asmec
OG0008095	positive	Asmec
OG0010592	positive	Asmec
OG0014119	positive	Asmec
OG0011457	positive	Asmec
OG0008526	positive	Asmec
OG0009509	positive	Asmec
OG0006862	positive	Asmec
OG0008559	positive	Asmec
OG0012556	positive	Asmec
OG0007050	positive	Asmec
OG0011303	positive	Asmec
OG0009745	positive	Asmec
OG0009760	positive	Asmec
OG0008411	positive	Asmec
OG0007525	positive	Asmec
OG0013091	positive	Asmec
OG0008824	positive	Asmec
OG0008582	positive	Asmec
OG0008007	positive	Asmec
OG0010306	positive	Asmec
OG0008032	positive	Asmec
OG0006770	positive	Asmec
OG0008419	positive	Asmec
OG0012565	positive	Asmec
OG0012520	positive	Asmec
OG0011439	positive	Asmec
OG0009567	positive	Asmec
OG0014054	positive	Asmec
OG0012737	positive	Asmec
OG0010181	positive	Asmec
OG0013555	positive	Asmec
OG0010741	positive	Asmec
OG0013776	positive	Asmec
OG0011395	positive	Asmec
OG0006323	positive	Asmec
OG0007941	positive	Asmec
OG0008969	positive	Asmec
OG0008693	positive	Asmec
OG0009070	positive	Asmec
OG0007346	positive	Asmec
OG0008925	positive	Asmec
OG0008407	positive	Asmec
OG0011002	positive	Asmec
OG0012629	positive	Asmec
OG0008148	positive	Asmec
OG0010477	positive	Asmec
OG0011628	positive	Asmec
OG0012307	positive	Asmec
OG0009279	positive	Asmec
OG0008270	positive	Asmec
OG0013445	positive	Asmec
OG0006532	positive	Asmec
OG0010642	positive	Asmec
OG0012250	positive	Asmec
OG0007422	positive	Asmec
OG0009773	positive	Asmec
OG0007287	positive	Asmec
OG0012221	positive	Asmec
OG0010867	positive	Asmec
OG0009365	positive	Asmec
OG0010053	positive	Asmec
OG0007196	positive	Asmec
OG0010589	positive	Asmec
OG0011078	positive	Asmec
OG0012483	positive	Asmec
OG0008977	positive	Asmec
OG0014154	positive	Asmec
OG0006561	positive	Asmec
OG0011289	positive	Asmec
OG0007922	positive	Asmec
OG0011233	positive	Asmec
OG0004790	positive	Asmec
OG0006710	positive	Asmec
OG0011918	positive	Asmec
OG0014075	positive	Asmec
OG0012909	positive	Asmec
OG0008389	positive	Asmec
OG0011266	positive	Asmec
OG0011772	positive	Asmec
OG0013191	positive	Asmec
OG0009914	positive	Asmec
OG0008643	positive	Asmec
OG0012446	positive	Asmec
OG0008020	positive	Asmec
OG0007324	positive	Asmec
OG0007058	positive	Asmec
OG0007940	positive	Asmec
OG0013863	positive	Asmec
OG0007930	positive	Asmec
OG0005695	positive	Asmec
OG0006973	positive	Asmec
OG0012773	positive	Asmec
OG0012190	positive	Asmec
OG0007499	positive	Asmec
OG0008966	positive	Asmec
OG0011856	positive	Asmec
OG0011517	positive	Asmec
OG0007342	positive	Asmec
OG0011398	positive	Asmec
OG0008758	positive	Asmec
OG0013075	positive	Asmec
OG0012312	positive	Asmec
OG0011827	positive	Asmec
OG0008240	positive	Asmec
OG0008244	positive	Asmec
OG0006303	positive	Asmec
OG0009702	positive	Asmec
OG0006655	positive	Asmec
OG0007716	positive	Asmec
OG0009154	positive	Asmec
OG0011925	positive	Asmec
OG0009380	positive	Asmec
OG0013497	positive	Asmec
OG0009389	positive	Asmec
OG0007884	positive	Asmec
OG0008995	positive	Asmec
OG0010496	positive	Asmec
OG0010019	positive	Asmec
OG0011545	positive	Asmec
OG0009471	positive	Asmec
OG0012373	positive	Asmec
OG0007621	positive	Asmec
OG0006227	positive	Asmec
OG0008712	positive	Asmec
OG0010749	positive	Asmec
OG0011666	positive	Asmec
OG0006170	positive	Asmec
OG0009062	positive	Asmec
OG0009853	positive	Asmec
OG0006869	positive	Asmec
OG0008938	positive	Asmec
OG0009683	positive	Asmec
OG0010351	positive	Asmec
OG0012453	positive	Asmec
OG0009743	positive	Asmec
OG0012547	positive	Asmec
OG0011345	positive	Asmec
OG0007682	positive	Asmec
OG0007070	positive	Asmec
OG0010767	positive	Asmec
OG0011798	positive	Asmec
OG0009194	positive	Asmec
OG0010034	positive	Asmec
OG0009727	positive	Asmec
OG0008522	positive	Asmec
OG0008798	positive	Asmec
OG0008106	positive	Asmec
OG0010338	positive	Asmec
OG0011493	positive	Asmec
OG0005990	positive	Asmec
OG0013741	positive	Asmec
OG0013431	positive	Asmec
OG0010140	positive	Asmec
OG0010578	positive	Asmec
OG0007946	positive	Asmec
OG0008336	positive	Asmec
OG0008860	positive	Asmec
OG0012275	positive	Asmec
OG0008219	positive	Asmec
OG0014106	positive	Asmec
OG0011099	positive	Asmec
OG0010295	positive	Asmec
OG0010080	positive	Asmec
OG0012217	positive	Asmec
OG0009775	positive	Asmec
OG0011940	positive	Asmec
OG0010701	positive	Asmec
OG0008807	positive	Asmec
OG0007327	positive	Asmec
OG0006893	positive	Asmec
OG0009379	positive	Asmec
OG0009930	positive	Asmec
OG0009086	positive	Asmec
OG0011763	positive	Asmec
OG0012758	positive	Asmec
OG0012613	positive	Asmec
OG0007139	positive	Asmec
OG0009793	positive	Asmec
OG0009418	positive	Asmec
OG0008260	positive	Asmec
OG0008534	positive	Asmec
OG0008282	positive	Asmec
OG0009716	positive	Asmec
OG0006739	positive	Asmec
OG0012697	positive	Asmec
OG0012379	positive	Asmec
OG0006732	positive	Asmec
OG0010214	positive	Asmec
OG0010205	positive	Asmec
OG0010032	positive	Asmec
OG0009373	positive	Asmec
OG0007666	positive	Asmec
OG0010494	positive	Asmec
OG0010883	positive	Asmec
OG0012470	positive	Asmec
OG0007814	positive	Asmec
OG0012479	positive	Asmec
OG0012205	positive	Asmec
OG0008879	positive	Asmec
OG0013834	positive	Asmec
OG0008609	positive	Asmec
OG0007647	positive	Asmec
OG0011624	positive	Asmec
OG0012412	positive	Asmec
OG0013069	positive	Asmec
OG0011556	positive	Asmec
OG0008494	positive	Asmec
OG0008493	positive	Asmec
OG0012343	positive	Asmec
OG0009068	positive	Asmec
OG0012816	positive	Asmec
OG0008424	positive	Asmec
OG0008361	positive	Asmec
OG0009726	positive	Asmec
OG0008841	positive	Asmec
OG0007239	positive	Asmec
OG0013080	positive	Asmec
OG0005870	positive	Asmec
OG0005341	positive	Asmec
OG0006468	positive	Asmec
OG0009412	positive	Asmec
OG0007162	positive	Asmec
OG0007998	positive	Asmec
OG0009170	positive	Asmec
OG0009315	positive	Asmec
OG0011360	positive	Asmec
OG0013712	positive	Asmec
OG0010303	positive	Asmec
OG0008000	positive	Asmec
OG0008083	positive	Asmec
OG0011941	positive	Asmec
OG0010694	positive	Asmec
OG0013166	positive	Asmec
OG0007771	positive	Asmec
OG0009357	positive	Asmec
OG0010760	positive	Asmec
OG0013737	positive	Asmec
OG0006507	positive	Asmec
OG0008892	positive	Asmec
OG0013406	positive	Asmec
OG0011236	positive	Asmec
OG0008144	positive	Asmec
OG0007984	positive	Asmec
OG0013833	positive	Asmec
OG0008695	positive	Asmec
OG0008097	positive	Asmec
OG0013546	positive	Asmec
OG0012750	positive	Asmec
OG0012942	positive	Asmec
OG0008914	positive	Asmec
OG0012603	positive	Asmec
OG0008046	positive	Asmec
OG0008585	positive	Asmec
OG0010386	positive	Asmec
OG0005477	positive	Asmec
OG0008548	positive	Asmec
OG0010261	positive	Asmec
OG0008625	positive	Asmec
OG0012728	positive	Asmec
OG0012461	positive	Asmec
OG0011468	positive	Asmec
OG0009103	positive	Asmec
OG0012720	positive	Asmec
OG0009528	positive	Asmec
OG0012454	positive	Asmec
OG0009067	positive	Asmec
OG0008473	positive	Asmec
OG0008369	positive	Asmec
OG0006272	positive	Asmec
OG0006891	positive	Asmec
OG0007559	positive	Asmec
OG0011170	positive	Asmec
OG0013494	positive	Asmec
