OG_ID	Preferred_name	selection
OG0004960	KNG1	intensified
OG0004975	UROS	intensified
OG0005139	GNMT	intensified
OG0005171	RBMXL2	intensified
OG0005341	PTPRQ	intensified
OG0005622	RASA1	intensified
OG0005638	PPP1R3B	intensified
OG0005648	ZBTB46	intensified
OG0005695	G2E3	intensified
OG0005700	FBXW10	intensified
OG0005721	SUGCT	intensified
OG0005732	RPS24	intensified
OG0005740	MDN1	intensified
OG0005853	RNF207	intensified
OG0005903	ITGA2	intensified
OG0005965	C7orf43	intensified
OG0006086	SLC2A6	intensified
OG0006096	ORAI2	intensified
OG0006149	CDK5RAP2	intensified
OG0006171	NOS1AP	intensified
OG0006174	INPP5D	intensified
OG0006228	LRRK1	intensified
OG0006264	DNHD1	intensified
OG0006272	CWC22	intensified
OG0006296	CUBN	intensified
OG0006303	SORCS2	intensified
OG0006317	OPN3	intensified
OG0006408	NAA30	intensified
OG0006416	FGG	intensified
OG0006442	PISD	intensified
OG0006444	SREK1	intensified
OG0006450	LIG3	intensified
OG0006463	TNRC18	intensified
OG0006496	KIAA1407	intensified
OG0006505	EXOC3	intensified
OG0006513	ERMP1	intensified
OG0006519	SLC6A7	intensified
OG0006524	BTC	intensified
OG0006532	KTI12	intensified
OG0006536	NOC2L	intensified
OG0006542	SYDE2	intensified
OG0006547	ENDOU	intensified
OG0006571	EIF3D	intensified
OG0006578	NUP85	intensified
OG0006602	SLC35E4	intensified
OG0006648	TDRKH	intensified
OG0006682	FARS2	intensified
OG0006697	CADM4	intensified
OG0006711	BAG5	intensified
OG0006732	C15orf39	intensified
OG0006854	RPS27A	intensified
OG0006861	LYSMD2	intensified
OG0006862	SCG3	intensified
OG0006866	ARSA	intensified
OG0006922	FGA	intensified
OG0006924	RPL24	intensified
OG0006936	NKTR	intensified
OG0006941	MPPE1	intensified
OG0006955	LRRC6	intensified
OG0006975	HGH1	intensified
OG0006989	PRDM5	intensified
OG0007025	LSM8	intensified
OG0007056	COL22A1	intensified
OG0007070	SMG6	intensified
OG0007075	PRDM15	intensified
OG0007080	SCG5	intensified
OG0007091	USE1	intensified
OG0007092	SERPINC1	intensified
OG0007108	PRMT3	intensified
OG0007126	STAC	intensified
OG0007133	COX10	intensified
OG0007194	CCDC178	intensified
OG0007195	SBK1	intensified
OG0007200	NUB1	intensified
OG0007202	CENPW	intensified
OG0007210	PEX5	intensified
OG0007244	LYST	intensified
OG0007245	SYNDIG1	intensified
OG0007252	FANCL	intensified
OG0007266	MADD	intensified
OG0007283	NYNRIN	intensified
OG0007296	TMEM200A	intensified
OG0007325	PROP1	intensified
OG0007345	NUF2	intensified
OG0007352	PRMT7	intensified
OG0007354	PIEZO1	intensified
OG0007365	KLHL32	intensified
OG0007412	REN	intensified
OG0007417	KANK3	intensified
OG0007464	TM2D3	intensified
OG0007498	ACBD6	intensified
OG0007522	SPATA22	intensified
OG0007526	LAYN	intensified
OG0007530	GAB3	intensified
OG0007543	AHDC1	intensified
OG0007554	BRI3BP	intensified
OG0007562	CKAP2L	intensified
OG0007565	PDZD2	intensified
OG0007579	RCHY1	intensified
OG0007594	FBXO48	intensified
OG0007615	TMEM108	intensified
OG0007620	SCAP	intensified
OG0007630	ATM	intensified
OG0007644	RIC1	intensified
OG0007673	MPG	intensified
OG0007708	TARBP2	intensified
OG0007721	RAVER2	intensified
OG0007737	LEMD3	intensified
OG0007751	NELFCD	intensified
OG0007773	PRRT1	intensified
OG0007774	NELFE	intensified
OG0007785	CCDC53	intensified
OG0007799	SEMA7A	intensified
OG0007815	SPTLC1	intensified
OG0007824	RFXAP	intensified
OG0007841	WTAP	intensified
OG0007848	TCTN1	intensified
OG0007870	TBXA2R	intensified
OG0007883	GLRX2	intensified
OG0007884	ANKRD24	intensified
OG0007930	UNC13D	intensified
OG0007932	WBP2NL	intensified
OG0007940	TECTB	intensified
OG0007946	JOSD1	intensified
OG0007947	SH3BP1	intensified
OG0007949	SLC16A12	intensified
OG0007986	BCAS3	intensified
OG0008009	PLEKHM3	intensified
OG0008030	IFT88	intensified
OG0008034	TMEM30C	intensified
OG0008061	CCDC12	intensified
OG0008067	GNL1	intensified
OG0008083	TBC1D19	intensified
OG0008095	MALRD1	intensified
OG0008107	PERP	intensified
OG0008128	PRIM2	intensified
OG0008137	CDH5	intensified
OG0008140	PHKB	intensified
OG0008147	SLC39A13	intensified
OG0008163	PCGF1	intensified
OG0008172	C15orf61	intensified
OG0008182	CIRH1A	intensified
OG0008201	SPATA5	intensified
OG0008205	ECI1	intensified
OG0008211	NDUFB10	intensified
OG0008245	FAM83D	intensified
OG0008248	SMIM19	intensified
OG0008260	WDR83OS	intensified
OG0008261	TMEM246	intensified
OG0008281	C5orf28	intensified
OG0008290	JADE2	intensified
OG0008293	CCDC125	intensified
OG0008334	RTDR1	intensified
OG0008346	PDLIM2	intensified
OG0008348	RER1	intensified
OG0008352	MMP23B	intensified
OG0008358	MFSD2B	intensified
OG0008368	SLAIN2	intensified
OG0008369	ANAPC4	intensified
OG0008387	SUPT16H	intensified
OG0008399	PI4K2B	intensified
OG0008408	AAMDC	intensified
OG0008424	GCLM	intensified
OG0008428	SEMA3B	intensified
OG0008429	TMEM115	intensified
OG0008430	IFRD2	intensified
OG0008435	MECP2	intensified
OG0008452	ALAD	intensified
OG0008477	CCHCR1	intensified
OG0008489	FAM65B	intensified
OG0008507	SUSD5	intensified
OG0008512	FLII	intensified
OG0008521	IMP4	intensified
OG0008522	SCARF2	intensified
OG0008553	VAMP8	intensified
OG0008559	RANBP1	intensified
OG0008581	NUPL1	intensified
OG0008584	C8orf34	intensified
OG0008589	STAU2	intensified
OG0008594	ZFAND1	intensified
OG0008595	BLOC1S5	intensified
OG0008596	NIPAL2	intensified
OG0008602	ARHGEF1	intensified
OG0008603	TMEM145	intensified
OG0008614	IGLON5	intensified
OG0008616	MEX3A	intensified
OG0008642	AXL	intensified
OG0008651	RHBDL2	intensified
OG0008667	SHC3	intensified
OG0008677	POMP	intensified
OG0008700	DBN1	intensified
OG0008703	SLCO2B1	intensified
OG0008717	COL9A3	intensified
OG0008722	TMEM18	intensified
OG0008743	SRPK3	intensified
OG0008744	BIRC7	intensified
OG0008757	PKIG	intensified
OG0008763	ZRANB2	intensified
OG0008779	R3HDM2	intensified
OG0008815	BRAF	intensified
OG0008828	IGF1	intensified
OG0008829	SLC26A8	intensified
OG0008852	TMEM55A	intensified
OG0008860	MGP	intensified
OG0008874	EXOSC3	intensified
OG0008877	IRF7	intensified
OG0008905	SH3BP2	intensified
OG0008918	ZCCHC9	intensified
OG0008924	ZNHIT2	intensified
OG0008925	MRPL49	intensified
OG0008926	VPS51	intensified
OG0008933	WDR70	intensified
OG0008935	EXOC2	intensified
OG0008954	MORN5	intensified
OG0008960	SMC5	intensified
OG0008991	UBXN6	intensified
OG0009016	KIAA0391	intensified
OG0009018	FBXO33	intensified
OG0009023	SIVA1	intensified
OG0009030	ITGB1BP1	intensified
OG0009036	MSH4	intensified
OG0009041	FAM161B	intensified
OG0009051	FERMT2	intensified
OG0009060	CCDC177	intensified
OG0009082	SNF8	intensified
OG0009084	XRCC6	intensified
OG0009109	ATOH8	intensified
OG0009111	MXD3	intensified
OG0009115	FOLR1	intensified
OG0009127	TIMM50	intensified
OG0009139	SLC46A1	intensified
OG0009180	C14orf39	intensified
OG0009196	SPIDR	intensified
OG0009198	ST18	intensified
OG0009202	PRPF31	intensified
OG0009210	CUL2	intensified
OG0009212	RECK	intensified
OG0009216	UBE3D	intensified
OG0009249	DERL1	intensified
OG0009256	INTU	intensified
OG0009257	VAX2	intensified
OG0009265	MUS81	intensified
OG0009273	ECSIT	intensified
OG0009284	SMG7	intensified
OG0009310	CST7	intensified
OG0009314	SDCCAG8	intensified
OG0009315	NPM3	intensified
OG0009317	ENPEP	intensified
OG0009353	FAM193A	intensified
OG0009358	PSIP1	intensified
OG0009360	TK2	intensified
OG0009379	TRPT1	intensified
OG0009384	NKRF	intensified
OG0009412	RFX4	intensified
OG0009426	CCDC79	intensified
OG0009433	SCARA5	intensified
OG0009451	HOPX	intensified
OG0009459	CCNF	intensified
OG0009471	ATXN7L3	intensified
