OG_ID	Preferred_name	selection
OG0002470	AADACL4	relaxed
OG0004388	RANBP2	relaxed
OG0004820	SPRTN	relaxed
OG0005043	NR6A1	relaxed
OG0005253	DOLPP1	relaxed
OG0005289	TDRD12	relaxed
OG0005305	DOT1L	relaxed
OG0005412	NPHP4	relaxed
OG0005414	F11R	relaxed
OG0005544	AKR7A2	relaxed
OG0005546	RAN	relaxed
OG0005592	XPO5	relaxed
OG0005607	TTLL11	relaxed
OG0005673	DND1	relaxed
OG0005679	DDX4	relaxed
OG0005792	PRRC2C	relaxed
OG0005819	INPP5E	relaxed
OG0005883	UPF2	relaxed
OG0005910	NEMF	relaxed
OG0005917	TTLL5	relaxed
OG0005959	FOXJ1	relaxed
OG0005976	TACC2	relaxed
OG0006001	GLYR1	relaxed
OG0006015	PECR	relaxed
OG0006066	CRNKL1	relaxed
OG0006067	PLG	relaxed
OG0006075	ARHGAP19	relaxed
OG0006088	CEP350	relaxed
OG0006089	YTHDC2	relaxed
OG0006098	NYAP1	relaxed
OG0006106	Znf704	relaxed
OG0006114	DMRT1	relaxed
OG0006138	DPY19L2	relaxed
OG0006145	URB1	relaxed
OG0006193	KIF3A	relaxed
OG0006200	LIPC	relaxed
OG0006225	SOX6	relaxed
OG0006227	STRC	relaxed
OG0006234	NKPD1	relaxed
OG0006242	STARD9	relaxed
OG0006253	DNAI2	relaxed
OG0006267	KMT2A	relaxed
OG0006274	RNF17	relaxed
OG0006280	RIF1	relaxed
OG0006297	CEP192	relaxed
OG0006299	BCAN	relaxed
OG0006320	NR3C2	relaxed
OG0006333	CFAP206	relaxed
OG0006342	SDE2	relaxed
OG0006347	-	relaxed
OG0006404	EP400	relaxed
OG0006405	ACOT7	relaxed
OG0006414	BTBD7	relaxed
OG0006415	CGRRF1	relaxed
OG0006423	UFSP2	relaxed
OG0006427	SERPINI1	relaxed
OG0006431	PRR16	relaxed
OG0006432	FANCC	relaxed
OG0006433	CSDE1	relaxed
OG0006436	MRPS36	relaxed
OG0006441	HSPA5	relaxed
OG0006449	MAPKAP1	relaxed
OG0006452	EDA	relaxed
OG0006454	RFX5	relaxed
OG0006469	EPG5	relaxed
OG0006474	SNAPC4	relaxed
OG0006476	HECTD4	relaxed
OG0006483	RBM46	relaxed
OG0006487	HDHD1	relaxed
OG0006489	PUS10	relaxed
OG0006494	TNFRSF11A	relaxed
OG0006508	KCNQ3	relaxed
OG0006514	AKNA	relaxed
OG0006526	DUSP4	relaxed
OG0006533	HBS1L	relaxed
OG0006550	CTH	relaxed
OG0006552	RPS10	relaxed
OG0006560	FOXM1	relaxed
OG0006569	ZC3H11A	relaxed
OG0006577	COL16A1	relaxed
OG0006580	SCAF11	relaxed
OG0006585	RPGRIP1L	relaxed
OG0006594	ROBO2	relaxed
OG0006614	RPL36	relaxed
OG0006622	ARRDC2	relaxed
OG0006637	EHBP1	relaxed
OG0006645	AFAP1	relaxed
OG0006655	TRRAP	relaxed
OG0006663	KIAA0100	relaxed
OG0006667	TSKU	relaxed
OG0006690	CDCA3	relaxed
OG0006693	SETD2	relaxed
OG0006695	OTOA	relaxed
OG0006709	BFSP1	relaxed
OG0006710	HCRTR2	relaxed
OG0006715	KNDC1	relaxed
OG0006719	ZNF536	relaxed
OG0006723	MPHOSPH10	relaxed
OG0006725	GTSE1	relaxed
OG0006727	ARAP3	relaxed
OG0006739	Wash1	relaxed
OG0006742	ADGB	relaxed
OG0006753	LUC7L3	relaxed
OG0006767	ACY1	relaxed
OG0006770	SLC25A26	relaxed
OG0006839	GPKOW	relaxed
OG0006840	EXOSC10	relaxed
OG0006842	PPAT	relaxed
OG0006870	TRIP12	relaxed
OG0006871	GCN1L1	relaxed
OG0006876	CASR	relaxed
OG0006877	BRINP1	relaxed
OG0006886	PPP2R4	relaxed
OG0006887	FER	relaxed
OG0006897	RNMT	relaxed
OG0006900	DCLK3	relaxed
OG0006902	IL21R	relaxed
OG0006903	CARD11	relaxed
OG0006904	RNF216	relaxed
OG0006905	CDCA8	relaxed
OG0006911	NPR3	relaxed
OG0006912	DMRT2	relaxed
OG0006918	C9orf41	relaxed
OG0006927	BORA	relaxed
OG0006951	GIGYF2	relaxed
OG0006953	YEATS2	relaxed
OG0006956	MRPS22	relaxed
OG0006957	ZNF407	relaxed
OG0006961	IRF1	relaxed
OG0006965	ADD1	relaxed
OG0006966	ST8SIA3	relaxed
OG0006970	NHP2	relaxed
OG0006973	WIPF3	relaxed
OG0006977	KMT2D	relaxed
OG0006982	SLCO4A1	relaxed
OG0006988	ABCE1	relaxed
OG0007005	SNRPN	relaxed
OG0007006	RALGAPB	relaxed
OG0007008	CCDC65	relaxed
OG0007009	ZXDC	relaxed
OG0007015	USP18	relaxed
OG0007017	TAF3	relaxed
OG0007022	CCT2	relaxed
OG0007033	WIPF1	relaxed
OG0007041	PPP1R10	relaxed
OG0007043	NSUN2	relaxed
OG0007057	TERT	relaxed
OG0007073	DENR	relaxed
OG0007077	APC	relaxed
OG0007087	MRVI1	relaxed
OG0007090	NPPC	relaxed
OG0007105	TMEM259	relaxed
OG0007109	LRP4	relaxed
OG0007115	FANCM	relaxed
OG0007116	MIS18BP1	relaxed
OG0007121	LRRC74A	relaxed
OG0007124	JADE1	relaxed
OG0007139	CALCOCO2	relaxed
OG0007156	RHBDD1	relaxed
OG0007158	SORL1	relaxed
OG0007172	TEKT1	relaxed
OG0007182	DLX1	relaxed
OG0007192	FAM160A2	relaxed
OG0007196	DDC	relaxed
OG0007206	NES	relaxed
OG0007227	WDR65	relaxed
OG0007231	SMCHD1	relaxed
OG0007242	GOLGA4	relaxed
OG0007268	TP53BP1	relaxed
OG0007298	SWT1	relaxed
OG0007299	ARHGAP39	relaxed
OG0007303	GTF3C2	relaxed
OG0007309	TTC30A	relaxed
OG0007310	CLEC16A	relaxed
OG0007315	RAI1	relaxed
OG0007326	RNF25	relaxed
OG0007327	ADD3	relaxed
OG0007329	KRT222	relaxed
OG0007338	MMEL1	relaxed
OG0007339	SLC45A1	relaxed
OG0007350	CEP41	relaxed
OG0007371	TBX4	relaxed
OG0007409	UBL4B	relaxed
OG0007410	CEP78	relaxed
OG0007418	CDK11B	relaxed
OG0007427	GSX2	relaxed
OG0007432	CFAP61	relaxed
OG0007433	ESCO2	relaxed
OG0007435	TDRD15	relaxed
OG0007438	RFX6	relaxed
OG0007440	AKAP12	relaxed
OG0007442	DCAF4	relaxed
OG0007452	RPL9	relaxed
OG0007455	TMEM192	relaxed
OG0007458	C4orf27	relaxed
OG0007459	FGF7	relaxed
OG0007466	FRMD4A	relaxed
OG0007467	GAN	relaxed
OG0007478	ZNF366	relaxed
OG0007479	CDO1	relaxed
OG0007481	-	relaxed
OG0007483	CFP	relaxed
OG0007489	RIMKLA	relaxed
OG0007490	KLHL12	relaxed
OG0007494	DENND2C	relaxed
OG0007499	ITGB4	relaxed
OG0007504	GSX1	relaxed
OG0007541	ILF2	relaxed
OG0007556	GAS2L1	relaxed
OG0007557	DGCR8	relaxed
OG0007569	DMRT3	relaxed
OG0007570	CNTRL	relaxed
OG0007575	WSCD2	relaxed
OG0007576	RAD17	relaxed
OG0007577	UBE3B	relaxed
OG0007590	BCL9	relaxed
OG0007592	TPT1	relaxed
OG0007595	USP34	relaxed
OG0007597	ZFYVE27	relaxed
OG0007598	R3HCC1L	relaxed
OG0007606	NDUFB4	relaxed
OG0007635	TGS1	relaxed
OG0007636	DOPEY1	relaxed
OG0007639	CCNI	relaxed
OG0007647	DNAI1	relaxed
OG0007652	PWWP2A	relaxed
OG0007653	LCP2	relaxed
OG0007657	NFRKB	relaxed
OG0007660	CHEK1	relaxed
OG0007662	NADK2	relaxed
OG0007670	KIF4A	relaxed
OG0007680	RCC2	relaxed
OG0007681	ICMT	relaxed
OG0007699	SALL4	relaxed
OG0007716	ZBTB11	relaxed
OG0007717	PDE6D	relaxed
OG0007726	KIF15	relaxed
OG0007729	GEN1	relaxed
OG0007750	MDM2	relaxed
OG0007757	NTAN1	relaxed
OG0007763	GPD2	relaxed
OG0007764	CCDC40	relaxed
OG0007767	CCDC151	relaxed
OG0007768	DAXX	relaxed
OG0007770	UBAP2L	relaxed
OG0007771	PHF14	relaxed
OG0007779	RRP7A	relaxed
OG0007784	GSAP	relaxed
OG0007786	TM7SF3	relaxed
OG0007790	TUBGCP6	relaxed
OG0007791	HMG20A	relaxed
OG0007792	HMGXB3	relaxed
OG0007793	SPTY2D1	relaxed
OG0007795	FBXO31	relaxed
OG0007796	EHF	relaxed
OG0007798	RCCD1	relaxed
OG0007806	TICRR	relaxed
OG0007810	DNAJC8	relaxed
OG0007811	SNRPG	relaxed
OG0007817	DCP2	relaxed
OG0007819	THSD1	relaxed
OG0007823	C11orf30	relaxed
OG0007837	YKT6	relaxed
OG0007840	RPS7	relaxed
OG0007843	TAF1B	relaxed
OG0007844	FNDC1	relaxed
OG0007849	PCYOX1	relaxed
OG0007856	FBXO22	relaxed
OG0007861	MMP15	relaxed
OG0007867	ZBTB37	relaxed
OG0007891	KDM1A	relaxed
OG0007898	SPTBN5	relaxed
OG0007899	BUB1B	relaxed
OG0007902	ASXL2	relaxed
OG0007903	RAB10	relaxed
OG0007904	TMEM260	relaxed
OG0007905	GSKIP	relaxed
OG0007911	C15orf41	relaxed
OG0007912	NDC80	relaxed
OG0007915	NIPAL3	relaxed
OG0007917	CLN8	relaxed
OG0007918	ARHGEF10	relaxed
OG0007922	BIRC6	relaxed
OG0007924	IRF9	relaxed
OG0007934	GLTSCR1L	relaxed
OG0007957	SPDL1	relaxed
OG0007958	OGT	relaxed
OG0007959	FRMPD3	relaxed
OG0007968	CWF19L2	relaxed
OG0007971	NYAP2	relaxed
OG0007975	C2CD3	relaxed
OG0007979	ACAD8	relaxed
OG0007985	NPAT	relaxed
OG0007997	CERKL	relaxed
OG0007998	LRCH1	relaxed
OG0008013	PPP2R3B	relaxed
OG0008023	USP37	relaxed
OG0008026	MAP3K13	relaxed
OG0008039	RB1CC1	relaxed
OG0008046	TSNARE1	relaxed
OG0008052	CYB5R4	relaxed
OG0008053	TRDMT1	relaxed
OG0008069	ZFAT	relaxed
OG0008071	GJC1	relaxed
OG0008073	KIAA0232	relaxed
OG0008079	POLR2D	relaxed
OG0008082	RELL1	relaxed
OG0008084	SLC1A1	relaxed
OG0008087	KLHL6	relaxed
OG0008089	ZBTB41	relaxed
OG0008098	TNR	relaxed
OG0008100	KLHDC3	relaxed
OG0008101	TACC3	relaxed
OG0008106	PSAP	relaxed
OG0008116	C20orf194	relaxed
OG0008127	DNA2	relaxed
OG0008148	TSSC4	relaxed
OG0008152	MTMR10	relaxed
OG0008160	GPC3	relaxed
OG0008164	ENPP6	relaxed
OG0008169	CTTNBP2	relaxed
OG0008181	URI1	relaxed
OG0008186	QSER1	relaxed
OG0008193	NT5DC1	relaxed
OG0008198	MIA3	relaxed
OG0008202	REST	relaxed
OG0008207	AIM1L	relaxed
OG0008214	CNP	relaxed
OG0008220	ZRANB3	relaxed
OG0008221	CSRP2BP	relaxed
OG0008225	THOC7	relaxed
OG0008227	NEK4	relaxed
OG0008228	IL10	relaxed
OG0008231	PLEKHA6	relaxed
OG0008241	BCDIN3D	relaxed
OG0008247	SLU7	relaxed
