OG_ID	Preferred_name	selection
OG0004336	CCDC77	intensified
OG0005044	KNG1	intensified
OG0005227	GNMT	intensified
OG0005356	UTP20	intensified
OG0005374	AMBRA1	intensified
OG0005592	SLC1A1	intensified
OG0005608	PTPRQ	intensified
OG0005683	RASA1	intensified
OG0005695	SKP1	intensified
OG0005702	PPP1R3B	intensified
OG0005710	ZBTB46	intensified
OG0005813	VSTM2B	intensified
OG0005818	NEK1	intensified
OG0005916	SON	intensified
OG0005954	ENDOU	intensified
OG0006000	TPCN2	intensified
OG0006026	HEATR1	intensified
OG0006028	FANCA	intensified
OG0006030	RHBDD1	intensified
OG0006043	VOPP1	intensified
OG0006053	C7orf43	intensified
OG0006076	ASZ1	intensified
OG0006136	ESPN	intensified
OG0006156	YTHDC2	intensified
OG0006161	ORAI2	intensified
OG0006173	HSCB	intensified
OG0006184	RPL24	intensified
OG0006197	SPICE1	intensified
OG0006204	NCAPD2	intensified
OG0006228	CTC1	intensified
OG0006274	MRPL49	intensified
OG0006315	NDUFB8	intensified
OG0006318	FOLR1	intensified
OG0006319	IL1RAP	intensified
OG0006341	ENKUR	intensified
OG0006362	LRPPRC	intensified
OG0006371	NR3C2	intensified
OG0006387	F8	intensified
OG0006412	CDH15	intensified
OG0006454	NAA30	intensified
OG0006464	FGG	intensified
OG0006471	ARSA	intensified
OG0006489	PISD	intensified
OG0006490	P2RX1	intensified
OG0006491	STK36	intensified
OG0006492	C9orf78	intensified
OG0006535	CDC37	intensified
OG0006540	KIAA1407	intensified
OG0006556	ERMP1	intensified
OG0006604	LEMD3	intensified
OG0006615	DAZL	intensified
OG0006635	DDX55	intensified
OG0006647	ITGA2	intensified
OG0006665	SHC2	intensified
OG0006689	COX10	intensified
OG0006691	TDRKH	intensified
OG0006696	EIF2AK1	intensified
OG0006716	SKA3	intensified
OG0006722	FARS2	intensified
OG0006756	CNTLN	intensified
OG0006787	LRRC48	intensified
OG0006788	DHX58	intensified
OG0006794	SYCP3	intensified
OG0006846	GINS4	intensified
OG0006852	MFSD2B	intensified
OG0006893	GRIPAP1	intensified
OG0006908	UAP1L1	intensified
OG0006910	RPL7A	intensified
OG0006916	NUP88	intensified
OG0006919	CCDC64B	intensified
OG0006949	GOLGA3	intensified
OG0006964	KIAA1524	intensified
OG0006969	NKTR	intensified
OG0006972	MPPE1	intensified
OG0007014	KTI12	intensified
OG0007019	NOC2L	intensified
OG0007028	LMOD3	intensified
OG0007045	KIAA1107	intensified
OG0007063	PARPBP	intensified
OG0007066	RPS16	intensified
OG0007072	UBE2O	intensified
OG0007083	RPA3	intensified
OG0007100	GTF2H1	intensified
OG0007101	COL22A1	intensified
OG0007122	ATF6	intensified
OG0007124	SCG5	intensified
OG0007166	CDC5L	intensified
OG0007171	KIF11	intensified
OG0007188	CEP164	intensified
OG0007211	GTDC1	intensified
OG0007240	CUBN	intensified
OG0007246	CCDC12	intensified
OG0007249	PEX5	intensified
OG0007265	CHCHD7	intensified
OG0007267	NOL7	intensified
OG0007277	LRRC1	intensified
OG0007278	LYST	intensified
OG0007279	SYNDIG1	intensified
OG0007289	PRIM2	intensified
OG0007294	SHCBP1	intensified
OG0007301	SLC39A13	intensified
OG0007303	MADD	intensified
OG0007325	TTC38	intensified
OG0007330	EIF2B2	intensified
OG0007356	CD2BP2	intensified
OG0007386	EXOC3L1	intensified
OG0007388	PIEZO1	intensified
OG0007437	MLEC	intensified
OG0007438	LZTS1	intensified
OG0007445	ASB4	intensified
OG0007446	REN	intensified
OG0007454	LAMP5	intensified
OG0007461	CFAP61	intensified
OG0007463	RNF217	intensified
OG0007464	IGF2R	intensified
OG0007466	NUS1	intensified
OG0007488	C4orf27	intensified
OG0007492	TM2D3	intensified
OG0007500	BCL9L	intensified
OG0007506	ATOH1	intensified
OG0007515	WDR13	intensified
OG0007517	ACBD6	intensified
OG0007528	DDX54	intensified
OG0007532	TIMM22	intensified
OG0007533	IFT22	intensified
OG0007537	GARNL3	intensified
OG0007564	PSMB2	intensified
OG0007572	POLE	intensified
OG0007574	C9orf171	intensified
OG0007576	PIK3IP1	intensified
OG0007589	MYBBP1A	intensified
OG0007610	LRRC31	intensified
OG0007614	SPAG6	intensified
OG0007622	TMEM108	intensified
OG0007636	STK11	intensified
OG0007639	VCPIP1	intensified
OG0007640	LRRC6	intensified
OG0007651	RIC1	intensified
OG0007654	AGXT2	intensified
OG0007657	NSRP1	intensified
OG0007660	TTC1	intensified
OG0007694	MFSD5	intensified
OG0007695	HOXC4	intensified
OG0007708	C3orf67	intensified
OG0007711	FANCD2	intensified
OG0007712	TGFA	intensified
OG0007714	RYK	intensified
OG0007737	NELFCD	intensified
OG0007755	NELFE	intensified
OG0007758	TMEM220	intensified
OG0007771	SPTY2D1	intensified
OG0007787	ROR2	intensified
OG0007797	CXADR	intensified
OG0007798	VPS51	intensified
OG0007829	SASS6	intensified
OG0007833	RPP21	intensified
OG0007834	TBXA2R	intensified
OG0007846	PALM	intensified
OG0007847	GLRX2	intensified
OG0007864	SIVA1	intensified
OG0007876	DDO	intensified
OG0007883	WDPCP	intensified
OG0007899	UNC13D	intensified
OG0007902	SFXN2	intensified
OG0007913	SH3BP1	intensified
OG0007916	RSPH10B	intensified
OG0007934	GAP43	intensified
OG0007941	MED29	intensified
OG0007955	SPCS2	intensified
OG0007960	PRPF8	intensified
OG0007963	TOX	intensified
OG0007975	PLEKHM3	intensified
OG0007983	NEB	intensified
OG0007989	SLC12A8	intensified
OG0007993	IFT88	intensified
OG0008000	PUS3	intensified
OG0008008	PDCD6	intensified
OG0008013	RECK	intensified
OG0008029	CCT3	intensified
OG0008037	GNL1	intensified
OG0008040	CCDC13	intensified
OG0008043	UBE3C	intensified
OG0008048	VBP1	intensified
OG0008053	ECSIT	intensified
OG0008055	COPA	intensified
OG0008080	LRRC73	intensified
OG0008093	HHIP	intensified
OG0008118	PCGF1	intensified
OG0008123	NUDT21	intensified
OG0008140	CIRH1A	intensified
OG0008152	WISP3	intensified
OG0008162	SPATA5	intensified
OG0008165	TTC18	intensified
OG0008203	NISCH	intensified
OG0008206	FAM83D	intensified
OG0008208	SMIM19	intensified
OG0008214	PRMT7	intensified
OG0008232	EVX1	intensified
OG0008283	RTDR1	intensified
OG0008286	FAHD2A	intensified
OG0008302	MIB2	intensified
OG0008343	RFC1	intensified
OG0008363	CEP120	intensified
OG0008374	DDX20	intensified
OG0008377	SEMA3B	intensified
OG0008392	ITGB4	intensified
OG0008401	ALAD	intensified
OG0008428	CYB561	intensified
OG0008437	FAM65B	intensified
OG0008440	HEPACAM2	intensified
OG0008442	RP9	intensified
OG0008456	FLII	intensified
OG0008464	SCARF2	intensified
OG0008493	C9orf85	intensified
OG0008497	CHTF18	intensified
OG0008502	GAS6	intensified
OG0008509	CFAP58	intensified
OG0008516	NUPL1	intensified
OG0008517	TPK1	intensified
OG0008521	BOC	intensified
OG0008523	STAU2	intensified
OG0008531	NIPAL2	intensified
OG0008547	IGLON5	intensified
OG0008549	MEX3A	intensified
OG0008557	CMTM7	intensified
OG0008577	ATM	intensified
OG0008600	GTF3C4	intensified
OG0008631	DBN1	intensified
OG0008646	TMEM18	intensified
OG0008652	SIKE1	intensified
OG0008653	ZBTB17	intensified
OG0008661	LRRC23	intensified
OG0008662	TAF13	intensified
OG0008679	SDF4	intensified
OG0008682	PKIG	intensified
OG0008693	UAP1	intensified
OG0008695	EDEM1	intensified
OG0008721	DUSP16	intensified
OG0008734	NTF3	intensified
OG0008741	BRAF	intensified
OG0008748	HCFC2	intensified
OG0008755	IGF1	intensified
OG0008770	TTC26	intensified
OG0008784	MGP	intensified
OG0008787	CCDC146	intensified
OG0008806	CIB1	intensified
OG0008813	LRRC10	intensified
OG0008815	RFWD3	intensified
OG0008831	LYRM7	intensified
OG0008840	ZCCHC9	intensified
OG0008855	EXOC2	intensified
OG0008860	RNF8	intensified
OG0008865	TCTN1	intensified
OG0008868	RNF208	intensified
OG0008891	ASPSCR1	intensified
OG0008897	TMC3	intensified
