OG_ID	Preferred_name	selection
OG0000631	OGT	relaxed
OG0000733	ABCC4	relaxed
OG0001157	RPL31	relaxed
OG0002644	RPS10	relaxed
OG0002744	VPS13B	relaxed
OG0002818	MRC1	relaxed
OG0002847	RIMBP2	relaxed
OG0003005	ANPEP	relaxed
OG0003046	MB	relaxed
OG0003140	PRKRIR	relaxed
OG0003145	QDPR	relaxed
OG0003149	HNRNPC	relaxed
OG0003184	HPGD	relaxed
OG0003190	RELN	relaxed
OG0003203	RCVRN	relaxed
OG0003217	TMEM68	relaxed
OG0003326	NXPE3	relaxed
OG0003355	NAMPT	relaxed
OG0003376	BSN	relaxed
OG0003378	CLDN10	relaxed
OG0003381	GIN1	relaxed
OG0003389	RPS18	relaxed
OG0003415	ZBTB38	relaxed
OG0003427	NEFM	relaxed
OG0003439	B3GALT2	relaxed
OG0003441	SSRP1	relaxed
OG0003452	AMD1	relaxed
OG0003465	HCCS	relaxed
OG0003478	FGL2	relaxed
OG0003486	IER3	relaxed
OG0003490	IRF2	relaxed
OG0003491	TNRC18	relaxed
OG0003516	RPL15	relaxed
OG0003525	PPHLN1	relaxed
OG0003533	TNC	relaxed
OG0003537	TMEM136	relaxed
OG0003538	HNMT	relaxed
OG0003546	lcorl	relaxed
OG0003556	WDR26	relaxed
OG0003564	SCN1B	relaxed
OG0003568	RNF19B	relaxed
OG0003569	PCDH15	relaxed
OG0003571	ANXA1	relaxed
OG0003576	MORC3	relaxed
OG0003579	UBE2K	relaxed
OG0003582	BOK	relaxed
OG0003588	KLHL10	relaxed
OG0003605	NDUFA5	relaxed
OG0003608	PSMC1	relaxed
OG0003614	RPL19	relaxed
OG0003619	TDRD1	relaxed
OG0003622	ASB13	relaxed
OG0003623	TTBK1	relaxed
OG0003629	KCNJ1	relaxed
OG0003631	PRR12	relaxed
OG0003632	PSMA2	relaxed
OG0003635	CHCHD4	relaxed
OG0003639	UBN2	relaxed
OG0003649	RBM39	relaxed
OG0003650	HNRNPL	relaxed
OG0003671	WTAP	relaxed
OG0003675	NSA2	relaxed
OG0003680	ETF1	relaxed
OG0003690	RACGAP1	relaxed
OG0003692	SUCO	relaxed
OG0003697	KCNMA1	relaxed
OG0003700	ARHGEF10L	relaxed
OG0003704	SORT1	relaxed
OG0003710	C10orf12	relaxed
OG0003714	USP19	relaxed
OG0003715	BPTF	relaxed
OG0003716	UBR5	relaxed
OG0003717	COL12A1	relaxed
OG0003720	PTEN	relaxed
OG0003735	RPL7L1	relaxed
OG0003739	CUBN	relaxed
