Chrom,Start,End,Name
chr10,860039971,860041489,gene
chr9,1170640714,1170642217,gene
chr12,1138437172,1138438075,gene
chr5,2062948793,2062954745,gene
chr2,205407247,205410487,gene
chr3,1781549098,1781553148,gene
chr2,2866215258,2866215735,gene
chr4,466563220,466570477,gene
chr11,519302663,519303428,gene
chr16,103280467,103297387,gene
chr9,83689754,83690435,gene
chr2,558739664,558751346,gene
chr19,634250593,634260211,gene
chr16,414367776,414371583,gene
chr6,1305632806,1305633487,gene
chr8,1295935360,1295936671,gene
chr16,685187200,685190284,gene
chr16,456088283,456090428,gene
chr14,836896748,836900093,gene
chr10,145329919,145341763,gene
chr3,81381458,81382508,gene
chr12,1191226681,1191228283,gene
chr3,887733820,887736085,gene
chr1,520858383,520859106,gene
chr2,1584410995,1584411784,gene
chr1,1108923708,1108924503,gene
chr7,995744218,995751670,gene
chr8,1014124647,1014125226,gene
chr2,921098387,921099380,gene
chr4,252041153,252043790,gene
chr1,1048927961,1048928432,gene
chr12,807896820,807902337,gene
chr10,794357929,794362102,gene
chr3,2036323707,2036324307,gene
chr10,1171672337,1171673237,gene
chr9,472883222,472884689,gene
chr17,230323481,230334815,gene
chr11,737149079,737149784,gene
chr14,453711649,453711847,gene
chr5,1181635982,1181636441,gene
chr18,564367983,564372180,gene
chr15,164586286,164586661,gene
scaffold596,1663047,1665843,gene
chr13,59107733,59108930,gene
chr9,525899950,525901807,gene
chr6,62216892,62219034,gene
chr12,4912004,4913189,gene
chr4,1180898395,1180899382,gene
chr12,1106700657,1106701512,gene
chr17,546501239,546502565,gene
chr11,390192909,390193539,gene
chr1,1270206939,1270208076,gene
chr10,965261311,965261512,gene
chr2,1724160825,1724163489,gene
chr16,511555298,511555913,gene
chr12,685949636,685950788,gene
chr11,150906879,150912495,gene
chr6,638637167,638638091,gene
chr5,1480831084,1480831819,gene
chr19,300255622,300256501,gene
chr1,515455807,515461417,gene
chr5,828559886,828561044,gene
chr6,1920544805,1920545294,gene
chr4,484127683,484128145,gene
chr3,2739790619,2739793508,gene
chr4,2641978041,2641978824,gene
chr8,1220993800,1220994538,gene
chr14,14942240,14944220,gene
chr15,617518376,617522372,gene
chr1,2735245299,2735246331,gene
chr6,1677543066,1677543360,gene
chr3,2997981213,2997984021,gene
chr1,716851705,716852245,gene
chr18,713225056,713225683,gene
chr9,1155893438,1155895217,gene
chr1,1423040673,1423045575,gene
chr9,849700467,849703206,gene
chr7,183771974,183772682,gene
chr10,561871409,561871760,gene
chr2,584229253,584229589,gene
chr8,544460336,544460702,gene
chr1,972752172,972752763,gene
chr4,580681810,580684339,gene
chr9,169265344,169265890,gene
chr3,2316414861,2316415530,gene
chr7,1552041442,1552042249,gene
chr4,228225523,228229549,gene
chr5,638056984,638058124,gene
chr8,1116269153,1116277391,gene
chr5,1587497461,1587497767,gene
chr5,1902076637,1902077372,gene
chr17,599222931,599223351,gene
chr5,803090212,803094721,gene
chr9,673455816,673459914,gene
chr5,3358533,3360177,gene
chr17,238999333,239000977,gene
chr17,438149443,438150682,gene
chr14,810877452,810877866,gene
chr4,2028653638,2028654880,gene
chr1,3439963842,3439964625,gene
chr16,793271701,793272316,gene
chr3,1892932260,1892932842,gene
chr5,1351949455,1351951396,gene
chr12,1131262688,1131263216,gene
chr1,1718259482,1718260391,gene
chr15,240377077,240380476,gene
chr3,2120671540,2120673349,gene
chr10,77946910,77950216,gene
chr3,1224181612,1224185092,gene
chr15,402007675,402008611,gene
chr17,497783717,497788034,gene
chr13,872231498,872235137,gene
chr2,534046555,534049141,gene
chr4,2240613493,2240618917,gene
chr15,189594792,189595695,gene
chr18,192427667,192427817,gene
chr16,732187334,732188192,gene
chr11,282389939,282390311,gene
chr1,1300079160,1300080240,gene
chr1,2576866881,2576868102,gene
chr7,471944693,471947927,gene
chr18,564599063,564599507,gene
chr4,2491007086,2491009219,gene
chr15,292875886,292877230,gene
chr18,575968546,575968927,gene
chr1,3878013531,3878017170,gene
chr18,64253780,64254359,gene
chr3,2968340363,2968343411,gene
chr2,608291275,608293306,gene
chr1,2028586699,2028591034,gene
chr11,410439792,410442912,gene
chr3,78149369,78151139,gene
chr4,268288571,268290155,gene
chr5,1371831153,1371833154,gene
chr19,632754325,632756212,gene
chr5,986053392,986059875,gene
chr18,329378785,329379814,gene
chr5,796423564,796429513,gene
chr2,439795284,439796373,gene
chr2,3511774725,3511792419,gene
chr4,846275554,846277153,gene
scaffold6884,14063,14618,gene
chr18,646698466,646699744,gene
chr4,1278368095,1278368965,gene
chr4,598078776,598081014,gene
chr5,616032154,616034461,gene
chr1,3128576284,3128577439,gene
chr19,763492576,763494844,gene
chr1,2036000459,2036001395,gene
chr16,467609976,467612808,gene
chr7,908999688,909001218,gene
chr2,3472009274,3472010045,gene
chr9,1077938684,1077939506,gene
chr18,118522615,118526950,gene
chr2,3153204954,3153208908,gene
chr3,1554445339,1554447112,gene
chr9,834553371,834555870,gene
chr2,2192781928,2192782615,gene
chr6,750730018,750731200,gene
chr7,1040840051,1040844029,gene
chr10,349422657,349426251,gene
chr7,475028758,475029289,gene
chr5,1271248462,1271249986,gene
chr7,1826513365,1826513728,gene
chr3,550246228,550248658,gene
chr2,650792736,650793231,gene
chr8,879613871,879614447,gene
chr1,1940411983,1940414119,gene
chr10,722104393,722105104,gene
chr6,1945703165,1945703966,gene
chr18,641082645,641085855,gene
chr5,2154013686,2154019455,gene
chr4,807102562,807104266,gene
chr16,402598515,402599880,gene
chr12,1112351168,1112355635,gene
chr13,877991331,877993566,gene
chr9,402250603,402251461,gene
chr11,344477142,344479110,gene
chr18,417913166,417914432,gene
chr6,1495296134,1495296374,gene
chr5,2285697369,2285698026,gene
chr17,699018840,699019659,gene
chr11,434828512,434828977,gene
chr12,748232715,748234653,gene
chr12,895516687,895518112,gene
chr2,2694143524,2694153580,gene
chr4,1504508010,1504510773,gene
chr1,1997449784,1997450810,gene
chr4,1185092254,1185093943,gene
chr18,61121637,61123500,gene
chr11,635598817,635600275,gene
chr2,451318622,451319111,gene
chr11,46818287,46819238,gene
chr4,2256604648,2256608869,gene
chr1,2562034981,2562038908,gene
chr4,546317099,546317693,gene
chr1,3759793895,3759799079,gene
chr5,768911588,768912563,gene
scaffold28,1975096,1975333,gene
chr9,85879445,85880321,gene
chr18,235443064,235443994,gene
chr9,492377092,492378115,gene
chr1,3618149566,3618151357,gene
scaffold765,47753,48170,gene
