qname,query,OG_ID,chr,seqStart,seqEnd
evm.model.ptg056936l.1_Prang-OG0002010.fa,evm.model.ptg056936l.1_Prang,OG0002010,chr1,26869095,26869503
evm.model.ptg027242l.1_Prang-OG0002470.fa,evm.model.ptg027242l.1_Prang,OG0002470,chr10,1158754,1159999
evm.model.ptg000980l.1_Prang-OG0003689.fa,evm.model.ptg000980l.1_Prang,OG0003689,chr7,459414393,459415827
evm.model.ptg022327l.4_Prang-OG0004384.fa,evm.model.ptg022327l.4_Prang,OG0004384,chr18,713768007,713769240
evm.model.ptg008526l.1_Prang-OG0004790.fa,evm.model.ptg008526l.1_Prang,OG0004790,chr19,523145395,523146514
evm.model.ptg011573l.2_Prang-OG0004896.fa,evm.model.ptg011573l.2_Prang,OG0004896,chr10,1106457007,1106457475
evm.model.ptg002971l.6_Prang-OG0004956.fa,evm.model.ptg002971l.6_Prang,OG0004956,chr5,391285737,391288758
evm.model.ptg001639l.1_Prang-OG0004975.fa,evm.model.ptg001639l.1_Prang,OG0004975,chr15,500434066,500434486
evm.model.ptg007319l.4_Prang-OG0005043.fa,evm.model.ptg007319l.4_Prang,OG0005043,chr11,277054592,277056077
evm.model.ptg001579l.1_Prang-OG0005078.fa,evm.model.ptg001579l.1_Prang,OG0005078,chr1,1738743066,1738752450
evm.model.ptg006383l.4_Prang-OG0005080.fa,evm.model.ptg006383l.4_Prang,OG0005080,chr3,1326106660,1326107413
evm.model.ptg003238l.3_Prang-OG0005165.fa,evm.model.ptg003238l.3_Prang,OG0005165,chr4,622023438,622029210
evm.model.ptg009326l.2_Prang-OG0005171.fa,evm.model.ptg009326l.2_Prang,OG0005171,chr2,2962775474,2962776470
evm.model.ptg037876l.1_Prang-OG0005229.fa,evm.model.ptg037876l.1_Prang,OG0005229,chr5,2538410832,2538412662
evm.model.ptg003404l.1_Prang-OG0005244.fa,evm.model.ptg003404l.1_Prang,OG0005244,chr2,500840389,500842930
evm.model.ptg000867l.1_Prang-OG0005289.fa,evm.model.ptg000867l.1_Prang,OG0005289,chr6,118870942,118874008
evm.model.ptg002033l.3_Prang-OG0005305.fa,evm.model.ptg002033l.3_Prang,OG0005305,chr13,681026923,681032218
evm.model.ptg026715l.2_Prang-OG0005315.fa,evm.model.ptg026715l.2_Prang,OG0005315,chr13,719637540,719645094
evm.model.ptg003136l.2_Prang-OG0005344.fa,evm.model.ptg003136l.2_Prang,OG0005344,chr1,1143771815,1143775823
evm.model.ptg004975l.1_Prang-OG0005404.fa,evm.model.ptg004975l.1_Prang,OG0005404,chr1,1038215190,1038220050
evm.model.ptg002380l.2_Prang-OG0005405.fa,evm.model.ptg002380l.2_Prang,OG0005405,chr1,1477884018,1477884789
evm.model.ptg005422l.4_Prang-OG0005406.fa,evm.model.ptg005422l.4_Prang,OG0005406,chr1,750289039,750289831
evm.model.ptg008688l.2_Prang-OG0005412.fa,evm.model.ptg008688l.2_Prang,OG0005412,chr10,116620052,116624363
evm.model.ptg004950l.1_Prang-OG0005414.fa,evm.model.ptg004950l.1_Prang,OG0005414,chr9,402250603,402251461
evm.model.ptg005868l.3_Prang-OG0005455.fa,evm.model.ptg005868l.3_Prang,OG0005455,chr6,765872624,765874790
evm.model.ptg017585l.1_Prang-OG0005470.fa,evm.model.ptg017585l.1_Prang,OG0005470,chr6,84132641,84133826
evm.model.ptg000664l.1_Prang-OG0005474.fa,evm.model.ptg000664l.1_Prang,OG0005474,chr6,1738798286,1738802183
evm.model.ptg000782l.1_Prang-OG0005477.fa,evm.model.ptg000782l.1_Prang,OG0005477,chr1,1948656387,1948660353
evm.model.ptg001601l.4_Prang-OG0005492.fa,evm.model.ptg001601l.4_Prang,OG0005492,chr8,130482254,130490015
evm.model.ptg012283l.4_Prang-OG0005514.fa,evm.model.ptg012283l.4_Prang,OG0005514,chr16,482804132,482804660
evm.model.ptg000460l.7_Prang-OG0005544.fa,evm.model.ptg000460l.7_Prang,OG0005544,chr10,54701820,54703044
evm.model.ptg015980l.1_Prang-OG0005546.fa,evm.model.ptg015980l.1_Prang,OG0005546,chr6,1303714291,1303714807
evm.model.ptg005173l.1_Prang-OG0005590.fa,evm.model.ptg005173l.1_Prang,OG0005590,chr1,1017120285,1017121080
evm.model.ptg000819l.2_Prang-OG0005600.fa,evm.model.ptg000819l.2_Prang,OG0005600,chr12,665612190,665612535
evm.model.ptg005086l.1_Prang-OG0005610.fa,evm.model.ptg005086l.1_Prang,OG0005610,chr2,1202621650,1202622958
evm.model.ptg004168l.1_Prang-OG0005622.fa,evm.model.ptg004168l.1_Prang,OG0005622,chr1,3341414083,3341416972
evm.model.ptg031791l.1_Prang-OG0005638.fa,evm.model.ptg031791l.1_Prang,OG0005638,chr1,2325703289,2325704444
evm.model.ptg003312l.11_Prang-OG0005648.fa,evm.model.ptg003312l.11_Prang,OG0005648,chr5,2218352432,2218354286
evm.model.ptg007865l.1_Prang-OG0005659.fa,evm.model.ptg007865l.1_Prang,OG0005659,chr2,88168181,88171808
evm.model.ptg000867l.5_Prang-OG0005677.fa,evm.model.ptg000867l.5_Prang,OG0005677,chr6,114704330,114704984
evm.model.ptg007154l.4_Prang-OG0005689.fa,evm.model.ptg007154l.4_Prang,OG0005689,chr19,110327730,110327943
evm.model.ptg000495l.2_Prang-OG0005692.fa,evm.model.ptg000495l.2_Prang,OG0005692,chr6,1494159982,1494163129
evm.model.ptg023927l.1_Prang-OG0005700.fa,evm.model.ptg023927l.1_Prang,OG0005700,chr13,1016875517,1016878526
evm.model.ptg011539l.4_Prang-OG0005714.fa,evm.model.ptg011539l.4_Prang,OG0005714,chr12,147575095,147575722
evm.model.ptg004394l.3_Prang-OG0005785.fa,evm.model.ptg004394l.3_Prang,OG0005785,chr10,133998393,133999608
evm.model.ptg009713l.4_Prang-OG0005792.fa,evm.model.ptg009713l.4_Prang,OG0005792,chr12,1095874064,1095884477
evm.model.ptg000748l.10_Prang-OG0005819.fa,evm.model.ptg000748l.10_Prang,OG0005819,chr11,216408761,216410420
evm.model.ptg035694l.1_Prang-OG0005846.fa,evm.model.ptg035694l.1_Prang,OG0005846,chr5,2096760957,2096763630
evm.model.ptg000074l.10_Prang-OG0005853.fa,evm.model.ptg000074l.10_Prang,OG0005853,chr10,158319974,158321750
evm.model.ptg004192l.1_Prang-OG0005870.fa,evm.model.ptg004192l.1_Prang,OG0005870,chr7,711312487,711316141
evm.model.ptg013943l.2_Prang-OG0005903.fa,evm.model.ptg013943l.2_Prang,OG0005903,chr1,3635563272,3635567361
evm.model.ptg000107l.9_Prang-OG0005910.fa,evm.model.ptg000107l.9_Prang,OG0005910,chr8,90809434,90812656
evm.model.ptg003547l.4_Prang-OG0005911.fa,evm.model.ptg003547l.4_Prang,OG0005911,chr8,65351385,65355765
