OG_ID	selection	intensified	relaxed	none	pvalue_mean	LRT_mean	K_mean
OG0003646	relaxed	0	5	0	0.000711758	13.70033369	0.820822244
OG0003760	none	0	0	5	0.687052698	0.16325331	0.816026593
OG0003774	relaxed	0	5	0	0.004632447	8.435742371	0.836006088
OG0004136	relaxed	0	5	0	0.001645134	9.942687311	0.765439786
OG0004424	intensified	3	0	2	0.040657117	10.98121042	9.703924141
OG0004510	relaxed	0	5	0	0.008777552	6.867553338	0.824876266
OG0004635	none	0	0	5	0.578666828	0.309530267	1.085424175
OG0004676	none	0	0	5	0.598648098	0.287876508	0.975939174
OG0004761	none	0	0	5	0.868726266	0.032159895	1.001597134
OG0004776	relaxed	0	5	0	0.006700685	11.22575353	0.701256532
OG0004788	none	0	0	5	0.922265355	0.009941324	0.983567653
OG0004931	none	0	0	5	0.836963416	0.263373293	0.830341715
OG0005010	relaxed	0	5	0	0.000184652	13.98139134	0.813028555
OG0005013	none	0	0	5	0.255239542	1.693919494	1.207496096
OG0005023	none	0	0	5	0.206876249	1.612486444	0.905564421
OG0005049	relaxed	2	3	0	0.00448097	19.728633	8.335001395
OG0005063	none	0	0	5	0.720768495	0.134187438	0.982423562
OG0005066	none	0	0	5	0.568547809	0.815290802	1.154395089
OG0005071	relaxed	1	3	1	0.019962677	39.10444098	20.39115144
OG0005107	none	0	1	4	0.465171824	1.669119644	0.841580958
OG0005119	relaxed	0	3	2	0.396122116	8.605034395	0.45097968
OG0005167	intensified	5	0	0	0.015209941	5.895404138	30.79501905
OG0005171	relaxed	0	5	0	0.000430218	12.97908367	0.563428393
OG0005181	none	0	2	3	0.412960371	4.464019087	0.663826253
OG0005193	none	0	0	5	0.057960484	3.627931689	0.713603738
OG0005194	relaxed	0	5	0	0.000932778	10.98856521	0.683195551
OG0005208	intensified	4	0	1	0.111402858	64.42830316	4.114367896
OG0005218	none	0	0	5	0.215074053	1.537235452	0.905858956
OG0005234	none	0	0	5	0.949187821	0.004760166	1.018684957
OG0005267	relaxed	0	5	0	0.000315921	13.09858468	0.244925411
OG0005277	none	0	0	5	0.092101016	2.837339525	21.79854256
OG0005293	none	0	0	5	0.37939937	0.774625408	1.100950269
OG0005319	none	0	0	5	0.694960719	0.163414727	0.967320517
OG0005330	none	0	0	5	0.810385636	0.060489007	1.01889458
OG0005342	relaxed	0	3	2	0.040236494	4.353972527	0.587699643
OG0005368	none	0	0	5	0.602271801	0.363041586	1.081398703
OG0005375	none	1	0	4	0.223984875	2.509795618	1.194499175
OG0005396	none	0	0	5	0.321214561	0.984093754	0.847581713
OG0005407	intensified	4	0	1	0.121576676	7.963915771	17.26580747
OG0005422	none	0	0	5	0.244759793	1.375380591	1.17644176
OG0005433	none	0	0	5	0.630293071	0.303425547	1.164513647
OG0005450	none	0	0	5	0.34387127	0.898178572	0.911782733
OG0005469	none	0	0	5	0.371554304	0.865892561	1.121585458
OG0005474	relaxed	0	5	0	6.75E-07	24.92263933	0.640866599
OG0005477	none	0	0	5	0.085645139	2.954906835	1.374816785
OG0005481	none	0	0	5	0.579170281	0.608788648	0.922578313
OG0005485	relaxed	0	4	1	0.056646143	3.69639461	0.776444687
OG0005489	relaxed	0	5	0	0.003110739	8.743400628	0.729453908
OG0005531	none	0	0	5	0.663133316	0.245613979	0.930395808
OG0005542	relaxed	0	5	0	0.020943856	5.450498275	0.395247245
OG0005546	none	0	0	5	0.599109242	0.276940304	1.073705316
OG0005558	relaxed	0	4	1	0.184616187	4.590289801	0.188574112
OG0005559	relaxed	0	4	1	0.092014065	9.839392866	0.506214322
OG0005561	none	0	0	5	0.124709231	2.447783913	0.760158473
OG0005570	relaxed	0	5	0	0.009138892	14.5137669	0.435502187
OG0005572	none	1	0	4	0.364132579	1.724739114	1.252890942
OG0005573	relaxed	0	4	1	0.010524543	12.23198873	0.770349444
OG0005592	none	0	0	5	0.814054355	0.056463326	0.997171942
OG0005616	none	0	0	5	0.292994681	1.106318023	0.89816855
OG0005617	none	0	0	5	0.161193727	2.807077429	1.187104336
OG0005620	relaxed	0	5	0	8.13E-13	53.24526064	0.014082702
OG0005621	none	0	0	5	0.748897322	0.607006145	1.023345805
OG0005622	intensified	5	0	0	0.00017387	14.28741374	1.70788243
OG0005623	relaxed	0	5	0	0.019074043	5.847061027	0.716162552
OG0005664	none	1	0	4	0.539347009	2.328942246	2.667380004
OG0005677	none	0	0	5	0.57502971	0.314340905	1.120760311
OG0005684	none	0	0	5	0.451703075	0.566375137	0.894237996
OG0005693	none	0	0	5	0.319963526	1.421503761	0.85979191
OG0005699	relaxed	1	4	0	0.007805401	7.101215284	1.128021217
OG0005701	none	0	0	5	0.796628232	0.153588209	1.279152485
OG0005711	intensified	5	0	0	0.029871184	4.724384934	1.997232905
OG0005713	intensified	5	0	0	0.009655503	8.309952697	1.470685128
OG0005725	relaxed	0	5	0	2.01E-08	34.1220662	0.526029347
OG0005729	intensified	5	0	0	0.028255374	4.837452031	1.121368326
OG0005730	intensified	5	0	0	0.000428837	12.40250342	1.390185212
OG0005734	none	0	0	5	0.221819534	1.626311901	0.726123276
OG0005739	none	0	0	5	0.651966007	0.240014211	0.990084186
OG0005740	none	0	0	5	0.103742747	2.651107577	0.823511125
OG0005750	relaxed	0	5	0	0.009602779	6.707522317	0.648299085
OG0005752	none	0	1	4	0.157255742	2.276078596	0.724003737
OG0005755	none	1	0	4	0.16193282	2.405098266	1.103514984
OG0005757	relaxed	0	5	0	0.001251286	10.93751145	0.461022694
OG0005764	relaxed	0	5	0	0.008263054	11.34143187	0.791214851
OG0005768	none	0	0	5	0.852434517	0.097356146	1.011625661
OG0005770	none	0	0	5	0.615781216	0.478266987	0.939564307
OG0005773	intensified	4	0	1	0.041858171	4.16410564	26.26306734
OG0005783	relaxed	0	4	1	0.022017527	6.519994405	0.41966815
OG0005792	none	0	2	3	0.163146168	4.048503796	0.559156688
OG0005794	none	0	0	5	0.908146262	0.036842165	0.982379115
OG0005795	none	0	0	5	0.494798333	0.466358965	1.088384798
OG0005796	none	0	0	5	0.713783442	0.134801915	0.975656356
OG0005800	none	1	0	4	0.705007708	1.015171985	5.845523065
OG0005807	relaxed	0	5	0	2.79E-08	30.9260763	0.525849713
OG0005828	relaxed	0	5	0	0.009159872	7.881745352	0.673341688
OG0005829	relaxed	0	4	1	0.039440527	6.562709262	0.816372627
OG0005830	none	0	0	5	0.514173477	0.52844825	1.087286056
OG0005837	none	0	0	5	0.763096077	0.092294209	0.963781039
OG0005840	relaxed	0	5	0	0.033453336	4.522429413	0.648063144
OG0005841	none	0	0	5	1	-0.002528837	1.005400873
OG0005842	intensified	5	0	0	6.84E-05	15.86369221	22.72416782
OG0005846	none	1	0	4	0.304993824	3.2130564	1.38155307
OG0005853	none	0	0	5	0.661842442	0.220964889	1.090492014
OG0005859	relaxed	0	5	0	4.80E-08	29.94100487	0.707858921
OG0005861	none	0	0	5	0.758934371	0.094532438	0.870359846
OG0005871	none	0	0	5	0.96804912	-0.002794071	0.925572863
OG0005872	none	0	0	5	0.609374886	0.408216855	0.919018185
OG0005874	none	1	0	4	0.436929752	69.15227848	12.85829801
OG0005877	relaxed	0	5	0	0.002240784	9.634449302	0.731059964
OG0005884	none	0	0	5	0.295894492	1.106637725	0.899665549
OG0005886	none	0	0	5	0.148135939	2.238035994	0.54224237
OG0005888	none	0	0	5	0.216311227	1.541015428	0.957132357
