gene_symbol,OG_ID,analysis_absrel,analysis_relax_selection,analysis_paml,analysis_cafe_expanded,analysis_relax_relaxed,analysis_cafe_contracted,count_sel,count_rel,condition,TargetSpecies_Count,Reference_Count
OBSCN,OG0002589,NA,NA,NA,expanded,NA,NA,1,0,long-lived,2,2
CHD7,OG0000145,NA,NA,NA,expanded,NA,NA,1,0,NA,0,0
MAD2L1,OG0003676,NA,NA,NA,expanded,NA,NA,1,0,NA,0,0
PLXNA4,OG0013338,NA,NA,NA,expanded,NA,NA,1,0,NA,0,0
KRT10,OG0000028,NA,NA,NA,NA,NA,contracted,0,1,long-lived,1,1
SIRPA,OG0000232,NA,NA,NA,NA,NA,contracted,0,1,long-lived,1,1
Csprs,OG0010809,NA,NA,NA,NA,NA,contracted,0,1,NA,0,0
CYP2A13,OG0000014,NA,NA,NA,NA,NA,contracted,0,1,NA,0,0
FMO4,OG0000110,NA,NA,NA,NA,NA,contracted,0,1,NA,0,0
HTT,OG0009499,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,3,3
MYC,OG0005097,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,3,3
APLF,OG0011028,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,2,2
BRIP1,OG0010067,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,2,2
CCDC30,OG0011775,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,2,2
CENPI,OG0006639,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,2,2
FAN1,OG0005434,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,2,2
LAS1L,OG0005445,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,2,2
NBN,OG0009397,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,2,2
RET,OG0008241,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,2,2
SLX4,OG0004577,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,2,2
TEP1,OG0004424,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,2,2
TERF1,OG0005995,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,2,2
AP5Z1,OG0009373,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
ATXN2,OG0007729,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
C5orf34,OG0008916,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
CEP89,OG0008555,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,2,2
DCLRE1B,OG0008756,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,2,2
DHODH,OG0009865,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,2,2
EPS8,OG0010700,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,2,2
GINM1,OG0010069,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
GRN,OG0004101,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
HYOU1,OG0008860,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,2,2
LNPEP,OG0010755,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,2,2
