OG_symbol	selection	species
OG0008689	positive	Miuni
OG0011695	positive	Miuni
OG0008634	positive	Miuni
OG0008395	positive	Miuni
OG0006826	positive	Miuni
OG0010572	positive	Miuni
OG0006417	positive	Miuni
OG0011768	positive	Miuni
OG0008900	positive	Miuni
OG0007102	positive	Miuni
OG0005851	positive	Miuni
OG0005616	positive	Miuni
OG0009935	positive	Miuni
OG0008475	positive	Miuni
OG0006677	positive	Miuni
OG0011175	positive	Miuni
OG0009617	positive	Miuni
OG0010308	positive	Miuni
OG0011301	positive	Miuni
OG0011291	positive	Miuni
OG0009875	positive	Miuni
OG0006776	positive	Miuni
OG0007840	positive	Miuni
OG0011349	positive	Miuni
OG0007076	positive	Miuni
OG0008400	positive	Miuni
OG0008276	positive	Miuni
OG0007107	positive	Miuni
OG0009974	positive	Miuni
OG0005941	positive	Miuni
OG0007398	positive	Miuni
OG0010120	positive	Miuni
OG0007975	positive	Miuni
OG0006407	positive	Miuni
OG0009724	positive	Miuni
OG0007180	positive	Miuni
OG0011293	positive	Miuni
OG0009643	positive	Miuni
OG0009785	positive	Miuni
OG0010278	positive	Miuni
OG0006670	positive	Miuni
OG0011864	positive	Miuni
OG0010831	positive	Miuni
OG0008372	positive	Miuni
OG0008034	positive	Miuni
OG0011264	positive	Miuni
OG0008017	positive	Miuni
OG0011561	positive	Miuni
OG0009480	positive	Miuni
OG0007803	positive	Miuni
OG0006688	positive	Miuni
OG0008280	positive	Miuni
OG0006307	positive	Miuni
OG0007241	positive	Miuni
OG0008795	positive	Miuni
OG0007419	positive	Miuni
OG0006421	positive	Miuni
OG0012034	positive	Miuni
OG0006582	positive	Miuni
OG0006834	positive	Miuni
OG0011632	positive	Miuni
OG0005883	positive	Miuni
OG0011778	positive	Miuni
OG0005286	positive	Miuni
OG0010421	positive	Miuni
OG0006646	positive	Miuni
OG0008817	positive	Miuni
OG0009943	positive	Miuni
OG0011093	positive	Miuni
OG0007845	positive	Miuni
OG0011523	positive	Miuni
OG0009762	positive	Miuni
OG0006073	positive	Miuni
OG0008426	positive	Miuni
OG0010059	positive	Miuni
OG0005916	positive	Miuni
OG0005066	positive	Miuni
OG0011605	positive	Miuni
OG0011077	positive	Miuni
OG0007598	positive	Miuni
OG0008247	positive	Miuni
OG0005378	positive	Miuni
OG0010634	positive	Miuni
OG0009820	positive	Miuni
OG0008227	positive	Miuni
OG0012257	positive	Miuni
OG0010647	positive	Miuni
OG0009577	positive	Miuni
OG0010884	positive	Miuni
OG0006784	positive	Miuni
OG0009833	positive	Miuni
OG0010758	positive	Miuni
OG0004136	positive	Miuni
OG0011016	positive	Miuni
OG0008688	positive	Miuni
OG0007953	positive	Miuni
OG0012164	positive	Miuni
OG0010604	positive	Miuni
OG0010873	positive	Miuni
OG0009415	positive	Miuni
OG0009622	positive	Miuni
OG0009165	positive	Miuni
OG0006259	positive	Miuni
OG0009900	positive	Miuni
OG0007896	positive	Miuni
OG0008523	positive	Miuni
OG0006359	positive	Miuni
OG0010217	positive	Miuni
OG0007075	positive	Miuni
OG0006933	positive	Miuni
OG0008562	positive	Miuni
OG0009874	positive	Miuni
OG0011710	positive	Miuni
OG0012323	positive	Miuni
OG0007402	positive	Miuni
OG0009108	positive	Miuni
OG0007064	positive	Miuni
