OG_symbol	selection	species
OG0008893	positive	Hegla
OG0011695	positive	Hegla
OG0011669	positive	Hegla
OG0010106	positive	Hegla
OG0010624	positive	Hegla
OG0008822	positive	Hegla
OG0007556	positive	Hegla
OG0011649	positive	Hegla
OG0010018	positive	Hegla
OG0008681	positive	Hegla
OG0006242	positive	Hegla
OG0008900	positive	Hegla
OG0010709	positive	Hegla
OG0008193	positive	Hegla
OG0005616	positive	Hegla
OG0011067	positive	Hegla
OG0007217	positive	Hegla
OG0007917	positive	Hegla
OG0008716	positive	Hegla
OG0011370	positive	Hegla
OG0006858	positive	Hegla
OG0007073	positive	Hegla
OG0012282	positive	Hegla
OG0009875	positive	Hegla
OG0007435	positive	Hegla
OG0007055	positive	Hegla
OG0011349	positive	Hegla
OG0012289	positive	Hegla
OG0005064	positive	Hegla
OG0007107	positive	Hegla
OG0007350	positive	Hegla
OG0010320	positive	Hegla
OG0010066	positive	Hegla
OG0009601	positive	Hegla
OG0005697	positive	Hegla
OG0010287	positive	Hegla
OG0006358	positive	Hegla
OG0008071	positive	Hegla
OG0009199	positive	Hegla
OG0010556	positive	Hegla
OG0009695	positive	Hegla
OG0008349	positive	Hegla
OG0010218	positive	Hegla
OG0011132	positive	Hegla
OG0009265	positive	Hegla
OG0010715	positive	Hegla
OG0008372	positive	Hegla
OG0011264	positive	Hegla
OG0007202	positive	Hegla
OG0006754	positive	Hegla
OG0009234	positive	Hegla
OG0007762	positive	Hegla
OG0007099	positive	Hegla
OG0012074	positive	Hegla
OG0011472	positive	Hegla
OG0007419	positive	Hegla
OG0006421	positive	Hegla
OG0009834	positive	Hegla
OG0008204	positive	Hegla
OG0009690	positive	Hegla
OG0007490	positive	Hegla
OG0007932	positive	Hegla
OG0007758	positive	Hegla
OG0011313	positive	Hegla
OG0007171	positive	Hegla
OG0008228	positive	Hegla
OG0011632	positive	Hegla
OG0005883	positive	Hegla
OG0011931	positive	Hegla
OG0005286	positive	Hegla
OG0008085	positive	Hegla
OG0011383	positive	Hegla
OG0008157	positive	Hegla
OG0012245	positive	Hegla
OG0006615	positive	Hegla
OG0005524	positive	Hegla
OG0007459	positive	Hegla
OG0011523	positive	Hegla
OG0010787	positive	Hegla
OG0006097	positive	Hegla
OG0007926	positive	Hegla
OG0003646	positive	Hegla
OG0008844	positive	Hegla
OG0007633	positive	Hegla
OG0006471	positive	Hegla
OG0008283	positive	Hegla
OG0009680	positive	Hegla
OG0009518	positive	Hegla
OG0006495	positive	Hegla
OG0007623	positive	Hegla
OG0009896	positive	Hegla
OG0009025	positive	Hegla
OG0011589	positive	Hegla
OG0009065	positive	Hegla
OG0008823	positive	Hegla
OG0006784	positive	Hegla
OG0010548	positive	Hegla
OG0005784	positive	Hegla
OG0008682	positive	Hegla
OG0007248	positive	Hegla
OG0006829	positive	Hegla
OG0006223	positive	Hegla
OG0012115	positive	Hegla
OG0007160	positive	Hegla
OG0006416	positive	Hegla
OG0009229	positive	Hegla
OG0010849	positive	Hegla
OG0008523	positive	Hegla
OG0006948	positive	Hegla
OG0006214	positive	Hegla
OG0006406	positive	Hegla
OG0009651	positive	Hegla
OG0007474	positive	Hegla
OG0011747	positive	Hegla
OG0006451	positive	Hegla
OG0006427	positive	Hegla
OG0011466	positive	Hegla
OG0008608	positive	Hegla
OG0011888	positive	Hegla
OG0010697	positive	Hegla
OG0012193	positive	Hegla
OG0008462	positive	Hegla
OG0009616	positive	Hegla
OG0005049	positive	Hegla
OG0010133	positive	Hegla
OG0012420	positive	Hegla
OG0006393	positive	Hegla
OG0007526	positive	Hegla
OG0006188	positive	Hegla
OG0007411	positive	Hegla
OG0012267	positive	Hegla
OG0006535	positive	Hegla
OG0010528	positive	Hegla
OG0007915	positive	Hegla
OG0006641	positive	Hegla
OG0008079	positive	Hegla
OG0009817	positive	Hegla
OG0011619	positive	Hegla
OG0011265	positive	Hegla
OG0007163	positive	Hegla
OG0005827	positive	Hegla
OG0012518	positive	Hegla
OG0007649	positive	Hegla
OG0010094	positive	Hegla
OG0005744	positive	Hegla
OG0009580	positive	Hegla
OG0007026	positive	Hegla
OG0008328	positive	Hegla
OG0007595	positive	Hegla
OG0010786	positive	Hegla
OG0011181	positive	Hegla
OG0009973	positive	Hegla
OG0008310	positive	Hegla
OG0008018	positive	Hegla
OG0007603	positive	Hegla
OG0008295	positive	Hegla
OG0009885	positive	Hegla
OG0009475	positive	Hegla
OG0006801	positive	Hegla
OG0006324	positive	Hegla
OG0008865	positive	Hegla
OG0008357	positive	Hegla
OG0008435	positive	Hegla
OG0009491	positive	Hegla
OG0008753	positive	Hegla
OG0008764	positive	Hegla
OG0009916	positive	Hegla
OG0006151	positive	Hegla
OG0011222	positive	Hegla
OG0007313	positive	Hegla
OG0007408	positive	Hegla
OG0011457	positive	Hegla
OG0009523	positive	Hegla
OG0008559	positive	Hegla
OG0011303	positive	Hegla
OG0011247	positive	Hegla
OG0007800	positive	Hegla
OG0008092	positive	Hegla
OG0011882	positive	Hegla
OG0010806	positive	Hegla
OG0009309	positive	Hegla
OG0007345	positive	Hegla
OG0008899	positive	Hegla
OG0008303	positive	Hegla
OG0012443	positive	Hegla
OG0007386	positive	Hegla
OG0007371	positive	Hegla
OG0010123	positive	Hegla
OG0009829	positive	Hegla
OG0009955	positive	Hegla
OG0010588	positive	Hegla
OG0009462	positive	Hegla
OG0008419	positive	Hegla
OG0009038	positive	Hegla
OG0006486	positive	Hegla
OG0011239	positive	Hegla
OG0011874	positive	Hegla
OG0007296	positive	Hegla
OG0007286	positive	Hegla
OG0009278	positive	Hegla
OG0011058	positive	Hegla
OG0006228	positive	Hegla
OG0008022	positive	Hegla
OG0010020	positive	Hegla
OG0008981	positive	Hegla
OG0006918	positive	Hegla
OG0008170	positive	Hegla
OG0007952	positive	Hegla
OG0010983	positive	Hegla
OG0010367	positive	Hegla
OG0008211	positive	Hegla
OG0006385	positive	Hegla
OG0010234	positive	Hegla
OG0007428	positive	Hegla
OG0006004	positive	Hegla
OG0009364	positive	Hegla
OG0011339	positive	Hegla
OG0009582	positive	Hegla
OG0009902	positive	Hegla
OG0006399	positive	Hegla
OG0011635	positive	Hegla
OG0007678	positive	Hegla
OG0010569	positive	Hegla
OG0010384	positive	Hegla
OG0009092	positive	Hegla
OG0007665	positive	Hegla
